patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,2000,2000,1146,253.80231885111144,0.39181298,0.32,118.02151484929078,6.223958333333333,3.8162123226950353
48,5,1.2,8,0,1993,1993,1455,253.73790428832805,0.13575585,0.32,118.11950631648936,6.264128989361701,3.7995899822695036
48,5,1.2,8,0,1996,1996,1013,252.22768947392743,0.40622476,0.32,118.08460494237589,6.2286679964539005,3.7979277482269502
48,5,1.2,8,0,1996,1996,1186,253.06768727293482,0.5633889,0.32,118.23198969414894,6.304576684397163,3.769946808510638
48,5,1.2,8,0,1993,1993,954,251.99769669418754,0.4787298,0.32,118.04655363475177,6.211768617021277,3.8342198581560285
48,5,1.2,8,0,2000,2000,1053,251.99392613758778,0.5006281,0.32,118.02462599734042,6.256371897163121,3.819813829787234
48,5,1.2,8,0,1999,1999,1181,252.86324707814103,0.24292397,0.32,118.0059175531915,6.199855939716312,3.8031914893617023
48,5,1.2,8,0,1991,1991,1313,253.2922318762749,0.22806354,0.32,118.1427582003546,6.240303634751773,3.7865691489361706
48,5,1.2,8,0,1999,1999,1199,253.3067056252464,0.3695045,0.32,118.07797539893618,6.185449911347518,3.7998670212765955
48,5,1.2,8,0,2000,2000,1202,254.21726903566667,0.44408798,0.32,118.14882258421986,6.259973404255319,3.8173204787234045
48,5,1.2,8,0,2000,2000,1366,254.04839301826206,0.19802235,0.32,118.08288175975177,6.223127216312057,3.8134419326241136
48,5,1.2,8,0,1994,1994,1271,253.90047303611493,0.32151476,0.32,118.17965979609929,6.253878546099291,3.7837987588652484
48,5,1.2,8,0,2000,2000,1467,253.8624253522326,0.102981664,0.32,118.12919991134751,6.235039893617021,3.798758865248227
48,5,1.2,8,0,1995,1995,1510,254.17007683951942,0.08948771,0.32,118.21590480939716,6.296819592198581,3.7835217198581557
48,5,1.2,8,0,2000,2000,1231,253.1094162073342,0.2305171,0.32,118.1184258643617,6.21592420212766,3.7818594858156027
48,5,1.2,8,0,1989,1989,1196,253.6469115933944,0.3504274,0.32,118.24017896719859,6.276872783687944,3.7835217198581557
48,5,1.2,8,0,1999,1999,1479,252.69618434715858,0.14055453,0.32,118.11538951684398,6.17436835106383,3.7943262411347516
48,5,1.2,8,0,1988,1988,1250,254.11712921346742,0.31610566,0.32,118.2275349069149,6.227559840425532,3.7962655141843973
48,5,1.2,8,0,1999,1999,1267,253.5195924070286,0.32430273,0.32,118.17659851507092,6.16300975177305,3.7743794326241136
48,5,1.2,8,0,1999,1999,1262,254.3211680416447,0.31363654,0.32,118.27804742907801,6.2078900709219855,3.7851839539007095
48,5,1.2,8,0,1996,1996,1508,253.20222109512417,0.083417736,0.32,118.14560893173758,6.134751773049645,3.8001440602836882
48,5,1.2,8,0,1995,1995,1471,253.0160438078246,0.14444952,0.32,118.26161624556738,6.189882535460993,3.79155585106383
48,5,1.2,8,0,2000,2000,1304,253.5935633436719,0.23252298,0.32,118.1827931072695,6.162455673758865,3.795157358156028
48,5,1.2,8,0,2000,2000,1383,253.38577235471925,0.22809838,0.32,118.29206560283689,6.233100620567376,3.780474290780142
48,5,1.2,8,0,1999,1999,1464,254.221560706791,0.13013437,0.32,118.20005263741135,6.173537234042553,3.804299645390071
