patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1268,131.92001440872232,0.14978538,0.34
48,5,1.2,8,0,2000,2000,1178,131.7114740613679,0.13341935,0.34
48,5,1.2,8,0,2000,2000,1348,128.3759173280973,0.107928805,0.33
48,5,1.2,8,0,2000,2000,1276,128.5005322352123,0.13719863,0.33
48,5,1.2,8,0,2000,2000,1402,127.99706304261304,0.07608893,0.33
48,5,1.2,8,0,2000,2000,1323,130.64125885566204,0.12229341,0.34
48,5,1.2,8,0,2000,2000,1378,130.87620532595577,0.08498358,0.34
48,5,1.2,8,0,2000,2000,1280,131.6176766727544,0.1130058,0.34
48,5,1.2,8,0,2000,2000,1216,130.15356789891277,0.13157122,0.34
48,5,1.2,8,0,2000,2000,1375,131.59994289677755,0.07428444,0.34
48,5,1.2,8,0,2000,2000,1302,131.26146193900797,0.14800929,0.34
48,5,1.2,8,0,2000,2000,1286,130.05788372020032,0.100474365,0.34
48,5,1.2,8,0,2000,2000,1290,131.73794267940605,0.08373235,0.34
48,5,1.2,8,0,2000,2000,1290,131.06648139680001,0.08859188,0.34
48,5,1.2,8,0,2000,2000,1430,128.79108544189214,0.075571224,0.33
48,5,1.2,8,0,2000,2000,1338,128.1404384988923,0.10123826,0.33
48,5,1.2,8,0,2000,2000,1289,128.44954961536985,0.09356804,0.34
48,5,1.2,8,0,2000,2000,1340,128.99500601810752,0.08711182,0.33
48,5,1.2,8,0,2000,2000,1358,128.55377362616377,0.07526186,0.34
48,5,1.2,8,0,2000,2000,1341,128.51576424599418,0.0742383,0.33
48,5,1.2,8,0,2000,2000,1444,130.8584617511593,0.07806067,0.34
48,5,1.2,8,0,2000,2000,1302,130.29147555383733,0.121176,0.34
48,5,1.2,8,0,2000,2000,1330,131.3810388061944,0.096902356,0.34
48,5,1.2,8,0,2000,2000,1381,130.64298089243795,0.08398484,0.34
48,5,1.2,8,0,2000,2000,1359,130.36206947541947,0.124178186,0.34
48,5,1.2,8,0,2000,2000,1301,131.19762099334793,0.12135047,0.34
48,5,1.2,8,0,2000,2000,1239,132.48802212569078,0.14036511,0.34
48,5,1.2,8,0,2000,2000,1340,133.03712532033097,0.12743257,0.34
48,5,1.2,8,0,2000,2000,1451,132.66147898409076,0.0934474,0.34
48,5,1.2,8,0,2000,2000,1318,130.0243554715744,0.11271466,0.34
48,5,1.2,8,0,2000,2000,1271,131.33050845553967,0.15296572,0.34
48,5,1.2,8,0,2000,2000,1268,129.70061222661062,0.2639691,0.34
48,5,1.2,8,0,2000,2000,1035,128.5486507157774,0.5151983,0.34
48,5,1.2,8,0,2000,2000,1246,129.24662248176946,0.30169415,0.34
48,5,1.2,8,0,2000,2000,1283,129.1487453422817,0.23739596,0.34
48,5,1.2,8,0,2000,2000,1242,128.7596644652304,0.3398472,0.34
48,5,1.2,8,0,2000,2000,1445,129.571046338722,0.19942717,0.34
48,5,1.2,8,0,2000,2000,1177,128.753503929926,0.33932078,0.34
48,5,1.2,8,0,2000,2000,1298,130.05044686808594,0.2557053,0.34
48,5,1.2,8,0,2000,2000,1349,129.89642469737785,0.2490859,0.34
48,5,1.2,8,0,2000,2000,1376,129.31725587604518,0.10549388,0.34
48,5,1.2,8,0,2000,2000,1450,130.67949623882706,0.14508675,0.34
48,5,1.2,8,0,2000,2000,1293,130.5076726046266,0.21207999,0.34
48,5,1.2,8,0,2000,2000,1250,130.26689768164005,0.21354282,0.34
48,5,1.2,8,0,2000,2000,1446,132.76874296975916,0.14723508,0.34
48,5,1.2,8,0,2000,2000,1515,131.98830712613093,0.089159,0.34
48,5,1.2,8,0,2000,2000,1385,132.6238074238174,0.17453271,0.34
48,5,1.2,8,0,2000,2000,1293,128.83919413770604,0.2176057,0.34
48,5,1.2,8,0,2000,2000,1265,127.93957585840707,0.20255996,0.34
48,5,1.2,8,0,2000,2000,1543,129.0881410350754,0.05668579,0.34
48,5,1.2,8,0,2000,2000,1118,130.39349018965547,0.26362815,0.34
48,5,1.2,8,0,2000,2000,1508,127.05333302089696,0.06432815,0.34
48,5,1.2,8,0,2000,2000,1414,128.1129774120663,0.28691816,0.34
48,5,1.2,8,0,2000,2000,1474,128.70083735994672,0.084162034,0.34
48,5,1.2,8,0,2000,2000,1172,129.6149694780624,0.36973128,0.34
48,5,1.2,8,0,2000,2000,1462,128.53378999529627,0.09435071,0.34
48,5,1.2,8,0,2000,2000,1322,132.00653403052726,0.17619559,0.34
48,5,1.2,8,0,2000,2000,1447,130.0962307564727,0.16687103,0.34
48,5,1.2,8,0,2000,2000,1274,130.4816051835248,0.23535357,0.34
48,5,1.2,8,0,2000,2000,983,129.0605313848539,0.65484643,0.34
48,5,1.2,8,0,2000,2000,1386,127.21220591602521,0.24032472,0.34
48,5,1.2,8,0,2000,2000,1290,128.5280623990085,0.3049025,0.34
48,5,1.2,8,0,2000,2000,1147,129.51919706420685,0.36439702,0.34
48,5,1.2,8,0,2000,2000,1485,128.375973196648,0.16431323,0.34
48,5,1.2,8,0,2000,2000,987,129.71326017118136,0.69984275,0.34
48,5,1.2,8,0,2000,2000,1027,128.3419269060087,0.2842914,0.34
48,5,1.2,8,0,2000,2000,976,126.17580222167481,1.199077,0.34
48,5,1.2,8,0,2000,2000,992,127.66580664842746,1.1094844,0.34
48,5,1.2,8,0,2000,2000,974,124.81089199848441,1.0631618,0.34
48,5,1.2,8,0,2000,2000,960,115.1927269153855,1.9183104,0.34
48,5,1.2,8,0,2000,2000,922,123.06276251004725,4.2716784,0.34
48,5,1.2,8,0,2000,2000,810,122.57408270904233,3.7148185,0.34
48,5,1.2,8,0,2000,2000,808,110.45342142436188,4.4436865,0.34
48,5,1.2,8,0,2000,2000,604,110.62300246414135,5.97302,0.34
48,5,1.2,8,0,2000,2000,568,101.97593351639003,7.29192,0.33
48,5,1.2,8,0,2000,2000,757,98.45108549774356,6.4318657,0.33
48,5,1.2,8,0,2000,2000,628,98.7665353206974,4.918628,0.34
48,5,1.2,8,0,2000,2000,543,96.37587266948762,3.35462,0.33
48,5,1.2,8,0,2000,2000,525,76.05223548557983,4.12101,0.32
48,5,1.2,8,0,2000,2000,672,67.4257622458118,5.0065265,0.3
48,5,1.2,8,0,2000,2000,767,76.72438153509201,3.3931963,0.3
48,5,1.2,8,0,2000,2000,670,88.29870865327901,3.1306443,0.31
48,5,1.2,8,0,2000,2000,782,87.57335151640511,3.0964675,0.31
48,5,1.2,8,0,2000,2000,699,96.78366831007995,2.5230944,0.32
48,5,1.2,8,0,2000,2000,591,101.82201901825505,2.317334,0.32
48,5,1.2,8,0,2000,2000,650,104.76720677661449,1.9439497,0.32
48,5,1.2,8,0,2000,2000,936,126.12784227404889,1.5492349,0.32
48,5,1.2,8,0,2000,2000,876,123.63451267352758,1.4279009,0.32
48,5,1.2,8,0,2000,2000,916,126.24243861632688,1.7523664,0.32
48,5,1.2,8,0,2000,2000,862,107.70490066308817,2.7552032,0.32
48,5,1.2,8,0,2000,2000,911,83.42602699402973,3.5576372,0.32
48,5,1.2,8,0,2000,2000,793,83.27933598944482,3.0775402,0.33
48,5,1.2,8,0,2000,2000,905,98.3206896279368,0.9257648,0.33
48,5,1.2,8,0,2000,2000,957,137.1110540092625,1.3841608,0.33
48,5,1.2,8,0,2000,2000,887,116.02505566123196,1.8614544,0.33
48,5,1.2,8,0,2000,2000,936,110.54975834142073,2.010438,0.33
48,5,1.2,8,0,2000,2000,801,115.79161332179892,1.6648945,0.33
48,5,1.2,8,0,2000,2000,867,123.10007615613192,1.2390225,0.32
48,5,1.2,8,0,2000,2000,956,135.43679594512028,0.901698,0.32
48,5,1.2,8,0,2000,2000,856,143.47916451272985,0.811462,0.32
48,5,1.2,8,0,2000,2000,986,137.90114925948058,0.8254249,0.32
48,5,1.2,8,0,2000,2000,968,136.1852579534556,1.1149141,0.32
48,5,1.2,8,0,2000,2000,985,132.19436478341913,1.130041,0.32
48,5,1.2,8,0,2000,2000,984,123.4979388245989,1.3071547,0.32
48,5,1.2,8,0,2000,2000,868,129.52335729573377,1.5016115,0.33
48,5,1.2,8,0,2000,2000,662,127.38176091573447,2.877982,0.33
48,5,1.2,8,0,2000,2000,526,73.63204425087049,6.179637,0.33
48,5,1.2,8,0,2000,2000,764,57.92009861630039,7.5776563,0.33
48,5,1.2,8,0,2000,2000,601,54.9085781954064,7.5865884,0.33
48,5,1.2,8,0,2000,2000,583,60.302166330799864,6.305556,0.33
48,5,1.2,8,0,2000,2000,649,79.42499648432313,4.051522,0.34
48,5,1.2,8,0,2000,2000,797,127.57702884100553,1.6316565,0.34
48,5,1.2,8,0,2000,2000,830,162.2799083317636,1.1885297,0.34
48,5,1.2,8,0,2000,2000,773,151.58537137686,1.2932988,0.34
48,5,1.2,8,0,2000,2000,794,160.54900920977093,1.5534171,0.34
48,5,1.2,8,0,2000,2000,652,161.56798072136849,1.775549,0.34
48,5,1.2,8,0,2000,2000,679,130.07822778119527,2.7579007,0.34
48,5,1.2,8,0,2000,2000,547,125.16028330329992,4.915272,0.34
48,5,1.2,8,0,2000,2000,470,81.41555528929236,6.80654,0.33
48,5,1.2,8,0,2000,2000,602,64.11684900941854,7.5302043,0.33
48,5,1.2,8,0,2000,2000,583,60.75246334457568,7.06302,0.33
48,5,1.2,8,0,2000,2000,448,61.39263693193251,6.6388893,0.33
48,5,1.2,8,0,2000,2000,411,57.80248320462532,5.241407,0.29
48,5,1.2,8,0,2000,2000,503,75.11407466586223,4.188229,0.29
48,5,1.2,8,0,2000,2000,498,89.80053345478719,4.230535,0.29
48,5,1.2,8,0,2000,2000,621,120.37248545083938,3.8916206,0.31
48,5,1.2,8,0,2000,2000,590,115.93138041460834,4.4404635,0.29
48,5,1.2,8,0,2000,2000,465,100.98172036298317,4.941142,0.28
48,5,1.2,8,0,2000,2000,582,124.77350263253368,4.9412007,0.29
