patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1993,1993,1310,275.84036635350185,0.15634623,0.34,101.91668605939716,9.604665336879432,2.0595079787234045
48,5,1.2,8,0,2000,2000,1431,276.4503927229319,0.08143181,0.34,101.7289533466312,9.562555407801417,2.075576241134752
48,5,1.2,8,0,1997,1997,1313,274.8799215441665,0.14156716,0.34,101.61752825797872,9.524046985815602,2.1005097517730498
48,5,1.2,8,0,1998,1998,1360,256.5228386462623,0.113180086,0.34,101.83105330230497,9.545933067375886,2.0331892730496453
48,5,1.2,8,0,1994,1994,1388,275.83549686392547,0.1096221,0.34,101.93922041223404,9.60050975177305,2.0234929078014185
48,5,1.2,8,0,1996,1996,1412,272.7791444615174,0.08171373,0.34,101.87871786347517,9.557291666666666,2.051196808510638
48,5,1.2,8,0,2000,2000,1400,275.10829445500406,0.1051017,0.34,101.52475897606384,9.539007092198581,2.124058067375887
48,5,1.2,8,0,1998,1998,1425,276.6613917790099,0.088268265,0.34,101.86461934840426,9.565879875886525,2.045656028368794
48,5,1.2,8,0,2000,2000,1373,277.14488585796414,0.1222221,0.34,101.86175476507093,9.557291666666666,2.05396719858156
48,5,1.2,8,0,2000,2000,1444,275.5075065656464,0.077900805,0.34,101.4917774822695,9.541777482269504,2.130152925531915
48,5,1.2,8,0,1997,1997,1329,277.2592708644558,0.13191092,0.34,101.77777593085106,9.55147384751773,2.0279255319148937
48,5,1.2,8,0,1995,1995,1324,263.52671379214837,0.11303601,0.34,101.80984319592199,9.510749113475176,2.0351285460992905
48,5,1.2,8,0,1997,1997,1434,272.1022762437234,0.089972846,0.34,101.5429493572695,9.547041223404255,2.1085438829787235
48,5,1.2,8,0,1994,1994,1398,261.80758484570566,0.100958996,0.34,101.69871730939717,9.519060283687942,2.057014627659574
48,5,1.2,8,0,1992,1992,1421,267.23414158136626,0.09370376,0.34,101.76012300531914,9.554521276595745,2.052582003546099
48,5,1.2,8,0,2000,2000,1392,260.7890690206629,0.09731953,0.34,101.65154033687944,9.55646054964539,2.084718528368794
48,5,1.2,8,0,1999,1999,1404,269.2623366275432,0.07924788,0.34,101.88057956560284,9.58915115248227,2.021276595744681
48,5,1.2,8,0,1997,1997,1423,273.3167550649202,0.07854661,0.34,101.4572695035461,9.46448359929078,2.1478834219858154
48,5,1.2,8,0,1983,1983,1377,275.68099768555004,0.113707565,0.34,101.67746010638298,9.516566932624114,2.0794547872340425
48,5,1.2,8,0,1994,1994,1390,273.8698120318582,0.11522595,0.34,101.5627964317376,9.49468085106383,2.1129765070921986
48,5,1.2,8,0,1996,1996,1402,257.969170201585,0.09567117,0.34,101.7170351285461,9.51241134751773,2.057845744680851
48,5,1.2,8,0,1992,1992,1420,276.8084300980405,0.11044268,0.34,101.82713042996454,9.554244237588652,2.0500886524822697
48,5,1.2,8,0,1990,1990,1413,277.0176442258117,0.09023239,0.34,101.69318484042553,9.564217641843973,2.065879875886525
48,5,1.2,8,0,1999,1999,1489,278.67952069194035,0.081354514,0.34,101.7616716533688,9.590259308510639,2.0531360815602837
48,5,1.2,8,0,1998,1998,1435,277.7342154566542,0.091209814,0.34,101.77676196808511,9.514073581560284,2.0478723404255317
48,5,1.2,8,0,1997,1997,1470,277.21330617871376,0.08943178,0.34,101.74074966755319,9.545933067375886,2.074191046099291
48,5,1.2,8,0,1994,1994,1428,276.3376461073069,0.09895167,0.34,101.56356660017731,9.563109485815604,2.09302969858156
48,5,1.2,8,0,1998,1998,1471,276.46135728381614,0.07903564,0.34,101.79586934840425,9.51490469858156,2.0359596631205674
48,5,1.2,8,0,1993,1993,1436,276.75464827245537,0.08390465,0.34,101.65633311170212,9.541777482269504,2.0725288120567376
48,5,1.2,8,0,1996,1996,1440,277.0601129331752,0.08236382,0.34,101.770741910461,9.530695921985815,2.044824911347518
48,5,1.2,8,0,1994,1994,1431,277.7572413122482,0.08131558,0.34,101.4851091533688,9.472240691489361,2.1282136524822697
48,5,1.2,8,0,1996,1996,1454,277.37033985241357,0.083631635,0.34,101.7297539893617,9.552027925531915,2.049257535460993
48,5,1.2,8,0,1997,1997,1420,277.36119204383266,0.07771364,0.34,101.57066988031914,9.543162677304965,2.0908133865248226
48,5,1.2,8,0,1990,1990,1418,276.1920901267985,0.07831237,0.34,101.80652426861703,9.467531028368795,2.035405585106383
