patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1973,1973,45,121.33827440384758,10.583545,0.1,75.08899739583333,0.0,0.0
48,5,1.2,8,0,1973,1973,68,127.5252507472992,10.239073,0.12,74.62518880208333,0.0,0.0
48,5,1.2,8,0,1965,1965,45,140.39759438144895,11.419093,0.11,74.25242838541666,0.0,0.0
48,5,1.2,8,0,1974,1974,47,119.1503240227593,9.215174,0.11,74.39348307291667,0.0,0.0
48,5,1.2,8,0,1987,1987,52,128.79541006262036,9.995664,0.11,74.28810872395833,0.0,0.0
48,5,1.2,8,0,1966,1966,49,119.01755963591471,10.353174,0.11,74.016611328125,0.0,0.0
48,5,1.2,8,0,1979,1979,71,128.3335477008396,10.91891,0.11,73.54860677083333,0.0,0.0
48,5,1.2,8,0,1973,1973,49,111.43986385547849,10.725247,0.11,73.430224609375,0.0,0.0
48,5,1.2,8,0,1971,1971,56,118.17333786213133,11.089701,0.12,72.87948567708334,0.0,0.0
48,5,1.2,8,0,1986,1986,61,107.10938463972936,10.98788,0.12,72.60993815104166,0.0,0.0
48,5,1.2,8,0,1978,1978,57,119.14489851327475,9.261423,0.12,72.331669921875,0.0,0.0
48,5,1.2,8,0,1961,1961,49,106.76846856990392,9.491169,0.12,72.3246484375,0.0,0.0
48,5,1.2,8,0,1966,1966,57,113.37366536250642,9.669351,0.11,72.351259765625,0.0,0.0
48,5,1.2,8,0,1971,1971,54,107.04880499902299,9.487146,0.11,72.42940104166667,0.0,0.0
48,5,1.2,8,0,1973,1973,113,118.46834583193464,13.102398,0.11,72.35457682291667,0.0,0.0
48,5,1.2,8,0,1970,1970,55,101.52303572844399,9.898595,0.11,72.81709309895834,0.0,0.0
48,5,1.2,8,0,1968,1968,63,113.3652499069108,11.227094,0.11,72.64285481770834,0.0,0.0
48,5,1.2,8,0,1964,1964,65,106.63527640422186,10.089756,0.11,72.554501953125,0.0,0.0
48,5,1.2,8,0,1950,1950,48,111.71074833132428,10.13802,0.11,72.68222981770833,0.0,0.0
48,5,1.2,8,0,1951,1951,51,101.0363211822086,10.631162,0.1,72.78224283854166,0.0,0.0
48,5,1.2,8,0,1961,1961,49,109.7440715988053,10.650352,0.1,72.71247721354166,0.0,0.0
48,5,1.2,8,0,1959,1959,53,100.3695258394771,10.436743,0.11,72.755947265625,0.0,0.0
48,5,1.2,8,0,1953,1953,74,109.99061786901689,10.893757,0.1,72.45634440104166,0.0,0.0
48,5,1.2,8,0,1960,1960,39,95.71707950285803,9.169567,0.11,72.53970377604166,0.0,0.0
48,5,1.2,8,0,1965,1965,63,108.53827664429349,10.61995,0.1,72.29322265625,0.0,0.0
48,5,1.2,8,0,1975,1975,52,98.23303471856649,7.803917,0.11,72.46677083333333,0.0,0.0
48,5,1.2,8,0,1958,1958,53,108.15606444929972,7.909279,0.1,72.36833984375,0.0,0.0
48,5,1.2,8,0,1953,1953,49,96.75312486228944,7.9466944,0.11,72.257763671875,0.0,0.0
48,5,1.2,8,0,1950,1950,42,108.19003218549095,8.290457,0.12,71.95340494791667,0.0,0.0
48,5,1.2,8,0,1952,1952,63,99.99315428389444,10.121855,0.11,72.27020833333333,0.0,0.0
48,5,1.2,8,0,1944,1944,43,109.39973205460441,9.002505,0.11,72.27544270833333,0.0,0.0
48,5,1.2,8,0,1951,1951,50,100.97517252136865,9.775077,0.11,72.163955078125,0.0,0.0
48,5,1.2,8,0,1957,1957,86,107.8405923204952,11.419334,0.11,72.135263671875,0.0,0.0
48,5,1.2,8,0,1949,1949,46,93.92089472824733,8.738288,0.11,72.31588216145833,0.0,0.0
48,5,1.2,8,0,1952,1952,75,110.46136705928377,10.539866,0.11,72.00187174479167,0.0,0.0
48,5,1.2,8,0,1961,1961,55,97.9191657877604,10.3738785,0.12,71.805478515625,0.0,0.0
48,5,1.2,8,0,1964,1964,69,109.0368650525305,9.576069,0.12,71.66995768229167,0.0,0.0
