patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1939,1939,174,97.58571282779907,9.63624,0.15,79.923720703125,0.0,0.0
48,5,1.2,8,0,1947,1947,105,89.770660140472,10.554525,0.16,80.09902669270834,0.0,0.0
48,5,1.2,8,0,1961,1961,154,113.33407461029687,11.462875,0.16,80.00353841145834,0.0,0.0
48,5,1.2,8,0,1956,1956,86,99.23719238102174,12.041245,0.16,80.537412109375,0.0,0.0
48,5,1.2,8,0,1952,1952,119,115.17136706843907,12.397774,0.16,80.95494791666667,0.0,0.0
48,5,1.2,8,0,1947,1947,89,108.23173007541232,10.897281,0.17,81.33918619791666,0.0,0.0
48,5,1.2,8,0,1949,1949,139,126.94867361043293,12.131993,0.16,81.96347330729166,0.0,0.0
48,5,1.2,8,0,1936,1936,98,106.88069985960854,11.952199,0.17,80.715732421875,0.0,0.0
48,5,1.2,8,0,1939,1939,111,124.2604601506551,12.092403,0.17,79.442744140625,0.0,0.0
48,5,1.2,8,0,1933,1933,71,105.55927393340006,13.695416,0.17,79.62380208333333,0.0,0.0
48,5,1.2,8,0,1927,1927,63,122.0077140764766,13.523457,0.17,79.35798828125,0.0,0.0
48,5,1.2,8,0,1913,1913,61,106.7853373336686,10.50167,0.16,79.45295572916666,0.0,0.0
48,5,1.2,8,0,1907,1907,46,110.95107301075195,9.979778,0.16,79.22978841145833,0.0,0.0
48,5,1.2,8,0,1890,1890,37,94.07178020849226,10.643033,0.17,78.80379557291667,0.0,0.0
48,5,1.2,8,0,1866,1866,36,89.8813986744245,10.8117,0.17,77.81098958333334,0.0,0.0
48,5,1.2,8,0,1865,1865,70,89.96068321122065,11.584708,0.17,76.95671223958334,0.0,0.0
48,5,1.2,8,0,1834,1834,33,70.40871973028183,10.464088,0.17,76.633212890625,0.0,0.0
48,5,1.2,8,0,1787,1787,32,60.23747954033745,7.776542,0.17,76.60705078125,0.0,0.0
48,5,1.2,8,0,1763,1763,18,47.801270972686346,6.673547,0.17,77.39911458333333,0.0,0.0
48,5,1.2,8,0,1740,1740,23,41.474926689995655,6.70454,0.16,77.73955403645833,0.0,0.0
48,5,1.2,8,0,1702,1702,27,38.797597486326445,6.198879,0.16,77.07026692708334,0.0,0.0
48,5,1.2,8,0,1666,1666,28,40.682785542424526,5.0368466,0.16,76.13556640625,0.0,0.0
48,5,1.2,8,0,1702,1702,49,40.07015475564533,3.8413517,0.16,75.24319986979167,0.0,0.0
48,5,1.2,8,0,1677,1677,38,42.695394221740315,4.4819627,0.16,74.75634114583333,0.0,0.0
48,5,1.2,8,0,1676,1676,54,41.01937403356762,3.8660245,0.16,74.06998697916667,0.0,0.0
48,5,1.2,8,0,1714,1714,39,44.01807932531568,3.5517728,0.16,73.73335286458334,0.0,0.0
48,5,1.2,8,0,1692,1692,112,43.99521639504962,2.9999862,0.15,73.500458984375,0.0,0.0
48,5,1.2,8,0,1722,1722,72,48.02119778924519,3.0851543,0.15,73.3978515625,0.0,0.0
48,5,1.2,8,0,1709,1709,139,45.86849534114203,2.58718,0.15,73.39933268229167,0.0,0.0
48,5,1.2,8,0,1725,1725,97,48.45774738053213,2.794532,0.15,73.534267578125,0.0,0.0
48,5,1.2,8,0,1756,1756,177,46.96100147802566,2.4255388,0.15,73.65703125,0.0,0.0006510416666666667
48,5,1.2,8,0,1758,1758,108,52.350880574448894,2.8229463,0.15,73.6704296875,0.0,0.00032552083333333337
48,5,1.2,8,0,1738,1738,111,47.1973417356703,2.7912261,0.15,73.80246744791667,0.0,0.00032552083333333337
48,5,1.2,8,0,1750,1750,106,51.59631082406573,2.781526,0.15,73.79687825520833,0.0,0.0013020833333333335
48,5,1.2,8,0,1722,1722,108,48.68532176665201,2.7320137,0.15,73.70540690104167,0.0,0.0
48,5,1.2,8,0,1753,1753,188,56.1741471347385,2.4567792,0.15,73.5465234375,0.0,0.002604166666666667
48,5,1.2,8,0,1713,1713,141,50.3521320737097,2.9900134,0.14,73.506259765625,0.0,0.0013020833333333335
48,5,1.2,8,0,1694,1694,111,53.719968913173666,2.85287,0.15,73.27580729166667,0.0,0.0009765625
48,5,1.2,8,0,1677,1677,135,51.07681918071112,3.3797343,0.15,73.20182942708334,0.0,0.00032552083333333337
48,5,1.2,8,0,1680,1680,164,57.461050299231225,3.6237257,0.15,73.34745442708333,0.0,0.0
48,5,1.2,8,0,1676,1676,141,51.22789412433836,4.0592613,0.15,73.58541015625,0.0,0.0
48,5,1.2,8,0,1660,1660,167,53.48538222197424,4.655117,0.15,73.6283203125,0.0,0.0
48,5,1.2,8,0,1698,1698,249,49.211633516852054,3.820678,0.15,73.69311197916667,0.0,0.0
48,5,1.2,8,0,1696,1696,142,53.45276511090596,5.213096,0.14,73.75065755208334,0.0,0.00032552083333333337
48,5,1.2,8,0,1730,1730,229,47.01826013993158,4.6581435,0.14,73.73116536458333,0.0,0.0
48,5,1.2,8,0,1734,1734,154,48.927446988254125,6.3930078,0.15,73.75731119791666,0.0,0.0
48,5,1.2,8,0,1734,1734,158,44.43097005140517,7.537807,0.14,73.59098307291667,0.0,0.0
48,5,1.2,8,0,1760,1760,151,47.88677381387288,9.444211,0.14,73.18205729166667,0.0,0.0
48,5,1.2,8,0,1771,1771,149,44.18813379278182,10.713671,0.14,72.613515625,0.0,0.0
48,5,1.2,8,0,1777,1777,141,41.18994948492049,11.150335,0.15,71.63213216145833,0.0,0.0
48,5,1.2,8,0,1789,1789,137,41.11616857222452,12.672659,0.15,70.5133203125,0.0,0.0
48,5,1.2,8,0,1830,1830,120,38.30511535373264,12.292487,0.14,69.98703776041667,0.0,0.0
48,5,1.2,8,0,1817,1817,100,36.26165342610677,13.132676,0.15,70.20679036458333,0.0,0.0
48,5,1.2,8,0,1866,1866,115,49.59556842930052,14.765666,0.16,70.35100911458333,0.0,0.0
48,5,1.2,8,0,1871,1871,126,38.7281079059177,11.328286,0.16,70.404873046875,0.0,0.0
48,5,1.2,8,0,1859,1859,67,42.62701621483696,14.823026,0.15,70.29581705729167,0.0,0.0
48,5,1.2,8,0,1855,1855,57,40.00430182291666,14.331016,0.14,70.51031901041667,0.0,0.0
48,5,1.2,8,0,1857,1857,52,43.63428298742506,13.479827,0.12,71.35166666666667,0.0,0.0
48,5,1.2,8,0,1879,1879,47,40.15881293928359,12.861217,0.12,73.39617513020833,0.0,0.0
48,5,1.2,8,0,1878,1878,25,39.416454180865806,10.215137,0.14,75.740947265625,0.0,0.0
48,5,1.2,8,0,1893,1893,56,53.67095404509438,9.74112,0.16,78.42734700520833,0.0,0.0
48,5,1.2,8,0,1867,1867,44,43.39220004742939,8.659353,0.16,80.09109700520834,0.0,0.0
48,5,1.2,8,0,1844,1844,36,45.39921543196572,8.320978,0.17,81.77102864583334,0.0,0.0
48,5,1.2,8,0,1855,1855,25,43.363103527662496,7.764902,0.18,83.5426953125,0.0,0.0
48,5,1.2,8,0,1825,1825,22,43.67208658293618,8.903683,0.19,85.13748046875,0.0,0.0
48,5,1.2,8,0,1810,1810,26,55.04536813964844,8.01701,0.19,87.41646484375,0.0,0.0
48,5,1.2,8,0,1785,1785,25,40.87804704325994,5.9138293,0.2,89.88874348958333,0.0,0.0
48,5,1.2,8,0,1768,1768,35,40.92187945895724,4.416339,0.2,91.59806966145834,0.0,0.0
48,5,1.2,8,0,1751,1751,23,37.53109880615871,4.850597,0.2,92.554091796875,0.0,0.0
48,5,1.2,8,0,1745,1745,48,42.57781100192601,3.0839393,0.2,93.55808919270834,0.0,0.0
48,5,1.2,8,0,1708,1708,34,36.81129860762491,3.5579467,0.21,92.13495768229167,0.0,0.0
48,5,1.2,8,0,1667,1667,34,38.596130056381234,3.2662966,0.21,92.827783203125,0.0,0.0
48,5,1.2,8,0,1668,1668,45,36.63881483687293,2.762046,0.21,93.308330078125,0.0,0.0
48,5,1.2,8,0,1689,1689,62,40.7356283050113,2.3506696,0.21,93.34794921875,0.0,0.0
48,5,1.2,8,0,1706,1706,46,35.42432295480305,2.7645261,0.21,93.38982096354167,0.0,0.0
48,5,1.2,8,0,1671,1671,33,39.12371984243393,2.8203382,0.21,93.01506184895834,0.0,0.0
48,5,1.2,8,0,1730,1730,24,37.8054393564754,2.8025298,0.21,92.673408203125,0.0,0.0
48,5,1.2,8,0,1742,1742,62,41.673094911321,2.293812,0.21,92.18385091145834,0.0,0.0
48,5,1.2,8,0,1761,1761,23,37.1438399653011,3.2883298,0.21,91.71499674479166,0.0,0.0
48,5,1.2,8,0,1755,1755,72,43.41279619851642,2.812077,0.2,90.90024088541666,0.0,0.0
48,5,1.2,8,0,1748,1748,38,40.815116546249385,3.5636556,0.21,90.50230143229167,0.0,0.0
48,5,1.2,8,0,1776,1776,73,45.975431666808646,3.5946426,0.2,90.000126953125,0.0,0.0
48,5,1.2,8,0,1770,1770,38,41.218505671819045,3.062544,0.2,89.74164713541667,0.0,0.0
48,5,1.2,8,0,1754,1754,39,45.31893178198071,3.040542,0.2,89.19371419270833,0.0,0.0
48,5,1.2,8,0,1746,1746,56,44.62081873368158,3.6399097,0.19,88.5392578125,0.0,0.0
48,5,1.2,8,0,1751,1751,82,51.290107352320355,3.508356,0.19,88.08902994791667,0.0,0.0
48,5,1.2,8,0,1755,1755,50,46.59138782717386,3.0139573,0.2,87.86034505208333,0.0,0.0
48,5,1.2,8,0,1733,1733,40,50.199222443379306,3.4396021,0.19,87.20873372395833,0.0,0.0
48,5,1.2,8,0,1735,1735,47,47.833074775600416,3.077123,0.19,87.02225911458333,0.0,0.0
48,5,1.2,8,0,1748,1748,57,52.226623344887635,2.6657257,0.19,86.387890625,0.0,0.0
48,5,1.2,8,0,1750,1750,61,47.332290470377615,2.9951286,0.19,85.82695963541667,0.0,0.0
48,5,1.2,8,0,1733,1733,70,49.02571003637313,3.2960224,0.19,85.42636067708334,0.0,0.0
48,5,1.2,8,0,1730,1730,73,46.3675482176039,3.1723535,0.19,85.222099609375,0.0,0.0
48,5,1.2,8,0,1741,1741,91,52.26996393813027,3.4606233,0.18,84.7528515625,0.0,0.0
48,5,1.2,8,0,1748,1748,63,45.96409828184974,3.2886379,0.18,84.587548828125,0.0,0.0
48,5,1.2,8,0,1740,1740,113,45.73420895460977,3.4426806,0.19,84.17030924479167,0.0,0.0
48,5,1.2,8,0,1719,1719,60,43.37998396808837,3.4411845,0.2,84.135390625,0.0,0.0
48,5,1.2,8,0,1703,1703,100,46.692251746612115,3.6319401,0.19,83.38112630208333,0.0,0.0
48,5,1.2,8,0,1667,1667,65,41.4613256427341,3.8915026,0.2,83.10180013020833,0.0,0.0
48,5,1.2,8,0,1635,1635,74,42.002152254062224,3.477948,0.2,83.00704752604166,0.0,0.0
48,5,1.2,8,0,1615,1615,114,40.67286555985344,2.903142,0.21,82.98785807291667,0.0,0.0
48,5,1.2,8,0,1593,1593,87,42.933401411904235,3.5040963,0.2,82.92280598958334,0.0,0.0
48,5,1.2,8,0,1584,1584,149,38.9227306950781,2.9953425,0.21,83.17416015625,0.0,0.0
48,5,1.2,8,0,1589,1589,147,40.365200476317945,2.6462338,0.21,83.40312825520833,0.0,0.0
48,5,1.2,8,0,1563,1563,96,37.29631572197808,3.070973,0.21,83.492880859375,0.0,0.0
48,5,1.2,8,0,1574,1574,102,42.195175053872,3.1609938,0.2,83.61165690104167,0.0,0.0
48,5,1.2,8,0,1565,1565,85,36.63179026869668,2.9108284,0.2,83.95650716145833,0.0,0.0
48,5,1.2,8,0,1552,1552,95,39.57006397802567,3.2081168,0.21,84.08247721354167,0.0,0.0
48,5,1.2,8,0,1524,1524,134,37.430927646626365,2.3921096,0.2,84.57277669270833,0.0,0.0
48,5,1.2,8,0,1506,1506,76,42.33447552489174,2.7317579,0.21,84.89782552083334,0.0,0.0
48,5,1.2,8,0,1434,1434,125,35.89908942615721,2.3150582,0.2,86.53421875,0.0,0.0
48,5,1.2,8,0,1448,1448,86,39.70221353556313,3.2552996,0.2,86.92790690104167,0.0,0.0
48,5,1.2,8,0,1387,1387,161,38.082093768268166,2.131494,0.2,87.42652994791666,0.0,0.0
48,5,1.2,8,0,1416,1416,68,43.204020616149904,3.2514784,0.2,87.44777018229166,0.0,0.0
48,5,1.2,8,0,1340,1340,73,38.33790548434788,3.3049996,0.2,88.21419270833333,0.0,0.0
48,5,1.2,8,0,1417,1417,80,42.23800089501276,3.2992284,0.19,89.09770182291666,0.0,0.0
48,5,1.2,8,0,1368,1368,91,40.44383259260389,3.1584027,0.2,89.89959309895833,0.0,0.0
48,5,1.2,8,0,1392,1392,149,45.008793471431744,2.31174,0.19,90.4866796875,0.0,0.0
48,5,1.2,8,0,1381,1381,81,38.83469509801866,2.4246395,0.2,90.84408528645834,0.0,0.0
48,5,1.2,8,0,1415,1415,93,42.88478205607731,2.4929397,0.19,91.246064453125,0.0,0.0
48,5,1.2,8,0,1418,1418,88,40.5020923626264,2.3110404,0.19,91.7993359375,0.0,0.0
48,5,1.2,8,0,1435,1435,120,49.08094399346246,2.261888,0.19,90.37736979166667,0.0,0.0
48,5,1.2,8,0,1486,1486,188,42.69113911230299,1.831454,0.18,88.90373697916667,0.0,0.0
48,5,1.2,8,0,1497,1497,104,48.14304871351455,2.3271325,0.17,87.29290364583333,0.0,0.0
48,5,1.2,8,0,1532,1532,153,47.32089838557774,2.0397222,0.16,87.729072265625,0.0,0.0
48,5,1.2,8,0,1532,1532,132,56.124493915038634,2.5529833,0.16,87.95040690104166,0.0,0.0
48,5,1.2,8,0,1539,1539,147,50.544757568317,2.575915,0.16,88.265546875,0.0,0.0
48,5,1.2,8,0,1528,1528,163,54.877928808593765,2.8838758,0.15,86.728623046875,0.0,0.0
48,5,1.2,8,0,1558,1558,161,53.99661638004514,3.0606797,0.15,86.91755208333333,0.0,0.0
48,5,1.2,8,0,1574,1574,172,64.31166313678952,3.3482075,0.15,86.8853515625,0.0,0.0
48,5,1.2,8,0,1605,1605,251,57.807939907487246,2.9679115,0.15,87.00973958333333,0.0,0.0
48,5,1.2,8,0,1633,1633,186,62.18358190087212,3.5917504,0.15,87.002978515625,0.0,0.0
48,5,1.2,8,0,1650,1650,245,56.76694695328606,3.2542663,0.15,86.99992513020834,0.0,0.0
48,5,1.2,8,0,1660,1660,191,71.90229693942601,4.057875,0.15,85.39849934895834,0.0,0.0
48,5,1.2,8,0,1693,1693,271,62.920848050901625,3.7564058,0.15,85.49802083333333,0.0,0.0
48,5,1.2,8,0,1681,1681,155,69.01685819701089,4.5512953,0.15,85.58321940104166,0.0,0.0
48,5,1.2,8,0,1710,1710,163,61.68303193197249,5.6212573,0.15,85.985732421875,0.0,0.0
48,5,1.2,8,0,1758,1758,151,76.21893730858694,6.357207,0.15,86.54514973958334,0.0,0.0
48,5,1.2,8,0,1755,1755,132,66.20227179411782,7.0752,0.15,87.41380859375,0.0,0.0
48,5,1.2,8,0,1777,1777,132,76.37758767995837,7.378226,0.15,88.168076171875,0.0,0.0
48,5,1.2,8,0,1791,1791,99,85.52751830630832,7.4852734,0.15,87.06692057291667,0.0,0.0
48,5,1.2,8,0,1790,1790,93,64.51406324207518,7.4567885,0.15,87.12284505208333,0.0,0.0
48,5,1.2,8,0,1808,1808,91,63.96426379123264,7.08591,0.15,85.19740559895833,0.0,0.0
48,5,1.2,8,0,1804,1804,158,58.25370730183918,6.907436,0.14,85.06671875,0.0,0.0
48,5,1.2,8,0,1773,1773,81,64.6828109160953,6.250742,0.14,84.85028971354167,0.0,0.0
48,5,1.2,8,0,1761,1761,79,53.92587511459986,5.9398823,0.15,84.27937174479166,0.0,0.0
48,5,1.2,8,0,1760,1760,69,56.43109737903807,5.663392,0.14,83.51475260416667,0.0,0.0
48,5,1.2,8,0,1780,1780,173,50.79343577050102,5.310946,0.14,82.73413736979167,0.0,0.0
48,5,1.2,8,0,1760,1760,99,56.591173794799374,5.28691,0.14,82.270185546875,0.0,0.0
48,5,1.2,8,0,1758,1758,85,47.390000924417706,5.072205,0.14,81.61186848958333,0.0,0.0
48,5,1.2,8,0,1743,1743,167,52.759028968641495,4.5092683,0.14,80.61645833333333,0.0,0.0
48,5,1.2,8,0,1749,1749,101,47.42587890353734,5.6008177,0.14,79.97941731770834,0.0,0.0
48,5,1.2,8,0,1769,1769,126,56.30584584448072,5.457629,0.14,79.22203450520833,0.0,0.0
48,5,1.2,8,0,1782,1782,138,46.32342817254597,5.645383,0.14,78.85414713541667,0.0,0.0
48,5,1.2,8,0,1775,1775,270,51.90257996850544,5.3357563,0.13,78.54420247395834,0.0,0.0
48,5,1.2,8,0,1798,1798,122,45.33159963951111,5.520817,0.13,78.37697591145833,0.0,0.0
48,5,1.2,8,0,1774,1774,169,55.505071317450216,5.9976044,0.13,77.81933919270833,0.0,0.0
48,5,1.2,8,0,1777,1777,202,44.69212324005763,6.243835,0.13,77.45939127604167,0.0,0.0
48,5,1.2,8,0,1781,1781,211,49.98582168959511,5.750681,0.12,76.85425455729167,0.0,0.0
48,5,1.2,8,0,1800,1800,269,43.99030160131454,5.911096,0.12,76.35806966145833,0.0,0.0
48,5,1.2,8,0,1820,1820,238,55.069112924353284,5.8115664,0.12,75.99701497395833,0.0,0.0
48,5,1.2,8,0,1818,1818,261,43.40073184660806,6.124713,0.12,75.91125651041666,0.0,0.0
48,5,1.2,8,0,1829,1829,262,50.273213831318735,6.1035223,0.12,75.62761067708334,0.0,0.0
48,5,1.2,8,0,1837,1837,241,46.250841923936214,5.814757,0.11,75.36823567708333,0.0,0.0
48,5,1.2,8,0,1874,1874,433,58.2758524236043,5.526166,0.11,74.96497395833333,0.0,0.0
48,5,1.2,8,0,1866,1866,295,46.416832590643565,6.0924816,0.11,74.78357096354166,0.0,0.0
48,5,1.2,8,0,1908,1908,287,54.22240083376566,7.5806828,0.11,74.39461263020833,0.0,0.0
48,5,1.2,8,0,1920,1920,312,48.33868842009439,8.845938,0.11,74.12969401041667,0.0,0.0
48,5,1.2,8,0,1930,1930,394,62.53157665878932,8.568042,0.11,73.87730794270833,0.0,0.0
48,5,1.2,8,0,1940,1940,260,51.8725777967665,10.480124,0.12,73.92758138020834,0.0,0.0
48,5,1.2,8,0,1942,1942,247,62.084638580226915,12.642838,0.12,73.879052734375,0.0,0.0
48,5,1.2,8,0,1962,1962,220,56.13711008283826,14.644199,0.13,74.046533203125,0.0,0.0
48,5,1.2,8,0,1971,1971,240,68.76160777384439,13.638534,0.14,74.68218424479167,0.0,0.00032552083333333337
