patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1929,1929,304,32.67890283447902,4.766428,0.17,74.25773111979167,0.0,0.004557291666666667
48,5,1.2,8,0,1898,1898,299,36.52238905028237,4.8480015,0.17,74.40276041666667,0.0,0.005208333333333334
48,5,1.2,8,0,1904,1904,178,30.65400278010898,6.1945157,0.17,75.03424153645834,0.0,0.0022786458333333335
48,5,1.2,8,0,1936,1936,330,43.920806668334535,5.0890293,0.17,75.64142252604167,0.0,0.002604166666666667
48,5,1.2,8,0,1890,1890,340,32.690129123263894,4.8046565,0.16,75.93578125,0.0,0.001953125
48,5,1.2,8,0,1904,1904,328,39.238127930694155,5.173197,0.17,75.70888997395834,0.0,0.0013020833333333335
48,5,1.2,8,0,1883,1883,302,30.921914550770666,5.030941,0.17,75.434296875,0.0,0.0013020833333333335
48,5,1.2,8,0,1910,1910,218,46.8399294339392,5.787672,0.17,75.40027669270833,0.0,0.0016276041666666667
48,5,1.2,8,0,1894,1894,375,34.1081335043907,5.209023,0.17,76.91125,0.0,0.00032552083333333337
48,5,1.2,8,0,1888,1888,425,41.10303023629717,4.049229,0.17,76.678154296875,0.0,0.0016276041666666667
48,5,1.2,8,0,1871,1871,532,41.04865884043377,3.062063,0.17,76.47439453125,0.0,0.0009765625
48,5,1.2,8,0,1898,1898,476,52.98451371272404,2.7056055,0.17,76.52951497395833,0.0,0.0016276041666666667
48,5,1.2,8,0,1890,1890,548,42.736338643010434,2.505666,0.17,76.934853515625,0.0,0.0006510416666666667
48,5,1.2,8,0,1884,1884,584,46.875383499993234,1.9847741,0.17,77.027529296875,0.0,0.0006510416666666667
48,5,1.2,8,0,1879,1879,801,48.53945142957898,0.49649942,0.17,76.879921875,0.0,0.0006510416666666667
48,5,1.2,8,0,1864,1864,649,61.57709724867079,0.46711126,0.17,76.67023111979167,0.0,0.0032552083333333335
48,5,1.2,8,0,1878,1878,734,48.38620754215454,0.57582563,0.17,76.84547526041666,0.0,0.0013020833333333335
48,5,1.2,8,0,1875,1875,782,49.01133409016928,0.7035878,0.17,76.84158203125,0.0,0.0006510416666666667
48,5,1.2,8,0,1882,1882,740,46.112745717324145,0.43862402,0.17,76.93172526041667,0.0,0.0013020833333333335
48,5,1.2,8,0,1877,1877,719,53.954147492207426,0.56368625,0.17,76.76973307291667,0.0,0.0009765625
48,5,1.2,8,0,1871,1871,567,42.636779962793995,3.12936,0.17,76.66395833333333,0.0,0.0013020833333333335
48,5,1.2,8,0,1884,1884,591,46.5780464761946,2.3902187,0.17,76.48279296875,0.0,0.001953125
48,5,1.2,8,0,1877,1877,452,39.74932146602205,3.2896419,0.17,76.94245768229166,0.0,0.0013020833333333335
48,5,1.2,8,0,1891,1891,419,46.88211243708929,4.0441914,0.17,77.10044270833333,0.0,0.00032552083333333337
48,5,1.2,8,0,1887,1887,462,34.5110958017879,4.20251,0.17,76.84231119791667,0.0,0.00032552083333333337
48,5,1.2,8,0,1885,1885,251,38.972813262674556,5.3952775,0.17,76.74719401041666,0.0,0.001953125
48,5,1.2,8,0,1877,1877,366,32.593454099485605,4.762747,0.17,77.5328125,0.0,0.0
48,5,1.2,8,0,1880,1880,416,40.768179967996815,4.1320176,0.17,77.57095703125,0.0,0.00032552083333333337
48,5,1.2,8,0,1900,1900,387,32.64754743185043,4.315714,0.18,77.85624674479166,0.0,0.0006510416666666667
48,5,1.2,8,0,1888,1888,302,32.86837222760517,4.881043,0.18,78.03344075520833,0.0,0.0
48,5,1.2,8,0,1885,1885,251,34.172569391844014,5.943967,0.17,78.25864583333333,0.0,0.00032552083333333337
48,5,1.2,8,0,1890,1890,311,43.594875563557935,4.7383504,0.17,78.49798502604166,0.0,0.0
48,5,1.2,8,0,1868,1868,284,30.29709548742506,4.4047704,0.17,78.52203776041667,0.0,0.0
48,5,1.2,8,0,1881,1881,392,33.16373019611573,3.7574568,0.17,78.93598307291667,0.0,0.0
48,5,1.2,8,0,1886,1886,368,27.122158182610406,4.61443,0.16,79.249072265625,0.0,0.00032552083333333337
48,5,1.2,8,0,1888,1888,425,39.82683585912917,3.7499423,0.16,78.732763671875,0.0,0.00032552083333333337
48,5,1.2,8,0,1899,1899,237,30.838114707427557,5.6885014,0.16,78.66626953125,0.0,0.0
48,5,1.2,8,0,1886,1886,318,34.08195665889316,4.0568953,0.17,78.75300130208333,0.0,0.0009765625
48,5,1.2,8,0,1891,1891,322,28.849389451079897,4.397824,0.17,79.49635091145834,0.0,0.0
48,5,1.2,8,0,1867,1867,331,37.992060365030504,3.7257202,0.17,79.46345377604166,0.0,0.0
48,5,1.2,8,0,1864,1864,353,29.934778638670178,5.073857,0.16,79.28381510416666,0.0,0.0
48,5,1.2,8,0,1868,1868,207,32.509436494096114,5.461773,0.17,78.30973307291667,0.0,0.0
48,5,1.2,8,0,1861,1861,338,29.705169221835657,4.446355,0.17,78.950302734375,0.0,0.0
48,5,1.2,8,0,1880,1880,379,41.01020833180745,4.133654,0.17,79.12001627604167,0.0,0.0
48,5,1.2,8,0,1863,1863,334,33.69125620418126,4.769048,0.17,79.36298502604167,0.0,0.0
48,5,1.2,8,0,1842,1842,307,28.769524488279554,5.142758,0.17,78.73948893229166,0.0,0.0
48,5,1.2,8,0,1861,1861,317,40.28825658542847,4.2820487,0.17,78.06640625,0.0,0.0
48,5,1.2,8,0,1861,1861,230,30.596327527268745,5.3680377,0.17,78.89756184895833,0.0,0.0
48,5,1.2,8,0,1877,1877,270,35.286800030506996,4.786375,0.17,79.748642578125,0.0,0.0
48,5,1.2,8,0,1887,1887,305,30.210960808266524,4.643565,0.16,79.37585286458334,0.0,0.0006510416666666667
48,5,1.2,8,0,1893,1893,290,42.05372296768824,5.0221734,0.17,79.118408203125,0.0,0.0
48,5,1.2,8,0,1870,1870,297,30.001856169372136,4.2878757,0.17,79.43135416666667,0.0,0.0
48,5,1.2,8,0,1894,1894,261,34.89638985713322,4.9120255,0.17,79.91760091145834,0.0,0.0
48,5,1.2,8,0,1877,1877,225,28.635416395399314,5.810155,0.16,79.45262044270834,0.0,0.00032552083333333337
48,5,1.2,8,0,1889,1889,320,37.180075823932235,4.4483795,0.16,79.020908203125,0.0,0.0
48,5,1.2,8,0,1888,1888,346,31.972935015826756,4.211469,0.16,79.25378255208334,0.0,0.00032552083333333337
48,5,1.2,8,0,1902,1902,291,39.48921314407985,4.8150506,0.16,79.28610677083333,0.0,0.0
48,5,1.2,8,0,1887,1887,197,32.31774409856795,4.8614745,0.16,78.88656575520834,0.0,0.0
48,5,1.2,8,0,1899,1899,226,44.384153426106764,4.78493,0.16,78.28258463541667,0.0,0.00032552083333333337
48,5,1.2,8,0,1896,1896,201,31.893679708597393,5.5707684,0.16,78.18421223958333,0.0,0.0
48,5,1.2,8,0,1879,1879,255,36.754823493692605,4.2706833,0.15,78.32090494791667,0.0,0.0
48,5,1.2,8,0,1889,1889,268,31.662047827148424,4.554675,0.14,78.12243489583334,0.0,0.0006510416666666667
48,5,1.2,8,0,1873,1873,202,37.73500622541639,4.3582,0.14,77.4594140625,0.0,0.0009765625
48,5,1.2,8,0,1917,1917,364,37.34620497994953,4.0380845,0.15,77.41513671875,0.0,0.0006510416666666667
48,5,1.2,8,0,1907,1907,289,41.908534660074444,4.640374,0.14,77.54169596354167,0.0,0.0
48,5,1.2,8,0,1914,1914,444,41.87220000796848,3.9770923,0.14,77.30709635416666,0.0,0.0
48,5,1.2,8,0,1917,1917,454,53.75072438938354,3.1981938,0.15,76.77942708333333,0.0,0.0
48,5,1.2,8,0,1906,1906,506,40.899523044162315,2.791864,0.15,76.76371419270833,0.0,0.0
48,5,1.2,8,0,1909,1909,555,44.90693849245708,2.481034,0.15,76.66355143229167,0.0,0.0
48,5,1.2,8,0,1910,1910,794,48.184050874063686,0.67688316,0.16,76.541630859375,0.0,0.0
48,5,1.2,8,0,1915,1915,856,63.80591188045079,0.31326693,0.16,76.22383463541667,0.0,0.0
48,5,1.2,8,0,1910,1910,721,48.87392202706866,0.6814065,0.17,76.28969075520833,0.0,0.0
48,5,1.2,8,0,1924,1924,746,49.48429489746095,0.8505517,0.15,76.453388671875,0.0,0.0
48,5,1.2,8,0,1913,1913,732,46.469169275400354,0.69267136,0.17,76.569755859375,0.0,0.0
48,5,1.2,8,0,1917,1917,781,57.31660134883455,0.71450895,0.18,76.21010091145833,0.0,0.0
48,5,1.2,8,0,1911,1911,715,47.52328089124891,0.68791604,0.17,76.38382161458334,0.0,0.00032552083333333337
48,5,1.2,8,0,1924,1924,714,47.662586555216045,0.6351506,0.16,76.45491861979167,0.0,0.0
48,5,1.2,8,0,1914,1914,772,45.334115702300615,0.48946214,0.16,76.52906901041666,0.0,0.0
48,5,1.2,8,0,1919,1919,691,52.387232356601295,2.666864,0.16,76.20417643229166,0.0,0.00032552083333333337
48,5,1.2,8,0,1905,1905,479,43.91519203583398,3.211094,0.17,75.91318033854166,0.0,0.0009765625
48,5,1.2,8,0,1910,1910,496,44.36518106672498,3.6882365,0.18,76.45179361979167,0.0,0.0
48,5,1.2,8,0,1908,1908,442,36.66955728823345,3.6975992,0.17,76.24679361979166,0.0,0.00032552083333333337
48,5,1.2,8,0,1909,1909,385,45.53306924183103,4.2440023,0.18,75.887451171875,0.0,0.0006510416666666667
48,5,1.2,8,0,1900,1900,397,33.245158656554764,4.0689225,0.18,75.80750325520833,0.0,0.00032552083333333337
48,5,1.2,8,0,1899,1899,217,37.633033104409115,6.339465,0.18,76.00591471354167,0.0,0.0
48,5,1.2,8,0,1883,1883,243,31.178479817697742,5.3013754,0.18,76.03602213541667,0.0,0.0
48,5,1.2,8,0,1869,1869,255,38.947459191544866,5.080645,0.18,75.749873046875,0.0,0.0006510416666666667
48,5,1.2,8,0,1889,1889,229,28.39833910522461,5.0969353,0.18,75.95662434895833,0.0,0.00032552083333333337
48,5,1.2,8,0,1872,1872,151,32.82635390879313,6.5308247,0.18,76.11421875,0.0,0.0013020833333333335
48,5,1.2,8,0,1904,1904,293,29.570410146713257,4.859055,0.18,76.28471354166666,0.0,0.0006510416666666667
48,5,1.2,8,0,1869,1869,251,37.5386223332723,4.8665867,0.19,76.0524609375,0.0,0.0009765625
48,5,1.2,8,0,1878,1878,227,28.515043667941626,4.777041,0.18,76.353974609375,0.0,0.0009765625
48,5,1.2,8,0,1883,1883,303,31.939992869016873,4.6863155,0.18,76.39807942708333,0.0,0.0009765625
48,5,1.2,8,0,1867,1867,264,27.95200711304346,4.9806027,0.19,76.62106770833333,0.0,0.0
48,5,1.2,8,0,1878,1878,150,40.46325292450586,5.8547993,0.19,76.67176106770833,0.0,0.0029296875
48,5,1.2,8,0,1887,1887,264,30.860169232686367,4.6867995,0.19,76.79344075520834,0.0,0.0029296875
48,5,1.2,8,0,1869,1869,285,33.61484831932915,4.6202984,0.19,77.044912109375,0.0,0.0013020833333333335
48,5,1.2,8,0,1876,1876,327,32.56520502767562,4.5100574,0.19,77.36921549479166,0.0,0.0013020833333333335
48,5,1.2,8,0,1874,1874,361,46.88553640949461,4.1303344,0.19,77.345478515625,0.0,0.0006510416666666667
48,5,1.2,8,0,1865,1865,359,34.03318269026014,4.5194087,0.19,77.13519856770833,0.0,0.002604166666666667
48,5,1.2,8,0,1864,1864,465,41.24041426578097,2.9520576,0.19,77.10803059895834,0.0,0.0009765625
48,5,1.2,8,0,1866,1866,500,39.23255533827676,2.5161405,0.19,77.49807942708334,0.0,0.0
48,5,1.2,8,0,1878,1878,542,54.19142578057185,1.9874994,0.19,77.35854817708334,0.0,0.001953125
48,5,1.2,8,0,1868,1868,670,45.29463232676189,0.90959257,0.19,77.19107747395833,0.0,0.0016276041666666667
48,5,1.2,8,0,1873,1873,808,49.357561786132386,0.25715768,0.19,77.22542643229167,0.0,0.004557291666666667
48,5,1.2,8,0,1866,1866,681,42.31480044656329,0.8830188,0.19,77.633896484375,0.0,0.00032552083333333337
48,5,1.2,8,0,1868,1868,630,59.00221998426651,0.7381955,0.19,77.295517578125,0.0,0.0006510416666666667
48,5,1.2,8,0,1879,1879,817,45.41185447810492,0.22363813,0.19,77.17517578125,0.0,0.0022786458333333335
48,5,1.2,8,0,1867,1867,473,41.81814417249891,0.5710172,0.19,77.21998046875,0.0,0.0016276041666666667
48,5,1.2,8,0,1859,1859,628,41.575175699191625,0.918302,0.19,77.37124674479166,0.0,0.0013020833333333335
48,5,1.2,8,0,1867,1867,653,52.84521716426213,0.51840484,0.19,77.37812825520834,0.0,0.0013020833333333335
48,5,1.2,8,0,1866,1866,596,42.00715169261298,0.57835704,0.19,77.15745442708334,0.0,0.0006510416666666667
48,5,1.2,8,0,1872,1872,752,45.04609363093904,0.2869608,0.19,77.14955078125,0.0,0.002604166666666667
48,5,1.2,8,0,1865,1865,684,42.44387618636025,0.43929952,0.19,77.19043619791667,0.0,0.0006510416666666667
48,5,1.2,8,0,1869,1869,582,49.69681950631671,1.0589648,0.19,77.417734375,0.0,0.0009765625
48,5,1.2,8,0,1869,1869,472,39.466005805958645,3.35995,0.19,77.20220377604167,0.0,0.0006510416666666667
48,5,1.2,8,0,1875,1875,501,41.66631429697673,2.787136,0.19,76.91931966145833,0.0,0.0009765625
48,5,1.2,8,0,1865,1865,445,31.72402313842772,4.0047956,0.19,77.36517252604166,0.0,0.0016276041666666667
48,5,1.2,8,0,1864,1864,424,43.81845673925611,3.9809961,0.19,77.256552734375,0.0,0.0009765625
48,5,1.2,8,0,1861,1861,416,32.13234986979165,3.8187585,0.19,77.14084635416667,0.0,0.0029296875
48,5,1.2,8,0,1870,1870,289,33.79471498946085,4.255257,0.19,77.017021484375,0.0,0.0022786458333333335
48,5,1.2,8,0,1858,1858,182,32.21567157617145,5.16266,0.19,77.19921875,0.0,0.001953125
48,5,1.2,8,0,1848,1848,285,37.96676175791421,4.272621,0.19,77.31422526041666,0.0,0.0032552083333333335
48,5,1.2,8,0,1868,1868,292,30.506749520831647,4.128416,0.19,77.31420572916667,0.0,0.002604166666666667
48,5,1.2,8,0,1869,1869,296,34.79604093928867,4.262664,0.19,77.38229817708333,0.0,0.002604166666666667
48,5,1.2,8,0,1830,1830,271,27.387945378356513,4.4812403,0.2,77.632119140625,0.0,0.0032552083333333335
48,5,1.2,8,0,1862,1862,274,38.70384174549314,4.388538,0.19,77.55759765625,0.0,0.002604166666666667
48,5,1.2,8,0,1851,1851,253,28.848219240729012,5.4471393,0.19,77.31916666666666,0.0,0.0016276041666666667
48,5,1.2,8,0,1866,1866,340,34.56814427337646,4.380386,0.19,77.00826171875,0.0,0.00390625
48,5,1.2,8,0,1856,1856,313,28.907867799112537,4.3307333,0.18,76.804638671875,0.0,0.0032552083333333335
48,5,1.2,8,0,1859,1859,270,40.43974448204041,4.1721435,0.18,76.52415364583334,0.0,0.0035807291666666665
48,5,1.2,8,0,1871,1871,272,29.80202123683294,4.42848,0.18,76.33557291666666,0.0,0.0013020833333333335
48,5,1.2,8,0,1878,1878,246,35.93605758004718,4.3822727,0.17,75.8331640625,0.0,0.0022786458333333335
48,5,1.2,8,0,1880,1880,202,32.56929361596637,5.619878,0.17,75.326337890625,0.0,0.0032552083333333335
48,5,1.2,8,0,1891,1891,271,44.02519854811563,4.546417,0.16,74.80165690104167,0.0,0.006184895833333334
48,5,1.2,8,0,1882,1882,312,30.52509090101455,4.570903,0.16,74.62018880208333,0.0,0.0006510416666666667
48,5,1.2,8,0,1900,1900,266,36.65058267846637,4.7908278,0.16,74.17294921875,0.0,0.00390625
48,5,1.2,8,0,1901,1901,316,31.100185512447357,4.277275,0.16,73.66010091145833,0.0,0.004231770833333334
48,5,1.2,8,0,1926,1926,322,42.661950193235626,4.4628825,0.17,73.2801953125,0.0,0.006510416666666667
48,5,1.2,8,0,1930,1930,335,33.113539345804845,4.427806,0.16,72.96099934895834,0.0,0.0029296875
48,5,1.2,8,0,1946,1946,275,39.517818379550505,4.871531,0.15,72.68502278645833,0.0,0.004231770833333334
48,5,1.2,8,0,1948,1948,311,35.71624927341672,5.011989,0.17,72.2096484375,0.0,0.0032552083333333335
48,5,1.2,8,0,1962,1962,228,51.564410497442864,6.7973857,0.16,72.174462890625,0.0,0.0087890625
48,5,1.2,8,0,1946,1946,349,35.290777327209035,5.1010914,0.15,72.267099609375,0.0,0.0035807291666666665
48,5,1.2,8,0,1952,1952,290,40.94427997907003,5.469183,0.14,71.50484700520833,0.0,0.005208333333333334
48,5,1.2,8,0,1962,1962,303,35.596182535129124,5.3928785,0.18,69.81102864583333,0.0,0.0029296875
48,5,1.2,8,0,1970,1970,328,49.920932158364195,5.367235,0.17,69.57533203125,0.0,0.005859375
48,5,1.2,8,0,1972,1972,254,35.31477836774189,5.0762644,0.17,69.31435221354167,0.0,0.001953125
48,5,1.2,8,0,1968,1968,228,38.99369415266249,6.758933,0.17,69.110283203125,0.0,0.0032552083333333335
48,5,1.2,8,0,1969,1969,345,37.456762576961516,5.5469966,0.16,68.525771484375,0.0,0.0022786458333333335
48,5,1.2,8,0,1955,1955,301,52.045575817012775,5.7023315,0.16,68.089912109375,0.0,0.009440104166666666
48,5,1.2,8,0,1964,1964,337,35.76567052675882,5.590733,0.17,67.83613932291667,0.0,0.007161458333333333
48,5,1.2,8,0,1955,1955,327,39.03608004553053,5.6184797,0.16,67.874931640625,0.0,0.008138020833333332
48,5,1.2,8,0,1942,1942,262,36.7927496129248,6.819901,0.16,67.59525065104167,0.0,0.005859375
48,5,1.2,8,0,1957,1957,338,50.542482725259994,5.5402765,0.16,67.11322265625,0.0,0.0078125
48,5,1.2,8,0,1955,1955,302,36.3550379093488,5.408742,0.16,66.75259114583334,0.0,0.0035807291666666665
48,5,1.2,8,0,1955,1955,323,40.047245835876474,5.738639,0.15,66.68337890625,0.0,0.0048828125
48,5,1.2,8,0,1953,1953,311,35.284804589843745,5.36454,0.15,66.33450520833334,0.0,0.0032552083333333335
48,5,1.2,8,0,1956,1956,303,47.73881662130355,5.654233,0.14,65.84017252604167,0.0,0.0078125
48,5,1.2,8,0,1963,1963,225,36.440681777572614,7.4324985,0.14,65.5427734375,0.0,0.006835937500000001
48,5,1.2,8,0,1975,1975,311,41.1605886332194,5.88407,0.13,65.205439453125,0.0,0.004231770833333334
48,5,1.2,8,0,1959,1959,370,36.05963858027988,6.174692,0.13,64.85358072916667,0.0,0.0032552083333333335
48,5,1.2,8,0,1968,1968,344,50.938153285121906,5.8071246,0.12,64.11327799479167,0.0,0.014973958333333332
48,5,1.2,8,0,1977,1977,293,37.12863538944457,5.62766,0.12,63.82596028645833,0.0,0.005208333333333334
48,5,1.2,8,0,1967,1967,193,43.065475256178104,8.0593405,0.12,63.44293294270833,0.0,0.005533854166666666
48,5,1.2,8,0,1978,1978,327,38.650816946029664,6.1951537,0.12,62.99223307291667,0.0,0.0035807291666666665
48,5,1.2,8,0,1981,1981,295,51.36193276255925,6.379193,0.12,62.371744791666664,0.0,0.012044270833333334
48,5,1.2,8,0,1973,1973,300,37.76023384331597,5.814968,0.11,61.97396158854167,0.0,0.007161458333333333
48,5,1.2,8,0,1965,1965,235,44.0968059515953,6.66954,0.11,61.821201171875,0.0,0.008138020833333332
48,5,1.2,8,0,1963,1963,196,38.643901777044924,7.8938136,0.11,61.83044921875,0.0,0.006510416666666667
48,5,1.2,8,0,1962,1962,290,51.699265991115574,6.0140615,0.11,61.537897135416664,0.0,0.009114583333333334
48,5,1.2,8,0,1953,1953,278,38.03691720529132,5.9623537,0.11,61.56381184895833,0.0,0.005533854166666666
48,5,1.2,8,0,1962,1962,257,40.830128692616356,6.115538,0.11,61.49553059895833,0.0,0.005859375
48,5,1.2,8,0,1968,1968,240,38.13890803205702,5.941733,0.11,61.62075846354167,0.0,0.0035807291666666665
48,5,1.2,8,0,1960,1960,168,51.27139258791605,7.546638,0.11,61.576328125,0.0,0.004557291666666667
48,5,1.2,8,0,1954,1954,226,35.67593093155754,6.056162,0.12,61.33748697916667,0.0,0.009440104166666666
48,5,1.2,8,0,1942,1942,264,43.62669735564126,6.2001762,0.12,61.18400390625,0.0,0.0022786458333333335
48,5,1.2,8,0,1955,1955,210,36.112422831047894,6.3606043,0.12,61.374241536458335,0.0,0.002604166666666667
48,5,1.2,8,0,1945,1945,247,49.0014123365614,6.0245833,0.11,61.372164713541665,0.0,0.005533854166666666
48,5,1.2,8,0,1946,1946,110,38.810886829280854,8.343859,0.12,61.305651041666664,0.0,0.0048828125
48,5,1.2,8,0,1936,1936,254,39.02117511061562,6.214008,0.12,61.36266276041667,0.0,0.0035807291666666665
48,5,1.2,8,0,1921,1921,276,34.805310006671476,6.53291,0.12,61.386647135416666,0.0,0.0022786458333333335
48,5,1.2,8,0,1931,1931,272,47.944286828570874,6.0834594,0.12,61.089586588541664,0.0,0.006835937500000001
48,5,1.2,8,0,1937,1937,260,37.86374645788405,5.5961814,0.12,60.63729817708333,0.0,0.005208333333333334
48,5,1.2,8,0,1934,1934,172,42.72358008014891,7.3247943,0.12,60.5969140625,0.0,0.0087890625
48,5,1.2,8,0,1935,1935,240,36.37875006144841,5.8112445,0.11,60.75111653645833,0.0,0.0048828125
48,5,1.2,8,0,1913,1913,300,44.17717013888889,5.969146,0.11,60.41709309895833,0.0,0.005533854166666666
48,5,1.2,8,0,1918,1918,284,33.91979807942709,5.4790554,0.11,59.787333984375,0.0,0.005533854166666666
48,5,1.2,8,0,1920,1920,230,37.891714858743875,5.9927416,0.12,59.71649088541667,0.0,0.010416666666666668
48,5,1.2,8,0,1919,1919,294,34.167726859368216,5.4375005,0.12,59.43859375,0.0,0.005533854166666666
48,5,1.2,8,0,1912,1912,245,45.03634608348211,6.9983473,0.12,58.77641927083334,0.0,0.0087890625
48,5,1.2,8,0,1909,1909,327,33.96506453195148,5.2414,0.15,58.058011067708335,0.0,0.011393229166666666
48,5,1.2,8,0,1924,1924,244,38.43435411067538,5.1689177,0.15,57.999684244791666,0.0,0.018229166666666668
48,5,1.2,8,0,1934,1934,296,34.77309570260577,5.1807294,0.16,58.2901953125,0.0,0.009765625
48,5,1.2,8,0,1936,1936,201,44.73704471561644,5.886242,0.17,58.340589192708336,0.0,0.011393229166666666
