patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1897,1897,218,34.627633182006406,5.71606,0.19,61.5041015625,0.0,0.06087239583333333
48,5,1.2,8,0,1897,1897,218,40.54975444725885,5.876499,0.19,61.022366536458335,0.0,0.07845052083333333
48,5,1.2,8,0,1866,1866,201,42.89056327273054,5.376342,0.19,60.162646484375,0.0,0.0703125
48,5,1.2,8,0,1878,1878,182,36.79558696221246,5.729134,0.18,59.52538411458333,0.0,0.057291666666666664
48,5,1.2,8,0,1861,1861,215,42.44595696343316,5.1370726,0.17,58.925319010416665,0.0,0.056315104166666664
48,5,1.2,8,0,1854,1854,184,41.23207730143864,5.138171,0.17,58.304388020833336,0.0,0.06510416666666666
48,5,1.2,8,0,1850,1850,205,50.82652568863763,4.8875546,0.16,58.188206380208335,0.0,0.09505208333333334
48,5,1.2,8,0,1853,1853,223,43.7719196065267,5.3772125,0.16,58.70393229166667,0.0,0.09309895833333334
48,5,1.2,8,0,1849,1849,148,41.903716675440464,5.2213225,0.16,59.209560546875,0.0,0.05859375
48,5,1.2,8,0,1859,1859,180,53.333397147242216,5.628647,0.19,59.12828125,0.0,0.0
48,5,1.2,8,0,1875,1875,186,51.54543122176064,5.791053,0.2,60.434853515625,0.0,0.0
48,5,1.2,8,0,1907,1907,173,47.57287519708209,5.7982845,0.2,61.603984375,0.0,0.0
48,5,1.2,8,0,1927,1927,105,47.32261194558674,7.1364617,0.2,62.70763671875,0.0,0.0
48,5,1.2,8,0,1933,1933,144,41.0180453022321,5.6596217,0.21,65.02434895833333,0.0,0.0
48,5,1.2,8,0,1928,1928,162,42.80062051263386,5.7911334,0.2,66.74986328125,0.0,0.0
48,5,1.2,8,0,1910,1910,129,39.94237443288168,5.664824,0.21,68.41442057291667,0.0,0.0
48,5,1.2,8,0,1854,1854,71,35.22693778330485,6.711892,0.21,70.41203450520834,0.0,0.0
48,5,1.2,8,0,1806,1806,25,35.58565865197711,2.8335261,0.21,72.357890625,0.0,0.0
48,5,1.2,8,0,1588,1588,36,26.190814306471083,2.8886504,0.2,74.40007486979167,0.0,0.036783854166666664
48,5,1.2,8,0,1356,1356,31,24.022961890655086,1.4688478,0.22,75.40831380208333,0.0,0.035807291666666664
48,5,1.2,8,0,951,951,26,17.158570654127338,1.022607,0.21,77.57465494791667,0.0,0.0029296875
48,5,1.2,8,0,867,867,30,16.14744619978799,1.053047,0.2,78.58251627604167,0.0,0.004231770833333334
