patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,2000,2000,1636,619.5123000146082,0.032690052,0.12,135.0719414893617,0.021332003546099293,0.056515957446808505
48,5,1.2,8,0,2000,2000,1610,618.1697273785046,0.03760848,0.12,135.11594636524822,0.021332003546099293,0.05679299645390071
48,5,1.2,8,0,2000,2000,1644,619.5034779296358,0.031805653,0.12,135.11353612588653,0.021609042553191488,0.0581781914893617
48,5,1.2,8,0,2000,2000,1638,617.9221113181337,0.048033074,0.12,135.08398714539007,0.021332003546099293,0.056515957446808505
48,5,1.2,8,0,2000,2000,1642,619.0681998840903,0.03317702,0.12,135.10717808067375,0.02105496453900709,0.05457668439716312
48,5,1.2,8,0,2000,2000,1639,619.3104393283515,0.03260519,0.12,135.10406139184397,0.021609042553191488,0.0573470744680851
48,5,1.2,8,0,2000,2000,1631,619.4984591366037,0.038710248,0.12,135.13307291666666,0.021332003546099293,0.05540780141843972
48,5,1.2,8,0,2000,2000,1660,619.0608851494517,0.034419376,0.12,135.09561170212766,0.020777925531914893,0.0579011524822695
48,5,1.2,8,0,2000,2000,1678,619.72622600518,0.03514741,0.12,135.12434618794327,0.022163120567375887,0.05429964539007093
48,5,1.2,8,0,2000,2000,1668,618.3853499943239,0.043861058,0.12,135.12202460106383,0.020777925531914893,0.05568484042553192
48,5,1.2,8,0,2000,2000,1645,618.4192014251075,0.033733383,0.12,135.10727504432623,0.021886081560283686,0.058455230496453896
48,5,1.2,8,0,2000,2000,1642,618.6857041916186,0.035015356,0.12,135.13691544769503,0.021332003546099293,0.0570700354609929
48,5,1.2,8,0,2000,2000,1646,618.377427977226,0.039979644,0.12,135.13506759751772,0.020777925531914893,0.05429964539007093
48,5,1.2,8,0,2000,2000,1657,617.582580811939,0.038884684,0.12,135.15277870124115,0.020500886524822695,0.0573470744680851
48,5,1.2,8,0,2000,2000,1663,619.1240440669515,0.035221543,0.12,135.1306211214539,0.021886081560283686,0.05679299645390071
48,5,1.2,8,0,2000,2000,1655,619.1757400237469,0.03161415,0.12,135.12903368794326,0.022440159574468085,0.0570700354609929
48,5,1.2,8,0,2000,2000,1669,618.4369466288283,0.03294512,0.12,135.12118517287234,0.02105496453900709,0.05540780141843972
48,5,1.2,8,0,2000,2000,1632,618.6345391780311,0.0368316,0.12,135.12664284131205,0.021332003546099293,0.05457668439716312
48,5,1.2,8,0,2000,2000,1671,618.1481436001038,0.032788035,0.12,135.11166888297873,0.021609042553191488,0.0581781914893617
48,5,1.2,8,0,2000,2000,1677,617.9024886437877,0.041194335,0.12,135.11953125,0.022163120567375887,0.0570700354609929
48,5,1.2,8,0,2000,2000,1666,618.976306090567,0.034526188,0.12,135.102421320922,0.021332003546099293,0.059563386524822695
48,5,1.2,8,0,2000,2000,1666,617.8213447033086,0.045996588,0.12,135.13263796542554,0.02105496453900709,0.05429964539007093
48,5,1.2,8,0,2000,2000,1653,619.0225238050848,0.033797443,0.12,135.126953125,0.021332003546099293,0.056515957446808505
48,5,1.2,8,0,2000,2000,1640,619.2256605390868,0.03664221,0.12,135.1002576462766,0.021609042553191488,0.05540780141843972
48,5,1.2,8,0,2000,2000,1626,618.9079139050876,0.043751612,0.12,135.13686281028367,0.022163120567375887,0.05457668439716312
48,5,1.2,8,0,2000,2000,1652,618.4115181010607,0.036715794,0.12,135.09373891843973,0.021609042553191488,0.05568484042553192
48,5,1.2,8,0,2000,2000,1668,618.9344402549355,0.031804383,0.12,135.12006039450355,0.022163120567375887,0.0570700354609929
48,5,1.2,8,0,2000,2000,1665,618.1995335515284,0.04103642,0.12,135.08867464539006,0.021886081560283686,0.05540780141843972
48,5,1.2,8,0,2000,2000,1660,618.7919843795374,0.03897665,0.12,135.12401928191488,0.021332003546099293,0.0581781914893617
48,5,1.2,8,0,2000,2000,1647,618.5629144790823,0.035025246,0.12,135.11950631648935,0.020777925531914893,0.0573470744680851
48,5,1.2,8,0,2000,2000,1664,619.3801253080833,0.03690048,0.12,135.14648991578014,0.02105496453900709,0.055961879432624116
48,5,1.2,8,0,2000,2000,1663,619.4780316409785,0.037465498,0.12,135.1672429078014,0.021332003546099293,0.0570700354609929
48,5,1.2,8,0,2000,2000,1662,618.450683883284,0.033451606,0.12,135.16981937056738,0.02105496453900709,0.0573470744680851
48,5,1.2,8,0,2000,2000,1651,618.295453800915,0.033264402,0.12,135.1449412677305,0.02105496453900709,0.0570700354609929
48,5,1.2,8,0,2000,2000,1656,619.364381761637,0.043729037,0.12,135.17910294769504,0.020777925531914893,0.05540780141843972
48,5,1.2,8,0,2000,2000,1661,619.2342147789847,0.032843858,0.12,135.12865137411347,0.021332003546099293,0.05623891843971632
48,5,1.2,8,0,2000,2000,1654,619.9282799527305,0.035856478,0.12,135.15919769503546,0.02299423758865248,0.05457668439716312
48,5,1.2,8,0,2000,2000,1644,619.7377131191869,0.031864174,0.12,135.13777426861702,0.021886081560283686,0.05540780141843972
48,5,1.2,8,0,2000,2000,1672,619.0115848471302,0.032583553,0.12,135.17414117907802,0.021609042553191488,0.05623891843971632
48,5,1.2,8,0,2000,2000,1657,619.1219414156121,0.033422682,0.12,135.13105607269503,0.021886081560283686,0.0573470744680851
48,5,1.2,8,0,2000,2000,1653,620.2530876339955,0.037273366,0.12,135.20337987588653,0.022440159574468085,0.05679299645390071
48,5,1.2,8,0,2000,2000,1668,620.1448039145602,0.034927186,0.12,135.15795933067375,0.021332003546099293,0.056515957446808505
48,5,1.2,8,0,2000,2000,1651,618.6445065848018,0.053125396,0.12,135.14985871010637,0.021886081560283686,0.056515957446808505
48,5,1.2,8,0,2000,2000,1640,617.4965838428636,0.06043852,0.12,135.12952681737588,0.021332003546099293,0.058455230496453896
48,5,1.2,8,0,2000,2000,1680,620.0658436489762,0.033160932,0.12,135.16775542996453,0.021609042553191488,0.058455230496453896
48,5,1.2,8,0,2000,2000,1649,619.1587392328638,0.03630002,0.12,135.1399573359929,0.021332003546099293,0.056515957446808505
48,5,1.2,8,0,2000,2000,1658,619.1946640016643,0.036424197,0.12,135.17839095744682,0.021886081560283686,0.05429964539007093
48,5,1.2,8,0,2000,2000,1680,620.2240583551908,0.03283598,0.12,135.15857158687945,0.021886081560283686,0.056515957446808505
48,5,1.2,8,0,2000,2000,1655,619.5562665000306,0.03374386,0.12,135.13558289007094,0.021886081560283686,0.0587322695035461
