patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,2000,2000,1466,567.5024570381314,0.15670727,0.12,125.00275099734043,0.022163120567375887,0.03435283687943262
48,5,1.2,8,0,2000,2000,1531,568.8974174615329,0.10106093,0.12,125.02703623670213,0.023548315602836878,0.03213652482269503
48,5,1.2,8,0,2000,2000,1566,568.2040214149372,0.06355617,0.12,125.03900709219859,0.021609042553191488,0.03407579787234043
48,5,1.2,8,0,2000,2000,1601,567.034951181699,0.04164957,0.12,125.01146664450354,0.02299423758865248,0.03462987588652482
48,5,1.2,8,0,2000,2000,1590,567.3177022657062,0.04475504,0.12,124.99785017730497,0.021332003546099293,0.034906914893617025
48,5,1.2,8,0,2000,2000,1580,568.4010094166662,0.07608545,0.12,125.02285571808511,0.022717198581560284,0.03407579787234043
48,5,1.2,8,0,2000,2000,1580,567.4999443033399,0.06567755,0.12,124.97663730053192,0.022163120567375887,0.03213652482269503
48,5,1.2,8,0,2000,2000,1607,568.1821333160254,0.04930743,0.12,125.01305407801418,0.021886081560283686,0.03213652482269503
48,5,1.2,8,0,2000,2000,1607,567.1363740898975,0.06711635,0.12,125.01828180407801,0.021609042553191488,0.03435283687943262
48,5,1.2,8,0,2000,2000,1609,568.1891165280095,0.038770672,0.12,124.96170489804965,0.022163120567375887,0.03407579787234043
48,5,1.2,8,0,2000,2000,1618,566.9134744773088,0.0399562,0.12,124.97963486258865,0.022717198581560284,0.03352171985815603
48,5,1.2,8,0,2000,2000,1529,566.5476800101396,0.10937813,0.12,124.95723348847518,0.022717198581560284,0.03601507092198581
48,5,1.2,8,0,2000,2000,1581,568.4643533804502,0.043828525,0.12,125.00406139184398,0.021886081560283686,0.03324468085106383
48,5,1.2,8,0,2000,2000,1610,567.4021653250599,0.043757387,0.12,125.00879598847517,0.022717198581560284,0.03352171985815603
48,5,1.2,8,0,2000,2000,1603,568.3020361386993,0.042272642,0.12,124.97178080673758,0.022163120567375887,0.03546099290780142
48,5,1.2,8,0,2000,2000,1538,568.2364993663515,0.11009448,0.12,124.93359375,0.022440159574468085,0.036569148936170214
48,5,1.2,8,0,2000,2000,1548,567.6532217066225,0.07695761,0.12,124.9959801640071,0.022717198581560284,0.033798758865248225
48,5,1.2,8,0,2000,2000,1602,567.091432508257,0.036522936,0.12,124.97051473847517,0.022440159574468085,0.03185948581560284
48,5,1.2,8,0,2000,2000,1597,567.9901666267365,0.05381134,0.12,124.99451739804965,0.02299423758865248,0.03269060283687943
48,5,1.2,8,0,2000,2000,1615,566.0043350630267,0.035165545,0.12,124.953125,0.022440159574468085,0.03407579787234043
48,5,1.2,8,0,2000,2000,1544,567.731706035056,0.09322255,0.12,124.99552859042554,0.022717198581560284,0.03462987588652482
48,5,1.2,8,0,2000,2000,1503,566.6688947950556,0.13137029,0.12,124.98906804078014,0.022440159574468085,0.03130540780141844
48,5,1.2,8,0,2000,2000,1570,566.744470265929,0.09906946,0.12,124.95637743794326,0.02299423758865248,0.033798758865248225
48,5,1.2,8,0,2000,2000,1622,566.3399284706944,0.034250166,0.12,124.96030308067375,0.021886081560283686,0.03518395390070922
48,5,1.2,8,0,2000,2000,1575,566.9658682096707,0.076994404,0.12,124.97086380762411,0.022717198581560284,0.035738031914893616
48,5,1.2,8,0,2000,2000,1485,566.9923639892897,0.13073553,0.12,124.95552969858156,0.02105496453900709,0.03435283687943262
48,5,1.2,8,0,2000,2000,1518,567.7730394839084,0.1482865,0.12,124.95302526595745,0.022440159574468085,0.03435283687943262
48,5,1.2,8,0,2000,2000,1585,565.5910702517795,0.08494566,0.12,124.96250831117021,0.021886081560283686,0.03352171985815603
48,5,1.2,8,0,2000,2000,1617,566.6149344775041,0.04674741,0.12,124.94986702127659,0.022440159574468085,0.03324468085106383
48,5,1.2,8,0,2000,2000,1516,567.6165905570073,0.12806933,0.12,124.96947307180851,0.022717198581560284,0.03407579787234043
48,5,1.2,8,0,2000,2000,1468,566.725284404602,0.1535995,0.12,124.98054909131206,0.02299423758865248,0.03546099290780142
48,5,1.2,8,0,2000,2000,1504,567.2558230886618,0.14371182,0.12,124.9221797429078,0.022440159574468085,0.03546099290780142
48,5,1.2,8,0,2000,2000,1551,566.0583134493298,0.110618524,0.12,124.96394614361702,0.022717198581560284,0.03296764184397163
48,5,1.2,8,0,2000,2000,1590,567.3979210280661,0.07120597,0.12,124.94685006648936,0.022440159574468085,0.03352171985815603
48,5,1.2,8,0,2000,2000,1606,566.8414825682293,0.044174723,0.12,124.92472850177305,0.021886081560283686,0.034906914893617025
48,5,1.2,8,0,2000,2000,1610,565.9525613519137,0.037465908,0.12,124.97696697695035,0.02299423758865248,0.034906914893617025
48,5,1.2,8,0,2000,2000,1590,567.5727153557995,0.03405637,0.12,124.96646996897164,0.022440159574468085,0.03462987588652482
48,5,1.2,8,0,2000,2000,1618,567.1520738367577,0.042407546,0.12,124.93825631648936,0.023271276595744683,0.033798758865248225
48,5,1.2,8,0,2000,2000,1594,567.0914188677929,0.07144461,0.12,124.97270057624114,0.02299423758865248,0.034906914893617025
48,5,1.2,8,0,2000,2000,1593,566.5137864704094,0.09858601,0.12,124.96066600177305,0.023271276595744683,0.034906914893617025
48,5,1.2,8,0,2000,2000,1513,566.3297027813229,0.15599331,0.12,124.94994736258866,0.022163120567375887,0.03407579787234043
48,5,1.2,8,0,2000,2000,1371,566.3865468353845,0.23466945,0.12,124.97432679521276,0.022163120567375887,0.03435283687943262
48,5,1.2,8,0,2000,2000,1367,565.6620965471408,0.24894671,0.12,124.92062555407801,0.021886081560283686,0.03213652482269503
48,5,1.2,8,0,2000,2000,1463,566.3727530097337,0.17856555,0.12,124.93449412677305,0.022440159574468085,0.03435283687943262
48,5,1.2,8,0,2000,2000,1622,567.420535140622,0.050879005,0.12,124.9670434397163,0.022440159574468085,0.03352171985815603
48,5,1.2,8,0,2000,2000,1547,567.0736274955168,0.11694108,0.12,124.92584219858156,0.022163120567375887,0.03518395390070922
48,5,1.2,8,0,2000,2000,1382,566.0052109378729,0.22902802,0.12,124.97516068262411,0.021886081560283686,0.03269060283687943
