patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1904,1904,331,805.3948118921519,0.5942523,0.34,103.16388888888889,19.16695601851852,0.0
48,5,1.2,8,0,1904,1904,524,772.4159662517951,0.50245017,0.33,109.88383391203703,20.56394675925926,0.0
48,5,1.2,8,0,1908,1908,840,713.3132980859829,0.42779657,0.33,113.24720775462963,20.83478009259259,0.0
48,5,1.2,8,0,1908,1908,630,738.2530205997085,0.4960043,0.33,113.28203993055556,20.83738425925926,0.0
48,5,1.2,8,0,1906,1906,718,710.1757547059782,0.45180455,0.33,113.3942042824074,20.846064814814817,0.0
48,5,1.2,8,0,1910,1910,671,708.6226408871498,0.40466285,0.33,113.35929108796296,20.84346064814815,0.0
48,5,1.2,8,0,1915,1915,672,712.9248447626559,0.40815234,0.33,113.36669849537037,20.84837962962963,0.0
48,5,1.2,8,0,1905,1905,612,727.4537225115739,0.42870954,0.33,113.29416666666667,20.84201388888889,0.0
48,5,1.2,8,0,1916,1916,678,703.2498962033872,0.44167486,0.33,113.37852430555556,20.850694444444446,0.0
48,5,1.2,8,0,1908,1908,679,700.4938773062415,0.46824145,0.33,113.4112355324074,20.848958333333336,0.0
48,5,1.2,8,0,1914,1914,642,704.0953041618444,0.49751192,0.33,113.354453125,20.85011574074074,0.0
48,5,1.2,8,0,1908,1908,626,723.9892329611863,0.47698912,0.33,113.25629050925926,20.845775462962962,0.0
48,5,1.2,8,0,1910,1910,678,704.6386918399764,0.47640413,0.33,113.35116898148148,20.852141203703702,0.0
48,5,1.2,8,0,1920,1920,710,707.6811278618704,0.43017572,0.33,113.32219328703704,20.85271990740741,0.0
48,5,1.2,8,0,1897,1897,645,701.7579583965536,0.47432813,0.33,113.331171875,20.850983796296298,0.0
48,5,1.2,8,0,1912,1912,643,722.2744759803721,0.5283827,0.33,113.31162905092593,20.84693287037037,0.0
48,5,1.2,8,0,1912,1912,713,705.5409891557019,0.44670862,0.33,113.40076967592593,20.852141203703702,0.0
48,5,1.2,8,0,1914,1914,775,698.0091134740172,0.40554443,0.33,113.37707175925927,20.852141203703702,0.0
48,5,1.2,8,0,1915,1915,626,705.2487290929137,0.45550814,0.33,113.41154224537037,20.853877314814813,0.0
