patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1951,1951,1218,256.7944733796296,0.06006664,0.14,94.41393807870371,0.0,0.0
48,5,1.2,8,0,1928,1928,1243,254.29132516061705,0.07143478,0.14,92.0789380787037,0.0,0.0
48,5,1.2,8,0,1955,1955,1717,242.19650744108978,0.035076976,0.14,92.24032118055555,0.0,0.0
48,5,1.2,8,0,1954,1954,1585,243.22600681570967,0.039516225,0.14,92.23369212962963,0.0,0.0
48,5,1.2,8,0,1950,1950,1227,241.752702542244,0.06779537,0.14,92.23415219907407,0.0,0.0
48,5,1.2,8,0,1945,1945,1167,256.0130439331222,0.07624935,0.14,92.00789641203704,0.0,0.0
48,5,1.2,8,0,1945,1945,1636,239.61142359902135,0.03834883,0.14,92.19134259259259,0.0,0.0
48,5,1.2,8,0,1943,1943,1586,239.63612266589513,0.040102836,0.14,92.16186921296297,0.0,0.0
48,5,1.2,8,0,1949,1949,1283,239.81047153661072,0.062319517,0.14,92.15805555555555,0.0,0.0
48,5,1.2,8,0,1950,1950,1231,253.4393920588657,0.07387386,0.14,92.03282986111111,0.0,0.0
48,5,1.2,8,0,1938,1938,1511,238.46335355258938,0.043808937,0.14,92.16618344907407,0.0,0.0
48,5,1.2,8,0,1939,1939,1511,238.64603007487648,0.045515195,0.14,92.12274016203703,0.0,0.0
48,5,1.2,8,0,1944,1944,1249,238.6021874999666,0.06302849,0.14,92.13361111111111,0.0,0.0
48,5,1.2,8,0,1951,1951,1261,251.50328406146016,0.06999795,0.14,91.9811255787037,0.0,0.0
48,5,1.2,8,0,1948,1948,1525,238.51853286353008,0.042229425,0.14,92.11331018518518,0.0,0.0
48,5,1.2,8,0,1943,1943,1541,238.3965566292385,0.043212827,0.14,92.0892013888889,0.0,0.0
48,5,1.2,8,0,1942,1942,1258,238.51029800326287,0.0611749,0.14,92.09462094907407,0.0,0.0
48,5,1.2,8,0,1943,1943,1211,250.17628761271828,0.06712115,0.14,91.94247974537036,0.0,0.0
48,5,1.2,8,0,1947,1947,1587,238.17208846397034,0.04127557,0.14,92.07167824074074,0.0,0.0
48,5,1.2,8,0,1952,1952,1501,237.7313534429857,0.042137533,0.14,92.04825231481482,0.0,0.0
48,5,1.2,8,0,1955,1955,1293,237.52907911760417,0.06361188,0.14,92.05256944444444,0.0,0.0
48,5,1.2,8,0,1943,1943,1272,249.12320272344894,0.063733354,0.14,91.91091435185186,0.0,0.0
48,5,1.2,8,0,1946,1946,1650,238.03760665126646,0.038327836,0.14,92.01099247685185,0.0,0.0
48,5,1.2,8,0,1951,1951,1417,237.83376416852033,0.04835569,0.14,91.978125,0.0,0.0
48,5,1.2,8,0,1948,1948,1194,238.28520504556454,0.06564123,0.14,91.86092881944444,0.0,0.0
48,5,1.2,8,0,1945,1945,1224,250.21847777295517,0.06590394,0.14,91.64245659722222,0.0,0.0
48,5,1.2,8,0,1949,1949,1483,239.33575773962622,0.046255723,0.14,91.81704571759259,0.0,0.0
48,5,1.2,8,0,1944,1944,1426,239.36532662257224,0.045803633,0.14,91.80803819444445,0.0,0.0
48,5,1.2,8,0,1949,1949,1317,238.64660842707121,0.057381313,0.14,91.90010416666667,0.0,0.0
48,5,1.2,8,0,1942,1942,1279,249.24349826146926,0.06475449,0.14,91.7979224537037,0.0,0.0
48,5,1.2,8,0,1951,1951,1465,238.9631799641173,0.04454054,0.14,91.94080150462963,0.0,0.0
48,5,1.2,8,0,1949,1949,1472,238.20993605293933,0.044803746,0.14,91.90053819444445,0.0,0.0
48,5,1.2,8,0,1951,1951,1305,238.39862520595383,0.060219206,0.14,91.90925636574075,0.0,0.0
48,5,1.2,8,0,1955,1955,1297,247.70073204323097,0.065393776,0.14,91.75826099537036,0.0,0.0
48,5,1.2,8,0,1946,1946,1511,238.85184603855882,0.042289212,0.14,91.9004832175926,0.0,0.0
48,5,1.2,8,0,1944,1944,1502,238.40442671410835,0.04266984,0.14,91.84462962962964,0.0,0.0
48,5,1.2,8,0,1946,1946,1321,238.37302056206596,0.058723,0.14,91.84852719907407,0.0,0.0
48,5,1.2,8,0,1947,1947,1329,246.00538434357813,0.06256928,0.14,91.71422453703704,0.0,0.0
48,5,1.2,8,0,1951,1951,1434,237.79865142693333,0.043006092,0.14,91.83440393518518,0.0,0.0
48,5,1.2,8,0,1946,1946,1533,237.98758072886525,0.04066068,0.14,91.80840277777777,0.0,0.0
48,5,1.2,8,0,1953,1953,1402,237.73613969100302,0.056780394,0.14,91.81872106481481,0.0,0.0
48,5,1.2,8,0,1953,1953,1339,244.11684581133045,0.05913543,0.14,91.67479456018519,0.0,0.0
48,5,1.2,8,0,1949,1949,1484,237.753613838177,0.04269123,0.14,91.79558159722222,0.0,0.0
48,5,1.2,8,0,1948,1948,1548,237.2441953980999,0.041859955,0.14,91.7631394675926,0.0,0.0
48,5,1.2,8,0,1949,1949,1416,237.30964396640266,0.052571535,0.14,91.78544270833333,0.0,0.0
48,5,1.2,8,0,1944,1944,1121,241.9100983409155,0.1592663,0.14,91.64189814814814,0.0,0.0
48,5,1.2,8,0,1949,1949,1296,210.48903727545084,0.087291196,0.14,91.78030381944444,0.0,0.0
48,5,1.2,8,0,1955,1955,618,212.4810802629552,0.5289961,0.14,91.72570891203704,0.0,0.0
48,5,1.2,8,0,1946,1946,681,163.51094945745692,0.62654525,0.13,91.83947337962962,0.0,0.0
48,5,1.2,8,0,1954,1954,626,212.3556170523351,0.98080486,0.13,91.68294560185186,0.0,0.0
48,5,1.2,8,0,1952,1952,566,147.03687534799252,1.32717,0.14,91.8244675925926,0.0,0.0
48,5,1.2,8,0,1947,1947,640,172.88714718122233,1.1721431,0.14,91.77788194444445,0.0,0.0
48,5,1.2,8,0,1949,1949,416,148.96265302492412,3.6184306,0.13,91.84746238425926,0.0,0.0
48,5,1.2,8,0,1946,1946,255,199.82332437848802,5.348421,0.14,90.91713831018518,0.0,0.0
48,5,1.2,8,0,1946,1946,376,143.34653827079282,3.387512,0.13,91.4826099537037,0.0,0.0
48,5,1.2,8,0,1936,1936,417,162.97079646907014,3.0607862,0.13,90.72696469907407,0.0,0.0
48,5,1.2,8,0,1943,1943,365,136.82494458670075,4.1150527,0.13,90.99137152777777,0.0,0.0
48,5,1.2,8,0,1944,1944,366,206.4040359053414,4.053968,0.13,90.97875868055556,0.0,0.0
48,5,1.2,8,0,1954,1954,336,136.9139567057208,5.360549,0.14,91.67993344907407,0.0,0.0
48,5,1.2,8,0,1946,1946,333,153.1883488763168,5.783087,0.16,91.77938657407407,0.0,0.0
48,5,1.2,8,0,1927,1927,288,131.38828255087768,6.5858016,0.16,92.18134548611111,0.0,0.0
48,5,1.2,8,0,1942,1942,436,205.47854381416653,2.799922,0.16,91.3948119212963,0.0,0.0
48,5,1.2,8,0,1944,1944,363,135.48969318573043,3.3682775,0.16,91.4925462962963,0.0,0.0
48,5,1.2,8,0,1930,1930,334,158.18191518722142,5.7677236,0.16,91.3796875,0.0,0.0
48,5,1.2,8,0,1956,1956,384,138.46169804083848,3.3287015,0.16,90.59717013888888,0.0,0.0
48,5,1.2,8,0,1948,1948,310,204.98229964792176,5.0592055,0.16,90.19278067129629,0.0,0.0
48,5,1.2,8,0,1948,1948,286,142.20538132453987,5.2393084,0.16,90.0065017361111,0.0,0.0
48,5,1.2,8,0,1955,1955,309,170.15513530748157,4.1982384,0.15,89.62463252314815,0.0,0.0
48,5,1.2,8,0,1950,1950,312,151.4551798412098,4.4241614,0.15,89.31909722222223,0.0,0.0
48,5,1.2,8,0,1952,1952,283,227.19640912656436,4.5804367,0.14,88.80570891203703,0.0,0.0
48,5,1.2,8,0,1949,1949,391,156.81870568930543,3.7704394,0.14,88.70548611111111,0.0,0.0
48,5,1.2,8,0,1951,1951,400,180.98416025105962,3.8972533,0.13,88.48272280092593,0.0,0.0
48,5,1.2,8,0,1965,1965,527,164.04012223507394,2.521822,0.14,88.32633680555556,0.0,0.0
48,5,1.2,8,0,1949,1949,360,245.63327722552262,3.6520555,0.14,88.05937210648148,0.0,0.0
48,5,1.2,8,0,1945,1945,487,164.80254251321338,2.9691427,0.14,88.0668431712963,0.0,0.0
48,5,1.2,8,0,1951,1951,672,192.70584521551353,1.4460353,0.13,87.89137442129629,0.0,0.0
48,5,1.2,8,0,1943,1943,621,171.40884244181314,1.6372888,0.13,87.89780381944445,0.0,0.0
48,5,1.2,8,0,1946,1946,316,246.12697065783837,4.6358824,0.13,87.5794357638889,0.0,0.0
48,5,1.2,8,0,1951,1951,355,173.98476432171108,4.5986385,0.13,87.60219039351851,0.0,0.0
48,5,1.2,8,0,1952,1952,555,200.92295920018321,3.2613275,0.13,87.42546875,0.0,0.0
48,5,1.2,8,0,1944,1944,425,179.63920918510448,3.8351514,0.13,87.4283449074074,0.0,0.0
48,5,1.2,8,0,1952,1952,499,271.34089849737137,3.305298,0.12,87.18036747685186,0.0,0.0
48,5,1.2,8,0,1952,1952,544,181.0885677069184,2.0330753,0.13,87.36388310185185,0.0,0.0
48,5,1.2,8,0,1955,1955,484,202.80988314994323,3.6314363,0.13,87.31807581018519,0.0,0.0
48,5,1.2,8,0,1955,1955,511,184.52838330740383,3.5272813,0.13,87.34707465277778,0.0,0.0
48,5,1.2,8,0,1949,1949,636,278.3992869340224,1.6711017,0.13,87.19059895833334,0.0,0.0
48,5,1.2,8,0,1960,1960,536,187.1092330909259,2.153905,0.13,87.44570891203703,0.0,0.0
48,5,1.2,8,0,1960,1960,574,211.54132136109905,2.4563262,0.13,87.41571180555556,0.0,0.0
48,5,1.2,8,0,1950,1950,459,185.95108916671188,3.5391736,0.12,87.53214699074074,0.0,0.0
48,5,1.2,8,0,1965,1965,638,268.0658093074511,2.0029848,0.12,87.41004340277777,0.0,0.0
48,5,1.2,8,0,1956,1956,555,181.8195107260789,2.283054,0.12,87.71464988425926,0.0,0.0
48,5,1.2,8,0,1971,1971,557,200.55112152295524,3.2712843,0.12,87.69353298611111,0.0,0.0
48,5,1.2,8,0,1967,1967,595,183.6522737730594,1.9328642,0.12,87.78829282407408,0.0,0.0
48,5,1.2,8,0,1963,1963,517,259.3651254810474,3.2213361,0.12,87.65517361111111,0.0,0.0
48,5,1.2,8,0,1969,1969,639,174.0688743708523,1.870757,0.12,87.63149016203704,0.0,0.0
48,5,1.2,8,0,1956,1956,592,197.4041286990737,2.3384635,0.12,86.70192708333333,0.0,0.0
48,5,1.2,8,0,1964,1964,550,172.98091692051938,2.210923,0.12,86.72491608796297,0.0,0.0
48,5,1.2,8,0,1968,1968,623,248.51590525494277,1.8503067,0.12,86.54417245370371,0.0,0.0
48,5,1.2,8,0,1970,1970,605,168.88635970021946,2.3457217,0.12,86.68391782407407,0.0,0.0
48,5,1.2,8,0,1973,1973,473,184.35292476810832,3.3911288,0.13,86.50072627314815,0.0,0.0
48,5,1.2,8,0,1965,1965,586,160.60947220852483,1.939131,0.12,86.48309317129629,0.0,0.0
48,5,1.2,8,0,1967,1967,614,237.89533852618598,2.0723252,0.12,85.21359953703704,0.0,0.0
48,5,1.2,8,0,1979,1979,650,159.73574399511182,1.8112307,0.12,85.47686631944444,0.0,0.0
48,5,1.2,8,0,1973,1973,540,179.22786330988382,2.044841,0.13,85.47760706018518,0.0,0.0
48,5,1.2,8,0,1981,1981,642,160.3669673273199,2.0861864,0.12,85.59438078703704,0.0,0.0
48,5,1.2,8,0,1978,1978,585,229.0066773178959,1.9632908,0.12,85.49915219907408,0.0,0.0
48,5,1.2,8,0,1964,1964,596,153.0565118714551,2.8382971,0.12,85.49952546296296,0.0,0.0
48,5,1.2,8,0,1978,1978,625,174.8108973266769,1.4753191,0.12,84.52179976851852,0.0,0.0
48,5,1.2,8,0,1966,1966,709,158.61382560153538,1.1115646,0.12,84.53084201388889,0.0,0.0
48,5,1.2,8,0,1974,1974,610,223.61017368492261,2.3403177,0.12,84.37780960648148,0.0,0.0
