patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1846,1846,977,76.70281458018623,0.17702268,0.19,41.99301106770833,2.065104166666667,5.023111979166667
48,5,1.2,8,0,1882,1882,864,85.34374991794162,0.25519666,0.2,48.79244140625,2.2978515625,3.533854166666667
48,5,1.2,8,0,1902,1902,157,77.01558242771361,2.7323942,0.21,56.42931315104167,2.579752604166667,2.0908203125
48,5,1.2,8,0,1951,1951,346,150.191604155816,1.753363,0.33,159.48682291666665,25.530924479166668,0.0
48,5,1.2,8,0,1919,1919,829,179.70286577774687,0.7428393,0.34,132.98859700520833,22.651041666666664,0.0013020833333333335
48,5,1.2,8,0,1906,1906,1074,229.05655575116475,0.20611404,0.34,120.64157552083333,18.832356770833332,0.008138020833333332
48,5,1.2,8,0,1903,1903,1265,229.92702737934326,0.16306725,0.34,115.30944986979166,15.685546875,0.042643229166666664
48,5,1.2,8,0,1903,1903,1269,241.03634702538378,0.12209129,0.34,111.97164388020833,14.592122395833334,0.0908203125
48,5,1.2,8,0,1907,1907,1420,253.71877878866192,0.10234602,0.34,108.76650065104167,13.976236979166668,0.2740885416666667
48,5,1.2,8,0,1907,1907,1856,253.90503198174366,0.017027594,0.34,107.30728841145833,13.609700520833334,0.322265625
48,5,1.2,8,0,1909,1909,1837,254.05450452469725,0.021963196,0.34,107.289169921875,13.601236979166668,0.36393229166666663
48,5,1.2,8,0,1913,1913,1823,253.93768800654942,0.025891079,0.34,107.29018229166667,13.601888020833334,0.3505859375
48,5,1.2,8,0,1915,1915,1690,254.76303309309225,0.049614783,0.34,107.22481119791667,13.582031250000002,0.36848958333333337
48,5,1.2,8,0,1913,1913,1782,253.48295797262185,0.027668774,0.34,107.32572916666666,13.626302083333334,0.3512369791666667
48,5,1.2,8,0,1906,1906,1808,253.63019786782792,0.024366217,0.34,107.30972330729166,13.614908854166666,0.3753255208333333
48,5,1.2,8,0,1912,1912,1722,253.2342369533538,0.039932176,0.34,107.31357747395833,13.620768229166666,0.35611979166666663
48,5,1.2,8,0,1912,1912,1712,254.63704671299192,0.044765264,0.34,107.19608072916667,13.579752604166668,0.35221354166666663
48,5,1.2,8,0,1907,1907,1802,253.41591653374562,0.02585576,0.34,107.31382486979167,13.6044921875,0.33365885416666663
48,5,1.2,8,0,1907,1907,1814,253.54041554052557,0.025311816,0.34,107.309501953125,13.601236979166668,0.3128255208333333
48,5,1.2,8,0,1908,1908,1725,253.09973847096762,0.03651401,0.34,107.31530598958334,13.601888020833334,0.33203125
48,5,1.2,8,0,1908,1908,1717,254.08996220600346,0.040323842,0.34,107.224423828125,13.5947265625,0.3330078125
48,5,1.2,8,0,1905,1905,1788,252.89721227311028,0.025559152,0.34,107.304482421875,13.607747395833334,0.3382161458333333
48,5,1.2,8,0,1913,1913,1804,253.05886913722358,0.025024397,0.34,107.29635416666666,13.606770833333334,0.3424479166666667
48,5,1.2,8,0,1905,1905,1749,253.01083209393812,0.036057223,0.34,107.30598958333333,13.609375000000002,0.3212890625
