patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,10,10,0,0.35055338541666664,20.359476,0.01,1.6787369791666666,0.0,99.998046875
48,5,1.2,8,0,1922,1922,293,158.6910825881004,4.478897,0.35,156.986005859375,27.198567708333332,0.00032552083333333337
48,5,1.2,8,0,1878,1878,1153,199.09180895483232,0.15351108,0.35,116.92233072916666,16.0830078125,8.1923828125
48,5,1.2,8,0,1886,1886,1141,197.19635268448724,0.13916762,0.35,112.45441731770833,13.180338541666666,9.337890625
48,5,1.2,8,0,1882,1882,1274,206.3374738548173,0.083050825,0.35,107.52314453125,12.4091796875,10.81640625
48,5,1.2,8,0,1886,1886,1685,205.89143855386308,0.014898898,0.35,106.28321614583334,12.108072916666666,11.309244791666668
48,5,1.2,8,0,1885,1885,1809,206.25435821516245,0.0148682995,0.35,106.24114908854166,12.1044921875,11.368489583333332
48,5,1.2,8,0,1879,1879,1786,206.00862019262314,0.018468417,0.35,106.22983072916666,12.102864583333334,11.383138020833334
48,5,1.2,8,0,1879,1879,1641,206.4277965250651,0.038472097,0.35,106.17317708333333,12.090169270833332,11.5615234375
48,5,1.2,8,0,1870,1870,1711,205.30399697493445,0.019576425,0.35,106.27329752604167,12.105794270833334,11.3544921875
48,5,1.2,8,0,1875,1875,1765,205.5469404387474,0.017578073,0.35,106.25212239583334,12.108072916666666,11.379231770833332
48,5,1.2,8,0,1880,1880,1657,205.17285150654052,0.031317614,0.35,106.25972005208334,12.1103515625,11.333658854166668
48,5,1.2,8,0,1884,1884,1645,206.1998149305555,0.03584802,0.35,106.156884765625,12.096354166666666,11.465494791666666
48,5,1.2,8,0,1882,1882,1751,204.8547774926821,0.020118805,0.35,106.24830729166666,12.110026041666666,11.39453125
48,5,1.2,8,0,1887,1887,1755,205.2634887257788,0.0204593,0.35,106.23697265625,12.109049479166668,11.450520833333332
48,5,1.2,8,0,1885,1885,1667,205.00086789126928,0.029516503,0.35,106.2363671875,12.108723958333334,11.486328125
48,5,1.2,8,0,1890,1890,1633,205.8957842203352,0.03390179,0.35,106.12633463541667,12.0986328125,11.599283854166668
48,5,1.2,8,0,1882,1882,1737,204.63414425403812,0.019943526,0.35,106.22544921875,12.111002604166666,11.396484375
