patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,313,644.9452197873974,11.145873,0.32
48,5,1.2,8,0,2000,2000,341,652.6804415745413,12.973357,0.32
48,5,1.2,8,0,2000,2000,458,663.965949010511,12.719649,0.32
48,5,1.2,8,0,2000,2000,443,681.7194932064104,12.603697,0.32
48,5,1.2,8,0,2000,2000,454,671.4002200656798,13.166573,0.32
48,5,1.2,8,0,2000,2000,514,667.0518813376087,14.070505,0.32
48,5,1.2,8,0,2000,2000,510,645.0978220375133,15.06981,0.32
48,5,1.2,8,0,2000,2000,516,644.3904658920462,14.668445,0.32
48,5,1.2,8,0,2000,2000,580,626.2970911075221,16.273335,0.32
48,5,1.2,8,0,2000,2000,583,618.3964191679854,15.58979,0.32
48,5,1.2,8,0,2000,2000,588,623.3182517214774,15.008866,0.32
48,5,1.2,8,0,2000,2000,524,617.2047130571605,14.095065,0.32
48,5,1.2,8,0,2000,2000,527,607.1966527264126,11.905852,0.32
48,5,1.2,8,0,2000,2000,513,599.3874101207963,10.958852,0.32
48,5,1.2,8,0,2000,2000,541,588.5437992679445,11.704181,0.32
48,5,1.2,8,0,2000,2000,486,581.9037340246107,12.340736,0.32
48,5,1.2,8,0,2000,2000,394,558.5796078496268,13.113372,0.32
48,5,1.2,8,0,2000,2000,436,541.7379367073373,14.686058,0.32
48,5,1.2,8,0,2000,2000,359,515.3720897899337,15.733722,0.32
48,5,1.2,8,0,2000,2000,332,496.9569236549541,13.42559,0.32
48,5,1.2,8,0,2000,2000,339,472.3212606704566,14.15996,0.32
48,5,1.2,8,0,2000,2000,331,442.7141057226861,15.035946,0.32
48,5,1.2,8,0,2000,2000,281,419.567877684215,13.636259,0.32
48,5,1.2,8,0,2000,2000,329,393.92994002633714,14.008551,0.31
48,5,1.2,8,0,2000,2000,261,369.0387984997714,14.197575,0.31
48,5,1.2,8,0,2000,2000,266,356.7011407336067,14.212496,0.31
48,5,1.2,8,0,2000,2000,314,326.5465539978863,12.411008,0.31
48,5,1.2,8,0,2000,2000,261,318.6819317450216,12.63366,0.31
48,5,1.2,8,0,2000,2000,309,320.6938681414291,13.457038,0.3
48,5,1.2,8,0,2000,2000,313,323.1258830571718,13.17973,0.29
48,5,1.2,8,0,2000,2000,285,326.97350014649106,12.688869,0.29
48,5,1.2,8,0,2000,2000,332,332.68193708876566,12.467209,0.29
48,5,1.2,8,0,2000,2000,376,336.6383519060722,13.186918,0.29
48,5,1.2,8,0,2000,2000,379,344.44737938020836,13.8651285,0.29
48,5,1.2,8,0,2000,2000,338,344.23987799985997,12.627392,0.29
48,5,1.2,8,0,2000,2000,373,359.6311060233784,11.454615,0.29
48,5,1.2,8,0,2000,2000,393,347.557348985273,11.224755,0.29
48,5,1.2,8,0,2000,2000,433,367.5938439621865,11.390824,0.29
48,5,1.2,8,0,2000,2000,433,378.58585832274554,10.904613,0.29
48,5,1.2,8,0,2000,2000,414,389.4689487605535,9.839559,0.28
48,5,1.2,8,0,2000,2000,383,396.29228680432135,9.781685,0.28
48,5,1.2,8,0,2000,2000,403,405.4722091884855,10.3794365,0.28
48,5,1.2,8,0,2000,2000,392,410.39802598526046,10.774326,0.28
48,5,1.2,8,0,2000,2000,421,415.96984828930414,10.653803,0.27
48,5,1.2,8,0,2000,2000,405,429.51427891453426,10.493768,0.27
48,5,1.2,8,0,2000,2000,371,445.68357396866077,11.891194,0.27
48,5,1.2,8,0,2000,2000,374,477.56197868565306,12.166433,0.28
48,5,1.2,8,0,2000,2000,393,462.4360301039151,13.082218,0.28
48,5,1.2,8,0,2000,2000,413,478.8872774504441,12.084844,0.28
48,5,1.2,8,0,2000,2000,416,483.6017513719227,11.8805275,0.28
48,5,1.2,8,0,2000,2000,320,497.3056748786352,14.044865,0.28
48,5,1.2,8,0,2000,2000,433,516.1493570527423,13.510794,0.28
48,5,1.2,8,0,2000,2000,421,532.8289319328317,13.734408,0.28
48,5,1.2,8,0,2000,2000,416,538.6871183259935,14.506697,0.28
48,5,1.2,8,0,2000,2000,389,546.99618886864,11.79012,0.28
48,5,1.2,8,0,2000,2000,443,559.9119688974758,11.003607,0.28
48,5,1.2,8,0,2000,2000,381,574.4135470789637,10.939778,0.29
48,5,1.2,8,0,2000,2000,385,580.6185195028377,9.880878,0.29
48,5,1.2,8,0,2000,2000,385,594.6714841829014,11.005516,0.29
48,5,1.2,8,0,2000,2000,385,601.5789240804862,11.206228,0.29
48,5,1.2,8,0,2000,2000,312,593.5597277368779,9.900784,0.29
48,5,1.2,8,0,2000,2000,360,605.4786242722879,10.351352,0.29
48,5,1.2,8,0,2000,2000,362,595.9421899142385,9.885372,0.29
48,5,1.2,8,0,2000,2000,372,583.0538074278419,9.731589,0.29
48,5,1.2,8,0,2000,2000,388,595.4823596050774,10.946622,0.29
48,5,1.2,8,0,2000,2000,315,594.3410487442085,10.1396885,0.29
48,5,1.2,8,0,2000,2000,317,582.3783688884737,9.953367,0.3
48,5,1.2,8,0,2000,2000,339,592.9343419448447,11.364044,0.3
48,5,1.2,8,0,2000,2000,309,599.9401016225113,11.282011,0.3
48,5,1.2,8,0,2000,2000,354,602.2329272984958,12.167993,0.3
48,5,1.2,8,0,2000,2000,298,614.4388855344973,11.453717,0.3
48,5,1.2,8,0,2000,2000,281,639.2271369868561,10.88843,0.3
48,5,1.2,8,0,2000,2000,276,647.6344806481225,13.60683,0.31
48,5,1.2,8,0,2000,2000,287,606.1308542263995,17.157803,0.3
48,5,1.2,8,0,2000,2000,245,634.1483832999044,16.509127,0.3
48,5,1.2,8,0,2000,2000,220,661.7388484586576,17.037405,0.31
48,5,1.2,8,0,2000,2000,254,758.2834917432798,13.992738,0.32
48,5,1.2,8,0,2000,2000,209,759.9807605401845,12.146062,0.31
48,5,1.2,8,0,2000,2000,184,808.4590688767917,9.810378,0.31
48,5,1.2,8,0,2000,2000,157,898.6437048005071,10.492825,0.32
48,5,1.2,8,0,2000,2000,139,961.6674501412975,10.798499,0.33
48,5,1.2,8,0,2000,2000,132,953.0096505360821,11.998351,0.33
48,5,1.2,8,0,2000,2000,152,951.6316004498927,13.021704,0.33
48,5,1.2,8,0,2000,2000,117,1002.8661414392025,17.0182,0.33
48,5,1.2,8,0,2000,2000,118,1018.6539253735147,14.989853,0.34
48,5,1.2,8,0,2000,2000,129,984.4376895185732,13.470392,0.33
48,5,1.2,8,0,2000,2000,113,975.6356509681739,15.591464,0.34
48,5,1.2,8,0,2000,2000,119,958.1238489327411,16.705313,0.34
48,5,1.2,8,0,2000,2000,85,931.8176077789036,16.418802,0.34
48,5,1.2,8,0,2000,2000,95,879.7636184885968,14.143596,0.33
48,5,1.2,8,0,2000,2000,131,888.1963219504314,14.392445,0.34
48,5,1.2,8,0,2000,2000,109,857.5148207584588,16.752256,0.34
48,5,1.2,8,0,2000,2000,97,846.7859172121222,16.978613,0.34
48,5,1.2,8,0,2000,2000,73,839.6568063462801,16.112913,0.33
48,5,1.2,8,0,2000,2000,107,775.753392315973,14.490167,0.35
48,5,1.2,8,0,2000,2000,98,667.4144379894772,12.988811,0.35
48,5,1.2,8,0,2000,2000,101,594.0134079468818,9.139668,0.35
48,5,1.2,8,0,2000,2000,125,526.8127029980997,9.101443,0.36
48,5,1.2,8,0,2000,2000,198,444.73131417553043,11.5670805,0.35
48,5,1.2,8,0,2000,2000,190,432.74090527653806,12.118937,0.34
48,5,1.2,8,0,2000,2000,222,469.0309642000526,15.025931,0.33
48,5,1.2,8,0,2000,2000,134,495.49348364775835,12.3670225,0.28
48,5,1.2,8,0,2000,2000,97,626.2105520668439,9.585771,0.27
48,5,1.2,8,0,2000,2000,105,735.629538397541,12.132007,0.31
48,5,1.2,8,0,2000,2000,137,711.7130235454704,13.782026,0.34
48,5,1.2,8,0,2000,2000,182,933.3243537534304,19.152882,0.37
48,5,1.2,8,0,2000,2000,142,1026.7422098034606,11.985071,0.37
48,5,1.2,8,0,2000,2000,98,1030.273861117959,10.570722,0.38
48,5,1.2,8,0,2000,2000,121,1040.0533251415607,11.588818,0.39
48,5,1.2,8,0,2000,2000,112,1070.6271208509102,17.814808,0.39
48,5,1.2,8,0,2000,2000,123,1036.1114180655766,11.703462,0.39
48,5,1.2,8,0,2000,2000,135,817.5766564076367,12.376499,0.38
48,5,1.2,8,0,2000,2000,234,581.3747939291246,10.615281,0.35
48,5,1.2,8,0,2000,2000,270,484.36783148822394,12.130767,0.34
48,5,1.2,8,0,2000,2000,294,426.63130154675537,11.670792,0.32
48,5,1.2,8,0,2000,2000,309,405.84018461668234,9.983963,0.32
48,5,1.2,8,0,2000,2000,285,447.4278735842646,12.062199,0.33
48,5,1.2,8,0,2000,2000,257,406.39881959537377,9.686599,0.32
48,5,1.2,8,0,2000,2000,220,345.6218423232806,10.986591,0.31
48,5,1.2,8,0,2000,2000,317,414.67014727144215,10.477356,0.32
48,5,1.2,8,0,2000,2000,310,385.022057485545,12.064355,0.32
48,5,1.2,8,0,2000,2000,396,351.2056764636848,14.08941,0.32
48,5,1.2,8,0,2000,2000,293,341.45623557306436,15.325894,0.32
48,5,1.2,8,0,2000,2000,356,347.32935302626856,16.027227,0.32
48,5,1.2,8,0,2000,2000,317,357.52487773534494,14.857262,0.32
48,5,1.2,8,0,2000,2000,288,372.6364887725796,14.884198,0.32
48,5,1.2,8,0,2000,2000,264,417.5721791476009,13.898323,0.33
48,5,1.2,8,0,2000,2000,278,499.1479882861262,14.663795,0.34
48,5,1.2,8,0,2000,2000,269,552.5527214079857,14.312523,0.35
48,5,1.2,8,0,2000,2000,253,575.0854571491554,11.909616,0.35
48,5,1.2,8,0,2000,2000,207,582.9176589137878,11.268932,0.35
48,5,1.2,8,0,2000,2000,241,537.6569601531254,9.978484,0.34
48,5,1.2,8,0,2000,2000,241,484.3124652603733,10.650165,0.33
48,5,1.2,8,0,2000,2000,231,438.27569551422306,10.688901,0.32
48,5,1.2,8,0,2000,2000,217,430.8536761188203,9.959276,0.32
48,5,1.2,8,0,2000,2000,198,432.67100994546985,11.182225,0.32
48,5,1.2,8,0,2000,2000,180,419.880205565157,9.165798,0.32
48,5,1.2,8,0,2000,2000,175,413.01713901070093,10.89972,0.32
48,5,1.2,8,0,2000,2000,154,429.195302329897,11.681127,0.32
48,5,1.2,8,0,2000,2000,189,428.7745225021966,13.180989,0.32
48,5,1.2,8,0,2000,2000,206,442.9366741358466,12.284038,0.32
48,5,1.2,8,0,2000,2000,193,440.73945149250505,13.521629,0.31
48,5,1.2,8,0,2000,2000,258,422.2018182873065,9.705283,0.31
48,5,1.2,8,0,2000,2000,221,431.69322615127385,10.696741,0.31
48,5,1.2,8,0,2000,2000,270,433.65519825866386,12.628743,0.31
48,5,1.2,8,0,2000,2000,261,419.13974749037925,12.036992,0.31
48,5,1.2,8,0,2000,2000,240,388.3162105477216,11.192952,0.31
48,5,1.2,8,0,2000,2000,244,381.81570079240777,10.8774395,0.3
48,5,1.2,8,0,2000,2000,250,377.52427289603617,11.876666,0.3
48,5,1.2,8,0,2000,2000,273,380.3815108941497,10.732218,0.29
48,5,1.2,8,0,2000,2000,256,396.9352264304615,13.24354,0.3
48,5,1.2,8,0,2000,2000,220,399.052593070977,10.997419,0.29
48,5,1.2,8,0,2000,2000,223,399.602444609507,11.325496,0.29
48,5,1.2,8,0,2000,2000,223,417.80671358397456,12.609044,0.29
48,5,1.2,8,0,2000,2000,219,426.74500424532323,12.128763,0.29
48,5,1.2,8,0,2000,2000,216,437.9879592010864,10.864837,0.3
48,5,1.2,8,0,2000,2000,202,441.02568508824663,13.866258,0.3
48,5,1.2,8,0,2000,2000,219,438.7461591589152,12.966937,0.29
48,5,1.2,8,0,2000,2000,224,439.33410314083955,11.543547,0.29
48,5,1.2,8,0,2000,2000,212,462.5885995151115,9.223877,0.29
48,5,1.2,8,0,2000,2000,234,460.6959135417493,10.230256,0.29
48,5,1.2,8,0,2000,2000,273,452.14791970859324,10.596411,0.29
48,5,1.2,8,0,2000,2000,228,437.91640656560634,11.2033205,0.29
48,5,1.2,8,0,2000,2000,247,430.02595264393705,11.514738,0.3
48,5,1.2,8,0,2000,2000,235,440.7497836681868,11.673661,0.3
48,5,1.2,8,0,2000,2000,218,444.98613477344475,12.606682,0.31
48,5,1.2,8,0,2000,2000,236,437.96732915992845,12.993896,0.31
48,5,1.2,8,0,2000,2000,214,442.7667717874267,13.257713,0.3
48,5,1.2,8,0,2000,2000,255,443.0120477623434,12.54314,0.3
48,5,1.2,8,0,2000,2000,223,453.454313352138,14.501148,0.3
48,5,1.2,8,0,2000,2000,223,430.65966890099554,16.290905,0.31
48,5,1.2,8,0,2000,2000,196,443.5645099628541,15.76756,0.3
48,5,1.2,8,0,2000,2000,227,454.0813241423633,11.965471,0.31
48,5,1.2,8,0,2000,2000,172,454.8740405087335,10.281693,0.3
