patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1935,1935,513,730.0592141666066,2.9739833,0.22,120.88973451747721,0.003957700101317123,0.0807370820668693
48,5,1.2,8,0,1942,1942,474,738.4602720845884,3.3254483,0.22,120.98156107522796,0.00356193009118541,0.07875823201621074
48,5,1.2,8,0,1941,1941,485,739.3032268363547,2.977133,0.22,121.08215393870314,0.004749240121580547,0.07915400202634244
48,5,1.2,8,0,1937,1937,530,612.8201867638276,3.1630752,0.21,104.62001725557244,0.0007915400202634246,0.14049835359675786
48,5,1.2,8,0,1939,1939,465,615.9839712504324,4.048086,0.21,104.87795640197568,0.0007915400202634246,0.14010258358662614
48,5,1.2,8,0,1934,1934,393,610.8861989374058,4.3621483,0.21,104.56726902862209,0.0007915400202634246,0.12981256332320162
48,5,1.2,8,0,1933,1933,317,455.4158168763156,4.884129,0.19,86.91822600050658,0.0,0.20500886524822695
48,5,1.2,8,0,1932,1932,381,454.883796716118,5.813905,0.19,87.57219240754813,0.0015830800405268492,0.1875949848024316
48,5,1.2,8,0,1928,1928,299,427.7456374039589,6.4394984,0.19,87.88483884245187,0.0003957700101317123,0.170576874366768
48,5,1.2,8,0,1937,1937,387,537.6261976462233,5.855954,0.2,100.16897796352583,0.0003957700101317123,0.12664640324214793
48,5,1.2,8,0,1931,1931,414,544.9752397263152,4.958456,0.2,99.99596314589665,0.0003957700101317123,0.13416603343465047
48,5,1.2,8,0,1925,1925,413,543.9724187860987,4.6559463,0.2,99.56659226190476,0.002770390070921986,0.14683067375886524
48,5,1.2,8,0,1931,1931,395,540.0277748918138,5.502108,0.2,99.45958396656535,0.0019788500506585614,0.12466755319148937
48,5,1.2,8,0,1924,1924,464,535.1831868218763,3.9464881,0.2,99.44268062943263,0.0031661600810536984,0.13060410334346503
48,5,1.2,8,0,1932,1932,355,546.6983460701105,4.989978,0.2,99.42111512158054,0.0007915400202634246,0.1385195035460993
48,5,1.2,8,0,1932,1932,345,578.5772675802623,7.7919884,0.2,98.46431737588652,0.0019788500506585614,0.15712069402228976
48,5,1.2,8,0,1923,1923,417,548.4148677726156,3.8955865,0.2,98.62984422492401,0.0019788500506585614,0.14960106382978725
48,5,1.2,8,0,1934,1934,369,553.5599121926635,5.8629827,0.21,98.21056547619048,0.0003957700101317123,0.15395453394123607
48,5,1.2,8,0,1940,1940,365,538.710420798954,4.7146587,0.2,97.86669674518744,0.0007915400202634246,0.13970681357649442
48,5,1.2,8,0,1936,1936,315,534.4277059911828,5.7315555,0.21,97.51639279381966,0.0003957700101317123,0.14406028368794324
48,5,1.2,8,0,1930,1930,344,525.0428754440467,4.2382307,0.21,97.93370456560284,0.0007915400202634246,0.16266147416413373
48,5,1.2,8,0,1931,1931,388,524.3972648275957,4.3289084,0.2,97.77175151975683,0.0003957700101317123,0.16384878419452886
48,5,1.2,8,0,1928,1928,414,517.6654010864098,5.619857,0.22,97.48123654381966,0.0,0.16741071428571427
48,5,1.2,8,0,1935,1935,409,501.01280102407753,3.5110674,0.21,97.79376820542046,0.0,0.1452475937183384
48,5,1.2,8,0,1937,1937,412,519.8232450083983,3.5501735,0.2,97.80112161220872,0.0007915400202634246,0.1412898936170213
48,5,1.2,8,0,1940,1940,425,534.9254130885945,5.851197,0.2,97.19278748733537,0.0011873100303951367,0.15593338399189463
48,5,1.2,8,0,1932,1932,426,525.3038594213631,3.2291007,0.21,97.7196721441236,0.0,0.14643490374873352
48,5,1.2,8,0,1927,1927,376,540.9632128015743,3.5959167,0.2,97.6808906408308,0.008311170212765957,0.15118414387031406
48,5,1.2,8,0,1934,1934,318,547.6733161471084,5.746564,0.2,97.44041286727457,0.0019788500506585614,0.1614741641337386
48,5,1.2,8,0,1925,1925,444,535.4256224665808,4.518004,0.21,97.78552035840931,0.0011873100303951367,0.1452475937183384
48,5,1.2,8,0,1934,1934,415,534.7793875712915,3.9014037,0.21,98.05746976317123,0.0007915400202634246,0.1587037740628166
48,5,1.2,8,0,1926,1926,381,541.4764471161851,4.026796,0.21,97.95246802178318,0.0011873100303951367,0.17849227456940223
48,5,1.2,8,0,1925,1925,402,536.6068776438544,6.5990644,0.21,97.63764485182371,0.0023746200607902735,0.16622340425531915
48,5,1.2,8,0,1929,1929,493,538.2728094727404,3.1635866,0.21,98.3461839855623,0.004749240121580547,0.16938956433637287
48,5,1.2,8,0,1927,1927,398,542.852110667528,3.8195522,0.21,98.2277418946302,0.0003957700101317123,0.15553761398176294
48,5,1.2,8,0,1924,1924,457,545.2504553935817,5.597199,0.21,98.40687927431611,0.005540780141843972,0.17295149442755825
48,5,1.2,8,0,1930,1930,451,537.8095281759757,4.1097026,0.21,98.83224100810537,0.003957700101317123,0.16424455420466058
48,5,1.2,8,0,1925,1925,409,527.8042230859814,4.0615163,0.21,98.791445035461,0.0043534701114488344,0.14841375379939212
