patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1902,1312.8830642263185,0.022650015,0.28
48,5,1.2,8,0,2000,2000,1923,1312.4046949489746,0.02323805,0.28
48,5,1.2,8,0,2000,2000,1923,1311.710837468711,0.023431072,0.28
48,5,1.2,8,0,2000,2000,1914,1312.256910412344,0.023379022,0.28
48,5,1.2,8,0,2000,2000,1922,1312.2704320144433,0.022624798,0.28
48,5,1.2,8,0,2000,2000,1916,1311.5348749373438,0.023950757,0.28
48,5,1.2,8,0,2000,2000,1914,1312.5143000623432,0.02329882,0.28
48,5,1.2,8,0,2000,2000,1921,1312.2141066496486,0.022447323,0.28
48,5,1.2,8,0,2000,2000,1923,1312.7334896018656,0.022540689,0.28
48,5,1.2,8,0,2000,2000,1924,1312.5743870548438,0.023679467,0.28
48,5,1.2,8,0,2000,2000,1922,1311.8229048685932,0.023370957,0.28
48,5,1.2,8,0,2000,2000,1920,1312.4522711850686,0.02366235,0.28
48,5,1.2,8,0,2000,2000,1925,1312.0943425060934,0.023454057,0.28
48,5,1.2,8,0,2000,2000,1916,1311.8628128562405,0.023117136,0.28
48,5,1.2,8,0,2000,2000,1906,1311.8549275335058,0.023807473,0.28
48,5,1.2,8,0,2000,2000,1919,1312.9589755057714,0.023658495,0.28
48,5,1.2,8,0,2000,2000,1911,1313.7920823053803,0.023260934,0.28
48,5,1.2,8,0,2000,2000,1915,1311.8229512346772,0.022261016,0.28
48,5,1.2,8,0,2000,2000,1924,1312.7452228762108,0.021584641,0.28
48,5,1.2,8,0,2000,2000,1932,1312.5189294130862,0.022818068,0.28
48,5,1.2,8,0,2000,2000,1921,1313.4708581139748,0.023765035,0.28
48,5,1.2,8,0,2000,2000,1918,1312.3309493265233,0.023368308,0.28
48,5,1.2,8,0,2000,2000,1919,1313.039135084336,0.024474585,0.28
48,5,1.2,8,0,2000,2000,1917,1312.0878399679593,0.023968846,0.28
48,5,1.2,8,0,2000,2000,1926,1312.6103912605863,0.023598278,0.28
48,5,1.2,8,0,2000,2000,1928,1311.8395245871484,0.024199465,0.28
48,5,1.2,8,0,2000,2000,1922,1313.143173269375,0.0246378,0.28
48,5,1.2,8,0,2000,2000,1921,1312.5343180435943,0.022270055,0.28
48,5,1.2,8,0,2000,2000,1914,1311.4599305105855,0.023995562,0.28
48,5,1.2,8,0,2000,2000,1913,1312.9387500623438,0.024906438,0.28
48,5,1.2,8,0,2000,2000,1907,1312.66204896,0.023183573,0.28
48,5,1.2,8,0,2000,2000,1920,1311.9966053108983,0.02274594,0.28
48,5,1.2,8,0,2000,2000,1917,1311.1293647026464,0.023700306,0.28
48,5,1.2,8,0,2000,2000,1924,1311.6163049718357,0.027638232,0.28
48,5,1.2,8,0,2000,2000,1924,1311.743894696865,0.023783404,0.28
48,5,1.2,8,0,2000,2000,1911,1312.371295885537,0.025038594,0.28
48,5,1.2,8,0,2000,2000,1906,1313.3469206139748,0.024460036,0.28
48,5,1.2,8,0,2000,2000,1905,1312.609747198819,0.024851525,0.28
48,5,1.2,8,0,2000,2000,1917,1312.180504448593,0.024597477,0.28
48,5,1.2,8,0,2000,2000,1905,1313.0644441811623,0.024068382,0.28
48,5,1.2,8,0,2000,2000,1901,1313.1401021018646,0.025604779,0.28
48,5,1.2,8,0,2000,2000,1912,1313.4646675402737,0.024554692,0.28
48,5,1.2,8,0,2000,2000,1920,1314.073367777344,0.022816177,0.28
48,5,1.2,8,0,2000,2000,1914,1313.6105757277242,0.023003377,0.28
48,5,1.2,8,0,2000,2000,1911,1313.6470086850688,0.025280492,0.28
48,5,1.2,8,0,2000,2000,1927,1313.6064541983985,0.025871634,0.28
48,5,1.2,8,0,2000,2000,1918,1312.5428776960055,0.024202207,0.28
48,5,1.2,8,0,2000,2000,1914,1312.3831231274996,0.024543783,0.28
48,5,1.2,8,0,2000,2000,1912,1313.1319708855372,0.0237527,0.29
48,5,1.2,8,0,2000,2000,1905,1313.4247782338969,0.024730388,0.28
48,5,1.2,8,0,2000,2000,1923,1312.2351526312395,0.023492947,0.28
48,5,1.2,8,0,2000,2000,1905,1311.8382462507718,0.027548123,0.28
48,5,1.2,8,0,2000,2000,1920,1311.8676008443747,0.024034323,0.28
48,5,1.2,8,0,2000,2000,1919,1310.6298005800677,0.023760749,0.28
48,5,1.2,8,0,2000,2000,1927,1311.0824849735936,0.023924738,0.28
48,5,1.2,8,0,2000,2000,1901,1311.8476055435933,0.026830658,0.28
48,5,1.2,8,0,2000,2000,1922,1312.4578107693753,0.023240102,0.28
48,5,1.2,8,0,2000,2000,1917,1311.7105707163967,0.024378875,0.28
48,5,1.2,8,0,2000,2000,1916,1312.3542365608987,0.023075199,0.28
48,5,1.2,8,0,2000,2000,1918,1313.1930120224613,0.024316467,0.28
48,5,1.2,8,0,2000,2000,1922,1312.5271647694428,0.024236677,0.28
48,5,1.2,8,0,2000,2000,1910,1312.8079924375002,0.023855101,0.28
48,5,1.2,8,0,2000,2000,1917,1312.0964104483987,0.022802085,0.28
48,5,1.2,8,0,2000,2000,1924,1312.2204136631933,0.023557618,0.28
48,5,1.2,8,0,2000,2000,1919,1312.1487212835063,0.022594536,0.28
48,5,1.2,8,0,2000,2000,1916,1311.9655533115233,0.024202358,0.28
48,5,1.2,8,0,2000,2000,1917,1312.8084520342873,0.023537708,0.28
48,5,1.2,8,0,2000,2000,1912,1312.0689770681151,0.024645155,0.28
48,5,1.2,8,0,2000,2000,1913,1312.5689090104586,0.023720134,0.28
48,5,1.2,8,0,2000,2000,1935,1311.3375865608987,0.022086265,0.28
48,5,1.2,8,0,2000,2000,1924,1312.8983302437111,0.023512363,0.28
48,5,1.2,8,0,2000,2000,1901,1312.645414669131,0.02915249,0.28
48,5,1.2,8,0,2000,2000,1904,1311.4969991610933,0.02454681,0.28
48,5,1.2,8,0,2000,2000,1895,1311.2893242605862,0.027302902,0.28
48,5,1.2,8,0,2000,2000,1908,1311.423685484375,0.024455125,0.28
48,5,1.2,8,0,2000,2000,1904,1310.5286976943746,0.026358228,0.28
48,5,1.2,8,0,2000,2000,1927,1311.4022905827733,0.023791006,0.28
48,5,1.2,8,0,2000,2000,1879,1311.8671325558496,0.030475369,0.28
48,5,1.2,8,0,2000,2000,1913,1312.7871261273342,0.023052448,0.28
48,5,1.2,8,0,2000,2000,1910,1312.9086805435934,0.023287443,0.28
48,5,1.2,8,0,2000,2000,1909,1313.6522088487404,0.02530582,0.28
48,5,1.2,8,0,2000,2000,1906,1313.4536484798432,0.028242685,0.28
48,5,1.2,8,0,2000,2000,1918,1311.891117911094,0.024532547,0.28
48,5,1.2,8,0,2000,2000,1907,1312.5828657735935,0.026602661,0.28
48,5,1.2,8,0,2000,2000,1912,1311.5701453024903,0.023910535,0.28
48,5,1.2,8,0,2000,2000,1898,1312.140829903086,0.026991528,0.28
48,5,1.2,8,0,2000,2000,1938,1311.836952435068,0.024288801,0.28
48,5,1.2,8,0,2000,2000,1904,1312.079973020274,0.027115954,0.28
48,5,1.2,8,0,2000,2000,1916,1311.5104455108494,0.023404585,0.28
48,5,1.2,8,0,2000,2000,1906,1310.9687946968656,0.023220938,0.28
48,5,1.2,8,0,2000,2000,1913,1311.0933770342876,0.023486862,0.28
48,5,1.2,8,0,2000,2000,1907,1311.0786381540527,0.027446115,0.28
48,5,1.2,8,0,2000,2000,1917,1310.5875860493757,0.024381092,0.28
48,5,1.2,8,0,2000,2000,1912,1309.9186009468651,0.026563358,0.28
48,5,1.2,8,0,2000,2000,1908,1309.4546624001462,0.024085004,0.28
48,5,1.2,8,0,2000,2000,1928,1310.4188242275,0.022863092,0.28
48,5,1.2,8,0,2000,2000,1920,1311.0014170546485,0.023522265,0.28
48,5,1.2,8,0,2000,2000,1920,1311.3737741943357,0.027786285,0.28
48,5,1.2,8,0,2000,2000,1922,1310.528092642344,0.024851162,0.28
48,5,1.2,8,0,2000,2000,1912,1311.1354399020997,0.023896433,0.28
48,5,1.2,8,0,2000,2000,1905,1312.2624211190525,0.024669077,0.28
48,5,1.2,8,0,2000,2000,1913,1312.338904053711,0.024643635,0.28
