patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1895,1865.3822715792865,0.02799148,0.29
48,5,1.2,8,0,2000,2000,1884,1865.8189285601475,0.028016992,0.29
48,5,1.2,8,0,2000,2000,1894,1865.6730757474995,0.028711123,0.29
48,5,1.2,8,0,2000,2000,1890,1864.7524837639746,0.029234998,0.29
48,5,1.2,8,0,2000,2000,1885,1865.4229884003032,0.028802127,0.29
48,5,1.2,8,0,2000,2000,1892,1866.063392625772,0.028511524,0.29
48,5,1.2,8,0,2000,2000,1893,1867.1946610849607,0.027811248,0.29
48,5,1.2,8,0,2000,2000,1888,1866.7851027277745,0.027282635,0.29
48,5,1.2,8,0,2000,2000,1885,1867.497432817492,0.02817987,0.29
48,5,1.2,8,0,2000,2000,1866,1869.6239218281153,0.02820732,0.29
48,5,1.2,8,0,2000,2000,1895,1868.6474459774993,0.027920892,0.29
48,5,1.2,8,0,2000,2000,1889,1870.630354834961,0.027498342,0.29
48,5,1.2,8,0,2000,2000,1888,1870.2760798910067,0.028391058,0.29
48,5,1.2,8,0,2000,2000,1882,1871.1652891835943,0.028542373,0.29
48,5,1.2,8,0,2000,2000,1889,1871.4904042165529,0.028740995,0.29
48,5,1.2,8,0,2000,2000,1876,1869.786877430898,0.028318143,0.29
48,5,1.2,8,0,2000,2000,1899,1871.092788236319,0.027619105,0.29
48,5,1.2,8,0,2000,2000,1884,1871.5047890749904,0.02816156,0.29
48,5,1.2,8,0,2000,2000,1902,1870.66630782499,0.027735688,0.29
48,5,1.2,8,0,2000,2000,1888,1868.8353778358985,0.028314687,0.29
48,5,1.2,8,0,2000,2000,1897,1868.7241900310942,0.027791288,0.29
48,5,1.2,8,0,2000,2000,1895,1867.9062320405849,0.029049411,0.29
48,5,1.2,8,0,2000,2000,1896,1868.6609312143646,0.027765235,0.29
48,5,1.2,8,0,2000,2000,1895,1866.9316079249904,0.028236935,0.29
48,5,1.2,8,0,2000,2000,1888,1867.6089966873442,0.027878204,0.29
48,5,1.2,8,0,2000,2000,1906,1868.2907494187114,0.027736414,0.29
48,5,1.2,8,0,2000,2000,1897,1868.8849047968351,0.027128812,0.29
48,5,1.2,8,0,2000,2000,1901,1868.0198556972555,0.027366787,0.29
48,5,1.2,8,0,2000,2000,1889,1868.251062062411,0.028349062,0.29
48,5,1.2,8,0,2000,2000,1901,1868.5996801548422,0.02807865,0.29
48,5,1.2,8,0,2000,2000,1898,1868.1991626600675,0.027348902,0.29
48,5,1.2,8,0,2000,2000,1912,1870.1670689100683,0.02751599,0.29
48,5,1.2,8,0,2000,2000,1895,1869.764371353038,0.027600495,0.29
48,5,1.2,8,0,2000,2000,1890,1868.3949989268665,0.027557412,0.29
48,5,1.2,8,0,2000,2000,1900,1865.2011144375003,0.027423672,0.29
48,5,1.2,8,0,2000,2000,1882,1866.532392789444,0.02693942,0.29
48,5,1.2,8,0,2000,2000,1886,1866.617405308595,0.026728073,0.29
48,5,1.2,8,0,2000,2000,1896,1866.4218399762117,0.0282616,0.29
48,5,1.2,8,0,2000,2000,1874,1867.909774444336,0.03710445,0.29
48,5,1.2,8,0,2000,2000,1861,1867.7074948427726,0.033622563,0.29
48,5,1.2,8,0,2000,2000,1885,1869.3213577734277,0.029757703,0.29
48,5,1.2,8,0,2000,2000,1875,1868.5997317506935,0.03568125,0.29
48,5,1.2,8,0,2000,2000,1598,1868.9072874445221,0.106217764,0.29
48,5,1.2,8,0,2000,2000,1812,1868.4378679823335,0.057026237,0.29
48,5,1.2,8,0,2000,2000,1365,1875.334780778115,0.17620485,0.29
48,5,1.2,8,0,2000,2000,1447,1900.8569916387123,0.14251924,0.29
48,5,1.2,8,0,2000,2000,1280,1899.650389774131,0.20199662,0.29
48,5,1.2,8,0,2000,2000,1300,1894.290857021241,0.19787273,0.29
48,5,1.2,8,0,2000,2000,1512,1904.977208193115,0.14553383,0.29
48,5,1.2,8,0,2000,2000,1318,1917.1098542561617,0.20502673,0.29
48,5,1.2,8,0,2000,2000,1775,1928.6959394626472,0.09244905,0.29
