patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1949,1949,1507,232.69421784749994,0.034851555,0.27,92.73225625,0.164375,0.0
48,5,1.2,8,0,1948,1948,1486,232.48517696264648,0.033971258,0.27,92.730671875,0.16875,0.0
48,5,1.2,8,0,1944,1944,1518,232.27999928808595,0.035935227,0.27,92.7338625,0.16062500000000002,0.0
48,5,1.2,8,0,1942,1942,1515,231.86488974022464,0.03455901,0.27,92.7338375,0.16062500000000002,0.0
48,5,1.2,8,0,1943,1943,1487,232.40477427749997,0.033604443,0.27,92.7342625,0.16312500000000002,0.0
48,5,1.2,8,0,1952,1952,1495,232.53656808984374,0.036580585,0.27,92.733028125,0.165625,0.0
48,5,1.2,8,0,1940,1940,1485,232.73685474937497,0.034339357,0.27,92.783915625,0.1696875,0.0
48,5,1.2,8,0,1945,1945,1496,232.39882061639648,0.034929734,0.27,92.73039375,0.1640625,0.0
48,5,1.2,8,0,1949,1949,1524,232.5288899799902,0.037155498,0.27,92.778175,0.173125,0.0
48,5,1.2,8,0,1950,1950,1533,232.61254308984377,0.034210905,0.27,92.72789375,0.1678125,0.0
48,5,1.2,8,0,1946,1946,1528,232.8719491673438,0.03432879,0.27,92.727825,0.1665625,0.0
48,5,1.2,8,0,1943,1943,1508,232.98199293999994,0.036272816,0.27,92.77259375,0.16875,0.0
48,5,1.2,8,0,1946,1946,1517,232.12859263433594,0.03417028,0.27,92.71750625,0.16593750000000002,0.0
48,5,1.2,8,0,1950,1950,1503,232.63174635389652,0.03593733,0.27,92.715975,0.16,0.0
48,5,1.2,8,0,1947,1947,1500,232.7596743296485,0.03496979,0.27,92.76408125,0.16593750000000002,0.0
48,5,1.2,8,0,1944,1944,1508,232.45631450272464,0.035989925,0.27,92.714003125,0.16593750000000002,0.0
48,5,1.2,8,0,1950,1950,1506,232.39961787109374,0.035894565,0.27,92.715428125,0.16375,0.0
48,5,1.2,8,0,1945,1945,1503,232.58923630371095,0.03402521,0.27,92.70981875,0.161875,0.0
48,5,1.2,8,0,1952,1952,1519,232.41159956933586,0.036093533,0.27,92.709946875,0.165,0.0
48,5,1.2,8,0,1944,1944,1499,232.12004944683594,0.034571495,0.27,92.710015625,0.16312500000000002,0.0
48,5,1.2,8,0,1939,1939,1490,232.6262460706152,0.035862524,0.27,92.7081125,0.1628125,0.0
48,5,1.2,8,0,1944,1944,1525,232.30490538277343,0.03586692,0.27,92.7025625,0.1565625,0.0
48,5,1.2,8,0,1940,1940,1523,232.33264589366215,0.035564158,0.27,92.7033375,0.1603125,0.0
48,5,1.2,8,0,1945,1945,1545,232.46363972842772,0.0328199,0.27,92.69884375,0.1640625,0.0
