patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1944,1944,1667,1279.6391289023434,0.03105032,0.31,78.944684375,11.4209375,0.01375
48,5,1.2,8,0,1941,1941,1793,1285.4446064390524,0.029003918,0.31,78.978696875,11.4228125,0.0115625
48,5,1.2,8,0,1944,1944,1769,1285.469845456631,0.02920409,0.31,78.979596875,11.4340625,0.0153125
48,5,1.2,8,0,1938,1938,1754,1285.9884309194435,0.028804367,0.31,78.9680375,11.41875,0.01125
48,5,1.2,8,0,1937,1937,1819,1287.7025256261618,0.028062377,0.31,78.99924375,11.4265625,0.011875
48,5,1.2,8,0,1941,1941,1809,1289.6042131702739,0.028340362,0.31,79.022353125,11.426875,0.010624999999999999
48,5,1.2,8,0,1940,1940,1788,1291.478140110928,0.02789475,0.31,79.024546875,11.4265625,0.01125
48,5,1.2,8,0,1944,1944,1771,1290.3865130798347,0.028157447,0.31,79.013709375,11.4246875,0.01
48,5,1.2,8,0,1938,1938,1823,1287.899641649375,0.027856644,0.31,79.0302,11.43,0.010937500000000001
48,5,1.2,8,0,1941,1941,1682,1288.2870220505365,0.030151691,0.31,79.039196875,11.4328125,0.01
48,5,1.2,8,0,1942,1942,1683,1283.1805661652734,0.030214868,0.31,79.005121875,11.426875,0.010624999999999999
48,5,1.2,8,0,1939,1939,1823,1288.7863187453029,0.028344994,0.31,79.0428875,11.434999999999999,0.009375
48,5,1.2,8,0,1945,1945,1794,1286.7929101815528,0.027515508,0.31,79.045228125,11.438125000000001,0.0115625
48,5,1.2,8,0,1939,1939,1759,1285.987901174844,0.02832822,0.31,79.01120625,11.444374999999999,0.0103125
48,5,1.2,8,0,1943,1943,1814,1290.1838186058983,0.02797207,0.31,79.0055875,11.4309375,0.0115625
48,5,1.2,8,0,1940,1940,1818,1290.5045668199607,0.029240564,0.31,79.00405625,11.43,0.0125
48,5,1.2,8,0,1945,1945,1779,1290.1944862762114,0.029395731,0.31,78.99685,11.4315625,0.0090625
48,5,1.2,8,0,1943,1943,1761,1289.627665491836,0.027728733,0.31,78.985590625,11.4284375,0.0115625
48,5,1.2,8,0,1943,1943,1816,1289.3525320388185,0.027615637,0.31,78.998353125,11.4275,0.012187499999999999
48,5,1.2,8,0,1943,1943,1718,1288.0761378356929,0.030061211,0.31,78.999815625,11.4353125,0.01125
48,5,1.2,8,0,1940,1940,1692,1284.5995731335054,0.03147175,0.31,78.954225,11.4284375,0.010624999999999999
48,5,1.2,8,0,1945,1945,1808,1286.0518672790529,0.027452642,0.31,78.9886625,11.440937499999999,0.010937500000000001
48,5,1.2,8,0,1947,1947,1764,1285.933945621094,0.028580973,0.31,78.98585,11.44125,0.010937500000000001
48,5,1.2,8,0,1940,1940,1784,1284.062023093506,0.02723617,0.31,78.9565375,11.4278125,0.01375
48,5,1.2,8,0,1944,1944,1813,1284.4944609296488,0.0263591,0.31,78.968025,11.440937499999999,0.012812500000000001
48,5,1.2,8,0,1947,1947,1813,1286.2024933743749,0.027406964,0.31,78.970459375,11.43375,0.011875
48,5,1.2,8,0,1944,1944,1774,1287.220883294375,0.027789205,0.31,78.9730875,11.4375,0.010937500000000001
48,5,1.2,8,0,1943,1943,1789,1285.5762151483984,0.027757429,0.31,78.96486875,11.4284375,0.0159375
48,5,1.2,8,0,1942,1942,1803,1286.365486944336,0.026257208,0.31,78.969728125,11.4275,0.012187499999999999
48,5,1.2,8,0,1947,1947,1705,1285.1338581632708,0.028570017,0.31,78.979353125,11.4371875,0.014062499999999999
48,5,1.2,8,0,1948,1948,1681,1281.3373594130858,0.030178754,0.31,78.93654375,11.42875,0.013125
48,5,1.2,8,0,1939,1939,1806,1284.0044835537108,0.026896222,0.31,78.97421875,11.42875,0.0125
48,5,1.2,8,0,1944,1944,1771,1282.0140381983497,0.027859585,0.31,78.966228125,11.43375,0.011875
48,5,1.2,8,0,1944,1944,1754,1280.4014936905373,0.028032318,0.31,78.93713125,11.4290625,0.014687500000000001
48,5,1.2,8,0,1939,1939,1805,1279.5815193327735,0.02892163,0.31,78.954096875,11.4284375,0.0153125
48,5,1.2,8,0,1941,1941,1820,1279.9815593637109,0.027052308,0.31,78.965815625,11.4315625,0.0153125
48,5,1.2,8,0,1949,1949,1793,1281.2112488725684,0.029150132,0.31,78.9611625,11.434375,0.010624999999999999
48,5,1.2,8,0,1943,1943,1783,1280.1364427126464,0.027911074,0.31,78.94581875,11.43125,0.0115625
48,5,1.2,8,0,1943,1943,1817,1281.8043683163964,0.027315464,0.31,78.961775,11.430625,0.01375
48,5,1.2,8,0,1946,1946,1691,1284.8080526310937,0.031486165,0.31,78.9708,11.426875,0.01375
48,5,1.2,8,0,1940,1940,1686,1282.1014118402736,0.031324312,0.31,78.938909375,11.42,0.010624999999999999
48,5,1.2,8,0,1942,1942,1785,1289.3834984135844,0.028215354,0.31,78.989184375,11.43,0.0134375
48,5,1.2,8,0,1945,1945,1771,1293.7388822097564,0.027507372,0.31,78.99593125,11.43,0.010937500000000001
48,5,1.2,8,0,1939,1939,1769,1290.8868238943749,0.027899029,0.31,78.973271875,11.421249999999999,0.010624999999999999
48,5,1.2,8,0,1942,1942,1814,1289.6773649843753,0.026739227,0.31,78.980584375,11.4221875,0.0125
48,5,1.2,8,0,1943,1943,1801,1286.9176105983984,0.028950483,0.31,78.965440625,11.4296875,0.0115625
48,5,1.2,8,0,1942,1942,1778,1287.598325285586,0.028999923,0.31,78.963475,11.434999999999999,0.012812500000000001
48,5,1.2,8,0,1941,1941,1771,1286.176529433506,0.02882676,0.31,78.948303125,11.42625,0.01375
48,5,1.2,8,0,1944,1944,1799,1286.6046975382715,0.028038222,0.31,78.985084375,11.4390625,0.012812500000000001
48,5,1.2,8,0,1941,1941,1662,1289.3653267905866,0.0308741,0.31,79.009946875,11.43875,0.014062499999999999
48,5,1.2,8,0,1939,1939,1672,1284.1060164140226,0.030451825,0.31,78.9777375,11.436250000000001,0.01125
48,5,1.2,8,0,1946,1946,1800,1286.75961972335,0.029345917,0.31,79.005871875,11.455625,0.0134375
48,5,1.2,8,0,1942,1942,1757,1283.4803795410053,0.028479343,0.31,78.9965625,11.45875,0.012812500000000001
48,5,1.2,8,0,1937,1937,1755,1285.078711181162,0.028712226,0.31,78.976284375,11.4596875,0.011875
48,5,1.2,8,0,1939,1939,1797,1286.3383097116307,0.026894946,0.31,78.997628125,11.463750000000001,0.012187499999999999
48,5,1.2,8,0,1936,1936,1794,1286.32753899,0.02871356,0.31,78.9852625,11.461875000000001,0.0125
48,5,1.2,8,0,1942,1942,1761,1283.0592791396484,0.028078659,0.31,78.968309375,11.4625,0.012187499999999999
48,5,1.2,8,0,1938,1938,1740,1279.6881186596775,0.035865832,0.31,78.949828125,11.4628125,0.012187499999999999
48,5,1.2,8,0,1942,1942,1696,1277.384784267344,0.029995725,0.31,78.9402875,11.464375,0.012812500000000001
