patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1838,706.2827913860937,0.0282297,0.25
48,5,1.2,8,0,2000,2000,1840,706.7606496909278,0.023837432,0.25
48,5,1.2,8,0,2000,2000,1848,706.4523128088964,0.02488854,0.25
48,5,1.2,8,0,2000,2000,1854,705.9654156215234,0.027708441,0.25
48,5,1.2,8,0,2000,2000,1859,706.6018439743652,0.025340276,0.25
48,5,1.2,8,0,2000,2000,1876,706.0941010315529,0.024336819,0.25
48,5,1.2,8,0,2000,2000,1857,706.4323495505372,0.027440134,0.25
48,5,1.2,8,0,2000,2000,1866,705.6666746444433,0.02672813,0.25
48,5,1.2,8,0,2000,2000,1862,706.8881186462403,0.023176985,0.25
48,5,1.2,8,0,2000,2000,1855,706.8761472980859,0.024893237,0.25
48,5,1.2,8,0,2000,2000,1861,707.3197349798439,0.024464086,0.25
48,5,1.2,8,0,2000,2000,1853,707.3749038280861,0.027240342,0.25
48,5,1.2,8,0,2000,2000,1863,707.4950593271482,0.027746338,0.25
48,5,1.2,8,0,2000,2000,1848,707.4200467824609,0.025612725,0.25
48,5,1.2,8,0,2000,2000,1861,707.7644971523437,0.025838178,0.25
48,5,1.2,8,0,2000,2000,1853,707.0254598998434,0.026527615,0.25
48,5,1.2,8,0,2000,2000,1850,707.6675597360936,0.025134727,0.25
48,5,1.2,8,0,2000,2000,1863,707.9786340310937,0.026351882,0.25
48,5,1.2,8,0,2000,2000,1842,708.8447534860939,0.028846726,0.25
48,5,1.2,8,0,2000,2000,1842,709.2282539808984,0.049647044,0.25
48,5,1.2,8,0,2000,2000,1831,711.0658223199124,0.07034924,0.25
48,5,1.2,8,0,2000,2000,1804,714.3080045487402,0.13677306,0.25
48,5,1.2,8,0,2000,2000,1774,717.2498152536618,0.31813085,0.25
48,5,1.2,8,0,2000,2000,1752,719.8871072995995,0.47402295,0.25
48,5,1.2,8,0,2000,2000,1737,723.6382184048439,0.5497136,0.25
48,5,1.2,8,0,2000,2000,1674,729.112109353428,0.7809882,0.25
48,5,1.2,8,0,2000,2000,1630,729.7720327775002,1.0278362,0.26
48,5,1.2,8,0,2000,2000,1563,723.9469293421485,1.1428671,0.26
48,5,1.2,8,0,2000,2000,1521,707.7157008656154,1.1695933,0.25
48,5,1.2,8,0,2000,2000,1460,699.9643767663185,1.1501387,0.25
48,5,1.2,8,0,2000,2000,1426,691.5337878714745,1.1216788,0.25
48,5,1.2,8,0,2000,2000,1393,680.7316977687109,1.0839024,0.25
48,5,1.2,8,0,2000,2000,1386,675.6124567647558,1.0289114,0.25
48,5,1.2,8,0,2000,2000,1401,670.3320478058986,0.93619275,0.25
48,5,1.2,8,0,2000,2000,1469,663.2410285275001,0.85405725,0.25
48,5,1.2,8,0,2000,2000,1519,655.3982667015235,0.75830203,0.25
48,5,1.2,8,0,2000,2000,1533,647.7929386911622,0.7314388,0.25
48,5,1.2,8,0,2000,2000,1542,644.3972981943361,0.70588666,0.25
48,5,1.2,8,0,2000,2000,1589,645.797225474209,0.6034307,0.25
48,5,1.2,8,0,2000,2000,1616,649.6190694238187,0.5136916,0.25
48,5,1.2,8,0,2000,2000,1663,658.6261128298337,0.46247047,0.25
48,5,1.2,8,0,2000,2000,1704,664.6726694433498,0.39302343,0.25
48,5,1.2,8,0,2000,2000,1731,669.615391719375,0.35229236,0.25
48,5,1.2,8,0,2000,2000,1758,679.672928338711,0.31758383,0.25
48,5,1.2,8,0,2000,2000,1766,686.7679195967872,0.3005837,0.25
48,5,1.2,8,0,2000,2000,1758,694.7765850585937,0.28744984,0.25
48,5,1.2,8,0,2000,2000,1769,701.7920907527732,0.2506984,0.25
48,5,1.2,8,0,2000,2000,1770,707.187762638584,0.24806055,0.25
48,5,1.2,8,0,2000,2000,1774,709.505662282959,0.25512886,0.25
48,5,1.2,8,0,2000,2000,1741,715.069062787881,0.25591698,0.25
48,5,1.2,8,0,2000,2000,1752,719.9488940588964,0.25660264,0.25
48,5,1.2,8,0,2000,2000,1728,724.2132004128027,0.22749864,0.25
48,5,1.2,8,0,2000,2000,1745,728.4462117613185,0.22342932,0.25
48,5,1.2,8,0,2000,2000,1743,731.9299722774999,0.19251905,0.25
48,5,1.2,8,0,2000,2000,1735,736.61437801,0.20564944,0.25
48,5,1.2,8,0,2000,2000,1710,737.9924973185938,0.20347342,0.25
48,5,1.2,8,0,2000,2000,1709,741.7263837218359,0.18796101,0.25
48,5,1.2,8,0,2000,2000,1682,744.5801810100684,0.21651307,0.25
48,5,1.2,8,0,2000,2000,1606,747.654038094912,0.21689373,0.25
48,5,1.2,8,0,2000,2000,1724,747.990251085459,0.18151845,0.25
48,5,1.2,8,0,2000,2000,1627,747.3676066421776,0.2161965,0.25
48,5,1.2,8,0,2000,2000,1690,747.8088495505369,0.17254405,0.25
48,5,1.2,8,0,2000,2000,1691,748.3024000295998,0.15903704,0.25
48,5,1.2,8,0,2000,2000,1510,754.7953776400001,0.21451516,0.25
48,5,1.2,8,0,2000,2000,1591,754.6168054774998,0.18050624,0.25
48,5,1.2,8,0,2000,2000,1361,757.0454936873437,0.26739684,0.26
48,5,1.2,8,0,2000,2000,1429,764.8767172646486,0.24417266,0.26
48,5,1.2,8,0,2000,2000,1288,768.9057702324122,0.29571834,0.26
48,5,1.2,8,0,2000,2000,1257,776.7340102673437,0.3161331,0.26
48,5,1.2,8,0,2000,2000,1211,778.1329266275001,0.32548273,0.26
48,5,1.2,8,0,2000,2000,1231,781.2240828513186,0.3358441,0.26
48,5,1.2,8,0,2000,2000,1221,785.8145732608986,0.3319314,0.26
48,5,1.2,8,0,2000,2000,1269,780.359634282461,0.3074348,0.26
48,5,1.2,8,0,2000,2000,1278,783.5844247600685,0.31510726,0.26
48,5,1.2,8,0,2000,2000,1374,787.8793983262109,0.27840263,0.26
48,5,1.2,8,0,2000,2000,1361,784.536546547959,0.2844536,0.26
48,5,1.2,8,0,2000,2000,1373,786.441268178086,0.2777172,0.26
48,5,1.2,8,0,2000,2000,1391,783.5581124993753,0.29083222,0.26
48,5,1.2,8,0,2000,2000,1326,786.8660993599997,0.3136349,0.26
48,5,1.2,8,0,2000,2000,1331,784.4849812132712,0.3317958,0.26
48,5,1.2,8,0,2000,2000,1316,785.8898912298437,0.34977508,0.26
48,5,1.2,8,0,2000,2000,1280,785.2771952324123,0.3644629,0.26
48,5,1.2,8,0,2000,2000,1232,785.548762829834,0.386738,0.26
48,5,1.2,8,0,2000,2000,1216,785.5808216026462,0.40129197,0.26
48,5,1.2,8,0,2000,2000,1149,785.1680103762111,0.42219585,0.26
48,5,1.2,8,0,2000,2000,1103,783.0939938669432,0.44213316,0.26
48,5,1.2,8,0,2000,2000,1149,781.825906109375,0.46315303,0.26
48,5,1.2,8,0,2000,2000,1124,784.4626590310938,0.494804,0.26
48,5,1.2,8,0,2000,2000,1160,784.9354309177246,0.49779713,0.26
48,5,1.2,8,0,2000,2000,1129,780.891688894131,0.54636407,0.26
48,5,1.2,8,0,2000,2000,1142,781.3846953505861,0.5419549,0.26
48,5,1.2,8,0,2000,2000,1037,779.8285774999122,0.5887729,0.26
48,5,1.2,8,0,2000,2000,1014,782.7204437468362,0.5974936,0.26
48,5,1.2,8,0,2000,2000,1071,778.3720905993752,0.60987234,0.26
48,5,1.2,8,0,2000,2000,1036,780.6649120855863,0.6351398,0.26
48,5,1.2,8,0,2000,2000,971,781.1962717824609,0.6531451,0.26
48,5,1.2,8,0,2000,2000,1017,784.9779882644433,0.6789127,0.26
48,5,1.2,8,0,2000,2000,977,785.4089380498436,0.74752545,0.26
48,5,1.2,8,0,2000,2000,802,779.8013151819434,0.79409194,0.26
48,5,1.2,8,0,2000,2000,855,776.4746946605369,0.8461747,0.26
48,5,1.2,8,0,2000,2000,905,777.3475384874123,0.8209287,0.26
48,5,1.2,8,0,2000,2000,915,787.8985250681153,0.8470765,0.26
48,5,1.2,8,0,2000,2000,845,776.6831827674903,0.8496577,0.26
48,5,1.2,8,0,2000,2000,857,777.4454934870996,0.8778245,0.26
48,5,1.2,8,0,2000,2000,907,778.9627164256935,0.8964688,0.25
48,5,1.2,8,0,2000,2000,804,787.2130964151468,0.94066083,0.25
48,5,1.2,8,0,2000,2000,884,795.1521360449607,0.91423,0.25
48,5,1.2,8,0,2000,2000,878,803.6065748193749,0.92482257,0.25
48,5,1.2,8,0,2000,2000,808,803.2540931590233,0.9940048,0.25
48,5,1.2,8,0,2000,2000,891,801.6125541623439,1.0691364,0.25
48,5,1.2,8,0,2000,2000,853,805.4972219762109,1.1009312,0.25
48,5,1.2,8,0,2000,2000,749,810.9722569335937,1.1494521,0.25
48,5,1.2,8,0,2000,2000,923,806.8151161599122,1.1144005,0.25
48,5,1.2,8,0,2000,2000,894,818.9374711280859,1.1366606,0.25
48,5,1.2,8,0,2000,2000,793,815.7420750983985,1.2225533,0.25
48,5,1.2,8,0,2000,2000,826,823.4629985493749,1.1650212,0.25
48,5,1.2,8,0,2000,2000,769,828.3004104843751,1.2886798,0.26
48,5,1.2,8,0,2000,2000,855,832.4424700873433,1.1502686,0.25
48,5,1.2,8,0,2000,2000,866,837.3863027687402,1.1463017,0.26
48,5,1.2,8,0,2000,2000,802,835.4489324375,1.2331575,0.25
48,5,1.2,8,0,2000,2000,740,832.6773527343751,1.2971662,0.26
48,5,1.2,8,0,2000,2000,786,821.5185921316311,1.4713353,0.25
48,5,1.2,8,0,2000,2000,764,819.860410088584,1.9357338,0.25
48,5,1.2,8,0,2000,2000,782,797.1814495012109,3.664719,0.25
48,5,1.2,8,0,2000,2000,773,787.4797343630372,3.8575559,0.24
48,5,1.2,8,0,2000,2000,740,778.0411946968651,3.71356,0.21
48,5,1.2,8,0,2000,2000,709,781.1111394206152,3.3829997,0.19
48,5,1.2,8,0,2000,2000,744,818.2318442866306,3.9060621,0.2
48,5,1.2,8,0,2000,2000,640,827.494148444961,3.9256618,0.21
48,5,1.2,8,0,2000,2000,709,827.9318001652247,3.2732456,0.2
48,5,1.2,8,0,2000,2000,655,846.4429609350685,2.1200786,0.19
48,5,1.2,8,0,2000,2000,745,853.5450519663964,1.9468049,0.19
48,5,1.2,8,0,2000,2000,738,865.2444354905863,1.7200866,0.19
48,5,1.2,8,0,2000,2000,640,864.3757809015233,1.8942101,0.19
48,5,1.2,8,0,2000,2000,690,853.5342728298441,1.6185584,0.19
48,5,1.2,8,0,2000,2000,749,848.7384595943751,1.616089,0.19
48,5,1.2,8,0,2000,2000,742,848.6153645807717,1.5843341,0.19
48,5,1.2,8,0,2000,2000,589,855.1855643663963,1.605921,0.19
48,5,1.2,8,0,2000,2000,730,849.9755989938961,1.5954427,0.19
48,5,1.2,8,0,2000,2000,709,857.1967988974998,1.5958806,0.19
48,5,1.2,8,0,2000,2000,641,851.9297596378027,1.5843755,0.19
48,5,1.2,8,0,2000,2000,685,845.1518604515232,1.6031328,0.18
48,5,1.2,8,0,2000,2000,733,855.1067167135839,1.584647,0.19
48,5,1.2,8,0,2000,2000,693,838.9072261032713,1.6547543,0.18
48,5,1.2,8,0,2000,2000,643,837.5771449131933,2.0181282,0.18
48,5,1.2,8,0,2000,2000,725,823.7099809121482,2.168446,0.18
48,5,1.2,8,0,2000,2000,602,810.3909901651465,2.341281,0.19
48,5,1.2,8,0,2000,2000,748,795.4059514105373,2.041661,0.18
48,5,1.2,8,0,2000,2000,604,777.9257102048339,2.1133637,0.18
48,5,1.2,8,0,2000,2000,756,763.4794208433987,1.8716527,0.18
48,5,1.2,8,0,2000,2000,783,749.998282331162,1.7410063,0.18
48,5,1.2,8,0,2000,2000,765,735.7986967868651,1.5523221,0.18
48,5,1.2,8,0,2000,2000,753,722.6583664755857,1.8295139,0.18
48,5,1.2,8,0,2000,2000,811,713.8278193474999,2.5376198,0.18
48,5,1.2,8,0,2000,2000,820,706.1151936810937,2.1197374,0.18
48,5,1.2,8,0,2000,2000,841,687.2760208307715,2.269312,0.18
48,5,1.2,8,0,2000,2000,831,678.2120276399997,1.719022,0.17
48,5,1.2,8,0,2000,2000,796,659.1923922065527,1.5017292,0.17
48,5,1.2,8,0,2000,2000,852,645.6868824324118,1.5195444,0.17
48,5,1.2,8,0,2000,2000,772,628.7993413552244,1.6154875,0.17
48,5,1.2,8,0,2000,2000,821,620.2463786071778,1.7138712,0.17
48,5,1.2,8,0,2000,2000,814,606.4462565895996,2.101688,0.17
48,5,1.2,8,0,2000,2000,816,590.5666001675683,2.8402548,0.18
48,5,1.2,8,0,2000,2000,785,574.2689767953027,1.9631371,0.17
48,5,1.2,8,0,2000,2000,783,552.5839611530859,1.8546287,0.17
48,5,1.2,8,0,2000,2000,798,545.0099384401465,1.931291,0.17
48,5,1.2,8,0,2000,2000,790,534.636489849375,1.7715842,0.17
48,5,1.2,8,0,2000,2000,831,522.0959280700682,1.6906974,0.17
48,5,1.2,8,0,2000,2000,799,517.4735453513184,1.669656,0.17
48,5,1.2,8,0,2000,2000,732,512.7513353793357,1.7044744,0.17
48,5,1.2,8,0,2000,2000,779,506.6000655670995,2.1266015,0.17
48,5,1.2,8,0,2000,2000,776,508.1141586038965,1.7364508,0.18
48,5,1.2,8,0,2000,2000,705,501.59332764803713,1.9689232,0.18
48,5,1.2,8,0,2000,2000,712,497.71002461937496,2.0065885,0.18
48,5,1.2,8,0,2000,2000,732,487.31175176631825,1.8990527,0.18
48,5,1.2,8,0,2000,2000,716,470.99667478027334,1.7085059,0.18
48,5,1.2,8,0,2000,2000,653,475.41165124295895,3.518299,0.18
48,5,1.2,8,0,2000,2000,674,466.6736112483984,1.7728051,0.17
48,5,1.2,8,0,2000,2000,722,464.15258298339853,1.73191,0.17
48,5,1.2,8,0,2000,2000,760,470.60756518749025,1.8925074,0.18
48,5,1.2,8,0,2000,2000,666,455.5874798745214,1.4697385,0.17
48,5,1.2,8,0,2000,2000,627,461.7239382128029,1.7273227,0.18
48,5,1.2,8,0,2000,2000,696,456.6070281143652,2.4887972,0.18
48,5,1.2,8,0,2000,2000,648,464.1773561501464,2.5648155,0.19
48,5,1.2,8,0,2000,2000,680,476.8428227937403,3.4792547,0.2
48,5,1.2,8,0,2000,2000,715,468.4113989733985,3.9185894,0.21
48,5,1.2,8,0,2000,2000,588,449.15209109999006,2.4816062,0.22
48,5,1.2,8,0,2000,2000,695,440.0183353206153,1.4544963,0.23
48,5,1.2,8,0,2000,2000,654,432.60991220678704,1.3956684,0.23
48,5,1.2,8,0,2000,2000,716,426.6506682999121,1.2584058,0.23
48,5,1.2,8,0,2000,2000,630,403.36818695609384,1.2100747,0.22
48,5,1.2,8,0,2000,2000,666,392.4951303115235,1.192508,0.22
48,5,1.2,8,0,2000,2000,613,380.7264453046777,1.2088443,0.22
48,5,1.2,8,0,2000,2000,635,370.711372088711,1.2079238,0.21
48,5,1.2,8,0,2000,2000,549,358.3287903735938,1.216919,0.21
48,5,1.2,8,0,2000,2000,573,346.6991340620996,1.2819238,0.21
48,5,1.2,8,0,2000,2000,636,336.4849675042871,1.9991214,0.2
48,5,1.2,8,0,2000,2000,634,324.6292427870215,6.390116,0.19
48,5,1.2,8,0,2000,2000,564,296.6804743798439,4.415989,0.17
48,5,1.2,8,0,2000,2000,534,296.45129992089846,1.6898166,0.18
48,5,1.2,8,0,2000,2000,586,303.18039062109375,1.4492389,0.19
48,5,1.2,8,0,2000,2000,605,300.33838690464853,1.5352253,0.19
48,5,1.2,8,0,2000,2000,554,291.7649830796777,1.8269722,0.18
48,5,1.2,8,0,2000,2000,586,287.57755548437495,1.6306673,0.18
48,5,1.2,8,0,2000,2000,577,273.50262498999996,1.6572295,0.18
48,5,1.2,8,0,2000,2000,560,272.08324100952154,1.7638842,0.17
48,5,1.2,8,0,2000,2000,595,259.6128496621485,1.8645595,0.17
48,5,1.2,8,0,2000,2000,565,253.83089231944336,1.8595356,0.16
48,5,1.2,8,0,2000,2000,573,254.978753072959,1.851132,0.16
48,5,1.2,8,0,2000,2000,646,256.2384717490234,1.9965478,0.16
48,5,1.2,8,0,2000,2000,630,250.6779749990234,1.9525754,0.16
48,5,1.2,8,0,2000,2000,658,249.67168070428713,2.0366828,0.16
48,5,1.2,8,0,2000,2000,708,253.11092393530276,1.9564785,0.16
48,5,1.2,8,0,2000,2000,736,249.3263881835937,2.1679194,0.16
48,5,1.2,8,0,2000,2000,716,245.64187378038088,4.250536,0.16
