patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1841,1841,1564,299.989634116709,0.03434361,0.2,52.1548875,1.7793750000000002,0.0
48,5,1.2,8,0,1851,1851,1540,300.57411846937515,0.035091694,0.2,52.155015625,1.7793750000000002,0.0
48,5,1.2,8,0,1848,1848,1557,299.4263868140235,0.034882024,0.2,52.157165625,1.775,0.0
48,5,1.2,8,0,1847,1847,1576,298.56184282491216,0.033743855,0.2,52.149296875,1.7774999999999999,0.0
48,5,1.2,8,0,1860,1860,1547,298.3195267333985,0.036437996,0.2,52.15290625,1.7815625000000002,0.0
48,5,1.2,8,0,1852,1852,1561,297.4512826267089,0.03440883,0.2,52.149371875,1.7784375000000001,0.0
48,5,1.2,8,0,1853,1853,1544,297.2436010553808,0.033821538,0.2,52.15154375,1.7834375,0.0
48,5,1.2,8,0,1851,1851,1539,295.74152078428716,0.035665307,0.2,52.150365625,1.7781249999999997,0.0
48,5,1.2,8,0,1853,1853,1567,294.99748375077155,0.03496295,0.2,52.1644125,1.7771875,0.0
48,5,1.2,8,0,1851,1851,1561,294.31195534437495,0.03431931,0.2,52.166996875,1.7828125,0.0
48,5,1.2,8,0,1857,1857,1547,294.3458073413965,0.034505438,0.2,52.161734375,1.7843749999999998,0.0
48,5,1.2,8,0,1850,1850,1546,294.20606747183587,0.03310081,0.2,52.171325,1.7878125000000002,0.0
48,5,1.2,8,0,1858,1858,1581,293.926735663086,0.0329609,0.2,52.18189375,1.7921875,0.0
48,5,1.2,8,0,1860,1860,1563,293.34764580902345,0.032504935,0.2,52.184596875,1.7931249999999999,0.0
48,5,1.2,8,0,1847,1847,1569,294.292087441836,0.032842457,0.2,52.19468125,1.79875,0.0
48,5,1.2,8,0,1850,1850,1549,294.4406827420998,0.03303129,0.2,52.19800625,1.798125,0.0
48,5,1.2,8,0,1847,1847,1561,295.26953932139645,0.032738347,0.2,52.203034375,1.79875,0.0
48,5,1.2,8,0,1840,1840,1560,295.25153699749995,0.03249129,0.2,52.207603125,1.8028125,0.0
48,5,1.2,8,0,1847,1847,1553,295.16000760609376,0.033409636,0.2,52.215059375,1.8031249999999999,0.0
48,5,1.2,8,0,1848,1848,1547,294.86267625772473,0.03246993,0.2,52.233609375,1.8084375,0.0
48,5,1.2,8,0,1854,1854,1562,294.6426892858984,0.034330454,0.2,52.232346875,1.8071875000000002,0.0
48,5,1.2,8,0,1850,1850,1564,294.5362967946777,0.032759126,0.2,52.243884375,1.8087499999999999,0.0
48,5,1.2,8,0,1853,1853,1561,294.94991594053715,0.032762412,0.2,52.24929375,1.8146875,0.0
48,5,1.2,8,0,1849,1849,1533,295.2182106315528,0.0428585,0.2,52.251340625,1.813125,0.0
48,5,1.2,8,0,1845,1845,1501,295.69458482484373,0.053141713,0.2,52.262384375,1.8156249999999998,0.0
48,5,1.2,8,0,1845,1845,1295,296.0655914808985,0.10556013,0.2,52.282484375,1.825,0.0
48,5,1.2,8,0,1841,1841,1341,295.6584570652735,0.09118178,0.2,52.3187,1.8318750000000001,0.0
48,5,1.2,8,0,1843,1843,1260,295.46792122183587,0.12765668,0.2,52.3503,1.8350000000000002,0.0
48,5,1.2,8,0,1851,1851,1205,296.2503645935059,0.13761522,0.2,52.407821875,1.8446875,0.0
48,5,1.2,8,0,1855,1855,1249,298.388368553086,0.13527201,0.2,52.459134375,1.8640625000000002,0.0
48,5,1.2,8,0,1849,1849,1171,301.5271905640527,0.16044545,0.2,52.523278125,1.8878125,0.0
48,5,1.2,8,0,1832,1832,1332,303.765618419375,0.10830438,0.2,52.581159375,1.8987500000000002,0.0
48,5,1.2,8,0,1854,1854,1324,303.776808844834,0.11332971,0.2,52.62049375,1.9040624999999998,0.0
48,5,1.2,8,0,1857,1857,1425,305.0823397519434,0.09646834,0.2,52.66400625,1.915625,0.0
48,5,1.2,8,0,1862,1862,1497,306.669286449375,0.079639055,0.2,52.696709375,1.9293749999999998,0.0
48,5,1.2,8,0,1870,1870,1506,306.6035121621483,0.083487846,0.2,52.698853125,1.9300000000000002,0.0
48,5,1.2,8,0,1863,1863,1441,306.1489342976465,0.10498855,0.2,52.705390625,1.9271875,0.0
48,5,1.2,8,0,1868,1868,1451,306.33081811,0.10339637,0.2,52.67490625,1.913125,0.0
48,5,1.2,8,0,1866,1866,1462,307.0405987281152,0.10179368,0.2,52.6684875,1.9090625,0.0
48,5,1.2,8,0,1861,1861,1408,308.0991213161621,0.113536075,0.2,52.644215625,1.9075000000000002,0.0
48,5,1.2,8,0,1862,1862,1434,307.4768015273438,0.11016503,0.2,52.6187375,1.8996875,0.0
48,5,1.2,8,0,1873,1873,1437,307.7812624418359,0.11405635,0.2,52.61640625,1.9015625,0.0
48,5,1.2,8,0,1862,1862,1431,306.75246683959966,0.119710825,0.2,52.598375,1.9034375,0.0
48,5,1.2,8,0,1852,1852,1419,306.55453280249026,0.12359531,0.2,52.591884375,1.903125,0.0
48,5,1.2,8,0,1861,1861,1440,306.16513662777356,0.12916514,0.2,52.58901875,1.905,0.0
48,5,1.2,8,0,1867,1867,1407,305.72982179437497,0.14076675,0.2,52.5848375,1.9025,0.0
48,5,1.2,8,0,1872,1872,1426,307.6379038729589,0.13919483,0.2,52.584903125,1.9059375,0.0
48,5,1.2,8,0,1861,1861,1399,307.32275596937495,0.1409427,0.2,52.565021875,1.905,0.0
48,5,1.2,8,0,1859,1859,1377,306.18513516577144,0.15050483,0.2,52.562496875,1.9078125000000001,0.0
48,5,1.2,8,0,1844,1844,1370,306.74504838077166,0.15235566,0.2,52.535209375,1.9046875,0.0
48,5,1.2,8,0,1864,1864,1356,306.344754703086,0.15592611,0.2,52.518328125,1.9053125,0.0
48,5,1.2,8,0,1849,1849,1372,305.0448968643652,0.16009203,0.2,52.48955625,1.9021875000000001,0.0
48,5,1.2,8,0,1849,1849,1372,305.0448153781152,0.16487929,0.2,52.478846875,1.8996875,0.0
48,5,1.2,8,0,1861,1861,1380,305.3893898971777,0.16805732,0.2,52.456328125,1.8990625,0.0
48,5,1.2,8,0,1859,1859,1332,303.8153128506933,0.17186233,0.2,52.438328125,1.8953125000000002,0.0
48,5,1.2,8,0,1860,1860,1334,303.7081873427734,0.17646295,0.2,52.42450625,1.894375,0.0
48,5,1.2,8,0,1860,1860,1364,303.83407347984365,0.18074328,0.2,52.410728125,1.8925,0.0
48,5,1.2,8,0,1865,1865,1334,304.592829053711,0.18590103,0.2,52.401584375,1.8912499999999999,0.0
48,5,1.2,8,0,1864,1864,1325,304.0150868921486,0.19032358,0.2,52.379290625,1.8884374999999998,0.0
48,5,1.2,8,0,1855,1855,1325,302.2892930640235,0.19486614,0.2,52.363609375,1.8865625000000001,0.0
48,5,1.2,8,0,1865,1865,1304,303.833880584961,0.20245676,0.2,52.355278125,1.88625,0.0
48,5,1.2,8,0,1869,1869,1314,306.14412325933597,0.20116392,0.2,52.336884375,1.881875,0.0
48,5,1.2,8,0,1853,1853,1333,307.90703153999993,0.2076317,0.2,52.3371875,1.8831250000000002,0.0
48,5,1.2,8,0,1861,1861,1304,306.8313024762108,0.20844541,0.2,52.310909375,1.884375,0.0
48,5,1.2,8,0,1862,1862,1300,305.44979462920895,0.21433054,0.2,52.304334375,1.8853125,0.0
48,5,1.2,8,0,1869,1869,1222,306.12009160506835,0.22206853,0.2,52.290421875,1.8828125,0.0
48,5,1.2,8,0,1872,1872,1299,307.6166728896485,0.22523805,0.2,52.267784375,1.8859375,0.0
48,5,1.2,8,0,1855,1855,1282,308.1615329933984,0.22380237,0.2,52.270690625,1.88625,0.0
48,5,1.2,8,0,1856,1856,1285,307.4670623899999,0.22659568,0.2,52.240225,1.8831250000000002,0.0
48,5,1.2,8,0,1855,1855,1252,305.91541342256835,0.23532487,0.2,52.237921875,1.8865625000000001,0.0
48,5,1.2,8,0,1847,1847,1236,307.93562439,0.23959905,0.2,52.234184375,1.8900000000000001,0.0
48,5,1.2,8,0,1869,1869,1294,308.3965604093653,0.24286914,0.2,52.219553125,1.8878125,0.0
48,5,1.2,8,0,1868,1868,1276,309.843451563584,0.24220313,0.2,52.224321875,1.885625,0.0
48,5,1.2,8,0,1869,1869,1265,308.4761707410059,0.24387477,0.2,52.196928125,1.8909375,0.0
48,5,1.2,8,0,1865,1865,1254,307.7083984124902,0.24683172,0.2,52.198046875,1.8934374999999999,0.0
48,5,1.2,8,0,1846,1846,1236,309.19083108109373,0.25178552,0.2,52.17253125,1.8921875000000001,0.0
48,5,1.2,8,0,1851,1851,1218,307.1429177321777,0.2618078,0.2,52.16230625,1.89375,0.0
48,5,1.2,8,0,1840,1840,1262,305.94888292959956,0.25828126,0.2,52.1604375,1.8975,0.0
48,5,1.2,8,0,1854,1854,1225,306.4465805542089,0.25999376,0.2,52.1339375,1.8984375000000002,0.0
48,5,1.2,8,0,1847,1847,1229,308.92198422999024,0.26127762,0.2,52.13565625,1.9065625,0.0
48,5,1.2,8,0,1857,1857,1224,305.92675468750014,0.26471362,0.2,52.095396875,1.9025,0.0
48,5,1.2,8,0,1854,1854,1238,304.4101072387109,0.2722835,0.2,52.090434375,1.8996875,0.0
48,5,1.2,8,0,1852,1852,1250,307.64900847496085,0.27178523,0.2,52.076640625,1.9046875,0.0
48,5,1.2,8,0,1860,1860,1220,307.39570775733387,0.2799734,0.2,52.065628125,1.9037499999999998,0.0
48,5,1.2,8,0,1860,1860,1201,306.0272686046484,0.2828431,0.2,52.0532375,1.9121875,0.0
48,5,1.2,8,0,1854,1854,1215,306.20051679,0.2902622,0.2,52.04194375,1.9193749999999998,0.0
48,5,1.2,8,0,1841,1841,1156,308.220289116709,0.30040112,0.2,52.042484375,1.9190625,0.0
48,5,1.2,8,0,1867,1867,1131,308.49412009444313,0.3015652,0.2,52.04103125,1.9253125,0.0
48,5,1.2,8,0,1862,1862,1158,310.081684054336,0.31220314,0.2,52.04326875,1.934375,0.0
48,5,1.2,8,0,1866,1866,1131,309.1659638610839,0.3244215,0.2,52.0420125,1.9334375000000001,0.0
48,5,1.2,8,0,1862,1862,1157,309.64569986402336,0.32548657,0.2,52.052825,1.9434375,0.0
