patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1812,459.4910050706931,0.02915541,0.18
48,5,1.2,8,0,2000,2000,1841,459.3755785860938,0.028033253,0.18
48,5,1.2,8,0,2000,2000,1841,458.5080133475001,0.0280215,0.18
48,5,1.2,8,0,2000,2000,1830,458.8064606716309,0.028569061,0.18
48,5,1.2,8,0,2000,2000,1842,458.96908672381824,0.028268378,0.18
48,5,1.2,8,0,2000,2000,1834,458.70765246937486,0.027989605,0.18
48,5,1.2,8,0,2000,2000,1828,458.71802866527327,0.028259331,0.18
48,5,1.2,8,0,2000,2000,1837,459.06540887984374,0.027630948,0.18
48,5,1.2,8,0,2000,2000,1831,459.02815903999993,0.028546726,0.18
48,5,1.2,8,0,2000,2000,1835,458.79176893334954,0.027459363,0.18
48,5,1.2,8,0,2000,2000,1835,459.16798801937506,0.026820764,0.18
48,5,1.2,8,0,2000,2000,1838,459.0962947610937,0.026588455,0.18
48,5,1.2,8,0,2000,2000,1822,458.88312762984384,0.026970435,0.18
48,5,1.2,8,0,2000,2000,1819,458.7566915600001,0.028529733,0.18
48,5,1.2,8,0,2000,2000,1828,458.9416710585938,0.028922709,0.18
48,5,1.2,8,0,2000,2000,1841,459.02969393334973,0.02848826,0.18
48,5,1.2,8,0,2000,2000,1822,458.6568762101466,0.027715841,0.18
48,5,1.2,8,0,2000,2000,1830,458.9681128421776,0.027884774,0.18
48,5,1.2,8,0,2000,2000,1825,459.20810398121085,0.028185444,0.18
48,5,1.2,8,0,2000,2000,1817,459.46161464624015,0.027236694,0.18
48,5,1.2,8,0,2000,2000,1839,459.29482089749985,0.027456775,0.18
48,5,1.2,8,0,2000,2000,1817,458.96328047381843,0.027817667,0.18
48,5,1.2,8,0,2000,2000,1838,459.60162682437505,0.028070334,0.18
48,5,1.2,8,0,2000,2000,1817,459.47475291772446,0.027914813,0.18
48,5,1.2,8,0,2000,2000,1833,458.9683222710059,0.027990704,0.18
48,5,1.2,8,0,2000,2000,1824,458.9576105458983,0.027241923,0.18
48,5,1.2,8,0,2000,2000,1823,459.07441992437504,0.028021276,0.18
48,5,1.2,8,0,2000,2000,1840,459.0319933749902,0.028052948,0.18
48,5,1.2,8,0,2000,2000,1842,459.08532097373995,0.026715098,0.18
48,5,1.2,8,0,2000,2000,1824,459.1915553874608,0.027287802,0.18
48,5,1.2,8,0,2000,2000,1828,459.6717472568357,0.028271243,0.18
48,5,1.2,8,0,2000,2000,1829,459.1377804738185,0.027451862,0.18
48,5,1.2,8,0,2000,2000,1832,459.8293599943751,0.028029578,0.18
48,5,1.2,8,0,2000,2000,1829,459.4179181345216,0.027639417,0.18
48,5,1.2,8,0,2000,2000,1822,459.13291811937506,0.027295163,0.18
48,5,1.2,8,0,2000,2000,1816,459.429432424375,0.027897865,0.18
48,5,1.2,8,0,2000,2000,1820,459.41298475683584,0.027768075,0.18
48,5,1.2,8,0,2000,2000,1824,459.04692478491205,0.029468684,0.18
