patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1950,1950,726,1468.007024664024,4.243999,0.22,58.14970625,3.0846875,0.2275
48,5,1.2,8,0,1954,1954,745,1471.2298466155373,6.793556,0.22,58.640846875,2.9015625,0.2284375
48,5,1.2,8,0,1953,1953,755,1476.4259421600002,6.1386185,0.22,59.81430625,2.7178125,0.21250000000000002
48,5,1.2,8,0,1951,1951,682,1473.2774829031155,4.792947,0.23,61.895025,2.609375,0.041562499999999995
48,5,1.2,8,0,1949,1949,640,1474.4237170843655,4.6229863,0.23,62.960134375,2.7275,0.0003125
48,5,1.2,8,0,1937,1937,689,1487.3810556433493,7.7264023,0.22,59.53596875,2.8384375,0.193125
48,5,1.2,8,0,1952,1952,668,1445.1665703675683,5.4629283,0.21,56.098325,2.3987499999999997,0.22437500000000002
48,5,1.2,8,0,1952,1952,727,1459.6218178161623,5.6381316,0.21,56.909353125,2.085,0.2121875
48,5,1.2,8,0,1956,1956,743,1477.8227598443752,3.8192098,0.22,60.88201875,1.8478125,0.010937500000000001
48,5,1.2,8,0,1941,1941,716,1484.8575249343357,3.5267336,0.22,60.367775,1.7765625,0.0684375
48,5,1.2,8,0,1947,1947,652,1466.5073338421482,3.9477148,0.22,59.043446875,1.62125,0.1453125
48,5,1.2,8,0,1949,1949,708,1452.7999827399995,3.5414398,0.21,57.12351875,1.56875,0.16312500000000002
48,5,1.2,8,0,1951,1951,715,1440.3533119375,3.6548948,0.2,55.72185,1.4284375,0.11499999999999999
48,5,1.2,8,0,1952,1952,678,1458.1802273756934,3.6190116,0.2,55.65328125,1.438125,0.1128125
48,5,1.2,8,0,1939,1939,694,1430.4688813108983,3.974091,0.2,55.362471875,1.4175,0.19375
48,5,1.2,8,0,1949,1949,711,1430.6496464206934,4.2028894,0.2,56.159978125,1.456875,0.06874999999999999
48,5,1.2,8,0,1952,1952,735,1421.772686108399,3.8780704,0.2,55.5248,1.42625,0.0890625
48,5,1.2,8,0,1955,1955,724,1404.8012531143659,3.5231082,0.2,55.798540625,1.400625,0.0890625
48,5,1.2,8,0,1951,1951,731,1396.8944553122558,3.4659915,0.2,56.180575,1.40125,0.08312499999999999
48,5,1.2,8,0,1954,1954,769,1367.8118348415526,3.4382043,0.21,57.33523125,1.5140624999999999,0.03875
48,5,1.2,8,0,1954,1954,639,1374.121064265381,3.4390278,0.21,58.0361875,1.776875,0.08375
48,5,1.2,8,0,1949,1949,687,1370.2448976210937,3.6348886,0.21,58.53468125,1.638125,0.10625000000000001
48,5,1.2,8,0,1953,1953,664,1352.3360721062404,3.4242122,0.22,59.51635,1.485,0.0396875
48,5,1.2,8,0,1952,1952,634,1345.336533746094,3.5968206,0.22,59.251471875,1.454375,0.145
48,5,1.2,8,0,1946,1946,692,1352.8946227673443,3.5684547,0.23,60.265590625,1.6859374999999999,0.026562500000000003
48,5,1.2,8,0,1947,1947,722,1361.6265257562109,3.307312,0.22,59.6902,1.7528124999999999,0.11781249999999999
48,5,1.2,8,0,1946,1946,626,1335.7934765193752,3.6732333,0.22,59.4621625,1.5784375,0.07875
48,5,1.2,8,0,1950,1950,654,1337.8140269132714,3.7530308,0.23,60.288584375,2.3209375,0.012812500000000001
48,5,1.2,8,0,1945,1945,637,1334.120913760068,3.496204,0.22,59.706371875,2.4440625000000002,0.027187499999999996
48,5,1.2,8,0,1941,1941,609,1319.5236405512112,3.3736415,0.22,58.75338125,2.0931249999999997,0.0965625
48,5,1.2,8,0,1942,1942,669,1328.1955369498437,3.4635105,0.22,59.718475,2.1153125,0.020625
48,5,1.2,8,0,1949,1949,759,1310.6471240735937,3.3277645,0.23,60.83326875,2.0621875000000003,0.0153125
48,5,1.2,8,0,1949,1949,683,1312.0939053122559,3.368664,0.23,60.26735625,2.719375,0.06874999999999999
48,5,1.2,8,0,1936,1936,732,1324.4662705316312,3.261678,0.24,60.722115625,2.5528125,0.0375
48,5,1.2,8,0,1953,1953,664,1315.3579314152246,3.2260122,0.24,60.791778125,2.65375,0.0625
48,5,1.2,8,0,1948,1948,740,1318.111483871787,3.2076883,0.24,61.092440625,2.6278125,0.0203125
48,5,1.2,8,0,1954,1954,777,1326.3774822692872,3.3404129,0.24,61.093690625,2.765625,0.0278125
48,5,1.2,8,0,1947,1947,713,1335.4134103048436,3.472614,0.23,60.4244625,2.591875,0.014687500000000001
48,5,1.2,8,0,1951,1951,622,1365.1065561237401,3.4838386,0.23,61.172240625,2.5371875,0.013125
48,5,1.2,8,0,1944,1944,658,1400.4035278903812,3.4031706,0.24,62.514453125,3.0253125,0.0096875
48,5,1.2,8,0,1938,1938,729,1408.1318462850681,3.6473765,0.23,62.060625,2.795,0.017812500000000002
48,5,1.2,8,0,1939,1939,736,1433.633642094834,3.9094942,0.23,62.2728875,2.52875,0.0115625
48,5,1.2,8,0,1950,1950,753,1424.4361232340236,4.2791867,0.22,60.48783125,2.2915625,0.05
48,5,1.2,8,0,1945,1945,739,1416.6173224313961,3.5075316,0.22,60.470909375,1.9096875,0.035625000000000004
48,5,1.2,8,0,1944,1944,658,1445.2490667173436,3.5939825,0.22,61.32180625,1.836875,0.046875
48,5,1.2,8,0,1938,1938,652,1477.6537429952734,5.196765,0.23,62.648071875,2.3371875,0.0359375
48,5,1.2,8,0,1945,1945,702,1471.0330624854591,5.482216,0.23,61.95649375,2.3446875,0.04125
48,5,1.2,8,0,1943,1943,727,1455.9727831023338,6.2443776,0.22,60.348946875,2.075,0.073125
48,5,1.2,8,0,1942,1942,722,1480.16997849,4.670428,0.23,61.341365625,2.0478125,0.0821875
48,5,1.2,8,0,1934,1934,689,1456.6006120788966,4.2676253,0.22,61.076965625,1.959375,0.044375000000000005
48,5,1.2,8,0,1930,1930,708,1521.4244850073346,4.041812,0.21,61.124596875,2.004375,0.012812500000000001
48,5,1.2,8,0,1939,1939,631,1502.7580642263185,4.796838,0.22,61.916184375,1.705625,0.008749999999999999
48,5,1.2,8,0,1950,1950,708,1494.023593696523,3.4053645,0.23,63.52638125,2.13375,0.005625
48,5,1.2,8,0,1952,1952,718,1484.7305276940526,5.505623,0.22,62.02320625,2.2709375,0.04
48,5,1.2,8,0,1946,1946,693,1457.6701954310938,4.1258245,0.21,60.8435625,1.7068750000000001,0.024374999999999997
48,5,1.2,8,0,1941,1941,666,1460.1281166655858,4.0154986,0.21,60.591584375,1.5703124999999998,0.014062499999999999
48,5,1.2,8,0,1941,1941,673,1423.7250526168361,5.655216,0.21,59.43694375,1.5146875,0.0071874999999999994
48,5,1.2,8,0,1946,1946,658,1423.439964396836,4.2806077,0.2,57.9706375,1.56125,0.010624999999999999
