patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1575,149.1174263776465,0.035780635,0.24
48,5,1.2,8,0,2000,2000,1609,149.57946787109378,0.035555158,0.24
48,5,1.2,8,0,2000,2000,1614,149.40388270928707,0.034833882,0.24
48,5,1.2,8,0,2000,2000,1594,149.25087017686528,0.03971148,0.24
48,5,1.2,8,0,2000,2000,1604,149.11343999991212,0.03478332,0.24
48,5,1.2,8,0,2000,2000,1622,149.29148954209955,0.034710698,0.24
48,5,1.2,8,0,2000,2000,1643,149.22485226358395,0.03424353,0.24
48,5,1.2,8,0,2000,2000,1605,149.17318014749998,0.034960613,0.24
48,5,1.2,8,0,2000,2000,1612,149.20503298702147,0.03555852,0.24
48,5,1.2,8,0,2000,2000,1603,149.19074584350585,0.037363596,0.24
48,5,1.2,8,0,2000,2000,1585,148.9760592022559,0.03613278,0.24
48,5,1.2,8,0,2000,2000,1622,149.52516825121094,0.034598537,0.24
48,5,1.2,8,0,2000,2000,1631,149.66694016514649,0.035113998,0.24
48,5,1.2,8,0,2000,2000,1588,149.44144013936526,0.034755312,0.24
48,5,1.2,8,0,2000,2000,1595,149.72322435999996,0.03430004,0.24
48,5,1.2,8,0,2000,2000,1599,149.77212764803707,0.03312133,0.24
48,5,1.2,8,0,2000,2000,1617,149.61795481,0.033142712,0.24
48,5,1.2,8,0,2000,2000,1596,149.51149267359375,0.034197763,0.24
48,5,1.2,8,0,2000,2000,1625,149.8154963356934,0.034243234,0.24
48,5,1.2,8,0,2000,2000,1616,150.15105800170898,0.0342549,0.24
48,5,1.2,8,0,2000,2000,1579,149.69289307964846,0.03521095,0.24
48,5,1.2,8,0,2000,2000,1595,149.8423520159278,0.034888636,0.24
48,5,1.2,8,0,2000,2000,1581,150.15531122027346,0.034860145,0.24
48,5,1.2,8,0,2000,2000,1580,149.8792086683496,0.033353955,0.24
48,5,1.2,8,0,2000,2000,1623,150.04657778350588,0.033637617,0.24
48,5,1.2,8,0,2000,2000,1614,150.155531109375,0.032687895,0.24
48,5,1.2,8,0,2000,2000,1627,149.87903742089844,0.034274198,0.24
48,5,1.2,8,0,2000,2000,1607,149.79504031209962,0.03335832,0.24
48,5,1.2,8,0,2000,2000,1618,150.21413410264648,0.034759223,0.24
48,5,1.2,8,0,2000,2000,1606,150.510056024375,0.034192152,0.24
48,5,1.2,8,0,2000,2000,1594,150.22879214027347,0.035566133,0.24
48,5,1.2,8,0,2000,2000,1584,150.40668959350583,0.034260686,0.24
48,5,1.2,8,0,2000,2000,1618,150.24191172339843,0.03531915,0.24
48,5,1.2,8,0,2000,2000,1588,149.99927964027344,0.034066044,0.24
48,5,1.2,8,0,2000,2000,1594,150.3041945014746,0.03347449,0.24
48,5,1.2,8,0,2000,2000,1619,150.59551675484371,0.033975735,0.24
48,5,1.2,8,0,2000,2000,1612,150.33548952905275,0.034027424,0.24
48,5,1.2,8,0,2000,2000,1623,149.9879388277246,0.03348648,0.24
48,5,1.2,8,0,2000,2000,1616,150.61721961561526,0.03497867,0.24
48,5,1.2,8,0,2000,2000,1638,150.2726641472559,0.034107346,0.24
48,5,1.2,8,0,2000,2000,1607,149.86487280589841,0.033469193,0.24
48,5,1.2,8,0,2000,2000,1604,150.29434586874024,0.0332388,0.24
48,5,1.2,8,0,2000,2000,1624,149.9561110449609,0.034061525,0.24
48,5,1.2,8,0,2000,2000,1586,149.84689599022465,0.033345263,0.24
48,5,1.2,8,0,2000,2000,1596,149.81888648746093,0.033439104,0.24
48,5,1.2,8,0,2000,2000,1583,150.0585699411621,0.03442721,0.24
48,5,1.2,8,0,2000,2000,1615,149.84411143652346,0.034239806,0.24
48,5,1.2,8,0,2000,2000,1601,149.608354984375,0.03390514,0.24
48,5,1.2,8,0,2000,2000,1561,150.019261449375,0.032815404,0.24
48,5,1.2,8,0,2000,2000,1618,150.08707397484375,0.034172993,0.24
48,5,1.2,8,0,2000,2000,1584,149.46234934996093,0.033858586,0.24
48,5,1.2,8,0,2000,2000,1578,149.6664393239746,0.032675978,0.24
48,5,1.2,8,0,2000,2000,1629,149.7549077253809,0.032970335,0.24
48,5,1.2,8,0,2000,2000,1595,149.92908926631833,0.03408363,0.24
48,5,1.2,8,0,2000,2000,1594,149.4933268096777,0.03255036,0.24
48,5,1.2,8,0,2000,2000,1600,149.99228598402343,0.034136444,0.24
48,5,1.2,8,0,2000,2000,1591,149.710345817959,0.035317436,0.24
48,5,1.2,8,0,2000,2000,1567,149.8390903190527,0.046419583,0.24
48,5,1.2,8,0,2000,2000,1566,150.03416791734375,0.04118087,0.24
48,5,1.2,8,0,2000,2000,1434,149.8869026902246,0.09535972,0.24
48,5,1.2,8,0,2000,2000,1314,149.78229210839848,0.13785614,0.24
48,5,1.2,8,0,2000,2000,1338,150.7707830453027,0.12823953,0.23
48,5,1.2,8,0,2000,2000,1194,150.9722393942871,0.20379166,0.21
48,5,1.2,8,0,2000,2000,1283,149.922783614834,0.14099576,0.24
48,5,1.2,8,0,2000,2000,1200,150.57082994183594,0.18916336,0.24
48,5,1.2,8,0,2000,2000,1247,151.42117956,0.1608524,0.21
48,5,1.2,8,0,2000,2000,1289,150.5140821901465,0.12883988,0.24
48,5,1.2,8,0,2000,2000,1325,150.29745811639648,0.14900109,0.24
48,5,1.2,8,0,2000,2000,1470,151.9966450440527,0.09205408,0.22
48,5,1.2,8,0,2000,2000,1478,152.08979575272463,0.107386746,0.21
48,5,1.2,8,0,2000,2000,1480,152.41294453983403,0.09129538,0.23
48,5,1.2,8,0,2000,2000,1502,152.86328851342776,0.09919384,0.21
48,5,1.2,8,0,2000,2000,1484,151.94469704589847,0.11171322,0.21
48,5,1.2,8,0,2000,2000,1497,152.58516351342777,0.1155098,0.21
48,5,1.2,8,0,2000,2000,1357,152.935544404209,0.16650225,0.21
48,5,1.2,8,0,2000,2000,1391,153.2892729335937,0.16000222,0.23
48,5,1.2,8,0,2000,2000,1268,152.59960078983391,0.20840505,0.24
48,5,1.2,8,0,2000,2000,1260,152.1564254538184,0.22631939,0.24
48,5,1.2,8,0,2000,2000,1235,153.43345137764646,0.23496574,0.21
48,5,1.2,8,0,2000,2000,1177,153.12283688319334,0.27946407,0.23
48,5,1.2,8,0,2000,2000,1220,152.65039182655272,0.25446802,0.25
48,5,1.2,8,0,2000,2000,1171,152.44252270483398,0.28153405,0.25
48,5,1.2,8,0,2000,2000,1174,153.69689473871094,0.27597997,0.25
48,5,1.2,8,0,2000,2000,1227,153.2984223499903,0.2700579,0.25
48,5,1.2,8,0,2000,2000,1248,153.63025785058593,0.27825096,0.25
48,5,1.2,8,0,2000,2000,1294,154.05760176089845,0.26642475,0.25
48,5,1.2,8,0,2000,2000,1271,154.19389118975582,0.2778187,0.25
48,5,1.2,8,0,2000,2000,1255,154.22274939214842,0.28584927,0.25
48,5,1.2,8,0,2000,2000,1281,154.75898762437495,0.29926962,0.25
48,5,1.2,8,0,2000,2000,1211,156.24801172749994,0.31433353,0.21
48,5,1.2,8,0,2000,2000,1199,155.34943429663085,0.33718988,0.24
48,5,1.2,8,0,2000,2000,1208,156.05081259155276,0.34590393,0.22
