patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast,average intensity,percentage white pixels,percentage black pixels
48,5,1.2,8,0,1908,1908,1673,349.49940072750013,0.033259105,0.19,73.8651,0.7009375,0.28500000000000003
48,5,1.2,8,0,1911,1911,1688,349.9717548991308,0.032140758,0.19,73.9092375,0.7009375,0.2840625
48,5,1.2,8,0,1910,1910,1680,349.7751475878026,0.032979958,0.19,73.8630875,0.7009375,0.2875
48,5,1.2,8,0,1913,1913,1683,349.73265237402353,0.031984173,0.19,73.862790625,0.6990625,0.28281249999999997
48,5,1.2,8,0,1909,1909,1678,349.9144021998438,0.032145854,0.19,73.902103125,0.7021875000000001,0.28375
48,5,1.2,8,0,1905,1905,1674,350.2450047659275,0.031955693,0.19,73.903509375,0.701875,0.284375
48,5,1.2,8,0,1901,1901,1689,349.2137723199121,0.032436453,0.19,73.862778125,0.696875,0.28500000000000003
48,5,1.2,8,0,1902,1902,1671,349.3278641543358,0.032216933,0.19,73.865359375,0.7012499999999999,0.2865625
48,5,1.2,8,0,1900,1900,1662,349.473175844375,0.033135567,0.19,73.86891875,0.69375,0.28500000000000003
48,5,1.2,8,0,1908,1908,1170,349.8030012715233,0.2028489,0.19,73.877053125,0.698125,0.28218750000000004
48,5,1.2,8,0,1910,1910,899,347.90863893746086,0.6856645,0.19,73.9048625,0.7053125,0.28500000000000003
48,5,1.2,8,0,1903,1903,675,348.025741328086,1.4102418,0.19,73.9934,0.6996875,0.283125
48,5,1.2,8,0,1905,1905,1312,349.0497641013185,0.22639954,0.19,74.21044375,0.7303124999999999,0.28500000000000003
48,5,1.2,8,0,1918,1918,1138,342.7944899392089,0.4667685,0.19,74.2398,0.7525,0.2853125
48,5,1.2,8,0,1911,1911,593,344.0427671579591,1.5934057,0.19,74.25594375,0.765,0.2825
48,5,1.2,8,0,1899,1899,1191,352.9189402612401,0.3566735,0.2,74.516578125,0.788125,0.28625
48,5,1.2,8,0,1904,1904,452,348.69766233999997,2.6831653,0.2,74.604646875,0.7981250000000001,0.2859375
48,5,1.2,8,0,1903,1903,723,355.44315144725584,1.4987502,0.2,75.139021875,0.885625,0.2815625
48,5,1.2,8,0,1881,1881,795,357.0873800400001,1.1549524,0.2,75.347575,0.9471875,0.29
48,5,1.2,8,0,1901,1901,652,358.6599705017091,1.8199836,0.2,75.5489625,0.9871875,0.281875
48,5,1.2,8,0,1912,1912,791,353.6693156206933,1.502231,0.2,75.828209375,1.0465624999999998,0.28687500000000005
48,5,1.2,8,0,1902,1902,603,357.59014707749986,2.2818048,0.2,75.7363,0.9909375,0.29875
48,5,1.2,8,0,1908,1908,1021,338.76395123558603,0.715141,0.19,74.297225,0.4071875,0.30125
48,5,1.2,8,0,1910,1910,569,334.22961292089855,2.8926387,0.19,74.141103125,0.363125,0.2978125
48,5,1.2,8,0,1909,1909,685,325.52091204437505,1.7174721,0.19,74.27970625,0.4009375,0.31625
48,5,1.2,8,0,1915,1915,457,322.0268790743751,4.2421994,0.19,74.384484375,0.43062500000000004,0.3171875
48,5,1.2,8,0,1899,1899,269,317.5272597360938,3.9373906,0.19,74.524625,0.49093749999999997,0.3515625
48,5,1.2,8,0,1905,1905,723,307.33817686639657,2.0005145,0.19,74.678578125,0.5653125,0.3875
48,5,1.2,8,0,1903,1903,902,314.0414741277734,1.0279883,0.19,74.943734375,0.6334375,0.393125
48,5,1.2,8,0,1898,1898,912,316.8288380147559,1.0964007,0.19,75.100003125,0.676875,0.38718749999999996
48,5,1.2,8,0,1899,1899,424,321.7773426062108,3.0299003,0.19,75.232784375,0.6975,0.39562499999999995
48,5,1.2,8,0,1910,1910,913,337.8980815588964,1.113053,0.2,75.8101625,0.8359375,0.411875
48,5,1.2,8,0,1908,1908,564,335.0485518399999,2.5003,0.2,75.888565625,0.8409375,0.40468750000000003
48,5,1.2,8,0,1903,1903,426,313.8589155757715,2.9528677,0.19,74.517503125,0.1871875,0.39718749999999997
48,5,1.2,8,0,1916,1916,804,322.68801764750003,0.91109806,0.19,74.56915625,0.2009375,0.395
48,5,1.2,8,0,1910,1910,608,324.52647249964855,1.6764133,0.19,74.59719375,0.2084375,0.39562499999999995
48,5,1.2,8,0,1916,1916,323,323.58624950999996,4.002496,0.19,74.55000625,0.20875,0.40375000000000005
48,5,1.2,8,0,1926,1926,536,322.1269867745213,1.9512293,0.19,74.488190625,0.21875000000000003,0.3828125
48,5,1.2,8,0,1927,1927,400,320.7208617560938,3.5139043,0.19,74.473728125,0.2303125,0.383125
48,5,1.2,8,0,1909,1909,462,317.0131950609277,2.7652192,0.19,74.554875,0.23281249999999998,0.35062499999999996
48,5,1.2,8,0,1914,1914,547,314.02961133233396,2.076237,0.19,74.719228125,0.24187499999999998,0.3459375
48,5,1.2,8,0,1907,1907,377,316.53078203609374,3.9182632,0.19,74.753765625,0.246875,0.354375
48,5,1.2,8,0,1906,1906,715,316.22267404027355,1.0620482,0.19,74.868784375,0.2515625,0.3525
48,5,1.2,8,0,1911,1911,545,314.6166287605859,1.9443659,0.19,74.978546875,0.2578125,0.353125
48,5,1.2,8,0,1914,1914,579,309.18959328589847,1.9989647,0.19,74.992115625,0.259375,0.2853125
48,5,1.2,8,0,1909,1909,188,309.3545123246484,4.8465724,0.19,75.04289375,0.25,0.2528125
48,5,1.2,8,0,1923,1923,140,311.89887952256834,7.2135677,0.19,74.95104375,0.261875,0.26687500000000003
