patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,983,575.1411830600738,4.300663,0.32
48,5,1.2,8,0,2000,2000,645,570.6898242575243,5.218618,0.32
48,5,1.2,8,0,2000,2000,644,572.5524676193394,5.6815963,0.32
48,5,1.2,8,0,2000,2000,522,559.1849668341267,7.9182262,0.32
48,5,1.2,8,0,2000,2000,495,477.4161972137231,9.398938,0.32
48,5,1.2,8,0,2000,2000,428,460.3538366354682,9.96738,0.32
48,5,1.2,8,0,2000,2000,450,453.66075815775974,10.601636,0.32
48,5,1.2,8,0,2000,2000,403,474.9922784684398,10.233569,0.32
48,5,1.2,8,0,2000,2000,418,535.9276376028478,9.194681,0.33
48,5,1.2,8,0,2000,2000,452,559.5363913009149,8.241688,0.32
48,5,1.2,8,0,2000,2000,407,574.9605211125751,7.5000677,0.32
48,5,1.2,8,0,2000,2000,509,633.8333380979808,8.491782,0.32
48,5,1.2,8,0,2000,2000,542,493.7792203443252,9.917641,0.32
48,5,1.2,8,0,2000,2000,531,456.43366989243174,11.271422,0.32
48,5,1.2,8,0,2000,2000,526,435.8765178352887,11.973018,0.32
48,5,1.2,8,0,2000,2000,520,444.4346029106259,10.889913,0.33
48,5,1.2,8,0,2000,2000,447,525.0152292539232,10.136537,0.33
48,5,1.2,8,0,2000,2000,443,531.7271468238263,10.171874,0.33
48,5,1.2,8,0,2000,2000,489,488.6360688764701,11.820769,0.32
48,5,1.2,8,0,2000,2000,545,439.02069621283215,12.927977,0.32
48,5,1.2,8,0,2000,2000,524,380.1771312491698,13.366025,0.32
48,5,1.2,8,0,2000,2000,629,364.422793850676,13.22404,0.33
48,5,1.2,8,0,2000,2000,544,364.3705714189168,11.555721,0.33
48,5,1.2,8,0,2000,2000,653,408.33536213252506,9.691369,0.33
48,5,1.2,8,0,2000,2000,712,477.67145950777103,7.30783,0.33
48,5,1.2,8,0,2000,2000,764,557.2942993311347,5.6581006,0.33
48,5,1.2,8,0,2000,2000,677,619.4381603155658,3.8454125,0.33
48,5,1.2,8,0,2000,2000,748,825.4924104080595,2.5540795,0.33
48,5,1.2,8,0,2000,2000,1039,905.8482114822206,2.4850566,0.33
48,5,1.2,8,0,2000,2000,860,863.888398053256,3.9736543,0.33
48,5,1.2,8,0,2000,2000,757,619.7892184410019,6.647681,0.33
48,5,1.2,8,0,2000,2000,713,449.9009255408733,9.431323,0.34
48,5,1.2,8,0,2000,2000,665,363.73011600538706,12.749727,0.34
48,5,1.2,8,0,2000,2000,545,308.17384488868436,16.018356,0.33
48,5,1.2,8,0,2000,2000,458,271.6277836074396,18.221273,0.33
48,5,1.2,8,0,2000,2000,325,255.8075160360195,19.654564,0.33
48,5,1.2,8,0,2000,2000,346,245.4521173280518,19.978628,0.33
48,5,1.2,8,0,2000,2000,299,236.75455618633507,19.536373,0.33
48,5,1.2,8,0,2000,2000,217,242.92309133828712,17.652224,0.33
48,5,1.2,8,0,2000,2000,288,254.9840224743028,15.239153,0.32
48,5,1.2,8,0,2000,2000,377,301.58595633275036,12.099971,0.32
48,5,1.2,8,0,2000,2000,430,378.7675281496376,7.4367423,0.32
48,5,1.2,8,0,2000,2000,918,551.586574031004,2.9166102,0.32
48,5,1.2,8,0,2000,2000,632,714.7023242334783,5.0459094,0.32
48,5,1.2,8,0,2000,2000,321,496.53442623685856,10.2246895,0.32
48,5,1.2,8,0,2000,2000,182,382.6166398761287,13.877878,0.32
48,5,1.2,8,0,2000,2000,159,313.2540772184035,16.127653,0.32
48,5,1.2,8,0,2000,2000,239,279.2049617470579,18.575335,0.32
48,5,1.2,8,0,2000,2000,225,258.71307758798514,19.669209,0.33
48,5,1.2,8,0,2000,2000,288,244.97450590090008,20.454483,0.33
48,5,1.2,8,0,2000,2000,321,248.53619482011723,20.262096,0.33
48,5,1.2,8,0,2000,2000,456,253.36510493293707,19.322279,0.33
48,5,1.2,8,0,2000,2000,478,259.8031737234679,17.43973,0.33
48,5,1.2,8,0,2000,2000,628,267.15928665448945,14.495133,0.33
48,5,1.2,8,0,2000,2000,669,297.5293258768765,11.748925,0.32
48,5,1.2,8,0,2000,2000,737,328.9191998752134,8.833086,0.32
48,5,1.2,8,0,2000,2000,802,431.97980102519887,5.36388,0.31
48,5,1.2,8,0,2000,2000,993,710.3504168497553,2.043626,0.32
48,5,1.2,8,0,2000,2000,839,937.7339526591223,3.2901287,0.32
48,5,1.2,8,0,2000,2000,755,585.8292235252081,6.5542483,0.33
48,5,1.2,8,0,2000,2000,740,437.83468219075337,8.484701,0.33
48,5,1.2,8,0,2000,2000,646,377.78295956183894,9.714526,0.34
48,5,1.2,8,0,2000,2000,606,376.64547530266015,10.771845,0.34
48,5,1.2,8,0,2000,2000,618,349.9626838826761,12.197455,0.33
48,5,1.2,8,0,2000,2000,529,328.04172023610676,14.894803,0.33
48,5,1.2,8,0,2000,2000,522,290.1225991823515,17.391212,0.33
48,5,1.2,8,0,2000,2000,427,259.54480754188586,18.986244,0.33
48,5,1.2,8,0,2000,2000,320,248.8484273535615,19.19512,0.33
48,5,1.2,8,0,2000,2000,308,264.15596488663675,18.175049,0.33
48,5,1.2,8,0,2000,2000,239,274.6135593386791,16.003529,0.33
48,5,1.2,8,0,2000,2000,251,292.67278271523674,14.294031,0.32
48,5,1.2,8,0,2000,2000,415,329.13299030230087,10.762852,0.32
48,5,1.2,8,0,2000,2000,685,376.5474843387538,5.9271026,0.32
48,5,1.2,8,0,2000,2000,608,623.3620989564422,2.907535,0.32
