patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1443,129.88653361619674,0.082493074,0.32
48,5,1.2,8,0,2000,2000,1558,126.38713271258914,0.055206764,0.32
48,5,1.2,8,0,2000,2000,1589,126.20717151738359,0.044257756,0.32
48,5,1.2,8,0,2000,2000,1605,126.9132223294689,0.050853685,0.32
48,5,1.2,8,0,2000,2000,1573,126.27612425953464,0.05863541,0.32
48,5,1.2,8,0,2000,2000,1561,126.80484642899543,0.056738924,0.32
48,5,1.2,8,0,2000,2000,1567,126.4451053837471,0.04991248,0.32
48,5,1.2,8,0,2000,2000,1540,126.47335827666808,0.07707196,0.32
48,5,1.2,8,0,2000,2000,1512,127.18692375701552,0.08090341,0.32
48,5,1.2,8,0,2000,2000,1612,126.77555608684632,0.05052251,0.32
48,5,1.2,8,0,2000,2000,1614,127.26256811026555,0.049422935,0.32
48,5,1.2,8,0,2000,2000,1626,127.55905899820733,0.043907523,0.32
48,5,1.2,8,0,2000,2000,1509,126.92436962880036,0.06835503,0.32
48,5,1.2,8,0,2000,2000,1580,127.60762613194719,0.055683985,0.32
48,5,1.2,8,0,2000,2000,1573,127.35155620248948,0.05332357,0.32
48,5,1.2,8,0,2000,2000,1568,127.37082066982015,0.049508274,0.32
48,5,1.2,8,0,2000,2000,1588,127.28605833505745,0.052483115,0.32
48,5,1.2,8,0,2000,2000,1586,127.43769727949534,0.0517768,0.32
48,5,1.2,8,0,2000,2000,1604,127.3548221812899,0.050923865,0.32
48,5,1.2,8,0,2000,2000,1573,127.65914917267722,0.047786657,0.32
48,5,1.2,8,0,2000,2000,1552,127.6742424370116,0.0594454,0.32
48,5,1.2,8,0,2000,2000,1609,127.34267374763508,0.045614246,0.32
48,5,1.2,8,0,2000,2000,1560,127.75190504470226,0.057287138,0.32
48,5,1.2,8,0,2000,2000,1605,128.07132775401058,0.05109086,0.32
48,5,1.2,8,0,2000,2000,1588,127.58479860129162,0.05029493,0.32
48,5,1.2,8,0,2000,2000,1597,128.03482759034299,0.043666836,0.32
48,5,1.2,8,0,2000,2000,1590,128.10622116436548,0.050417554,0.32
48,5,1.2,8,0,2000,2000,1612,127.88587057589208,0.046169583,0.32
48,5,1.2,8,0,2000,2000,1597,128.00430332831425,0.048841164,0.32
48,5,1.2,8,0,2000,2000,1596,128.4309955812324,0.049587168,0.32
48,5,1.2,8,0,2000,2000,1606,128.22298475304743,0.046839222,0.32
48,5,1.2,8,0,2000,2000,1586,128.44512015767964,0.04651069,0.32
48,5,1.2,8,0,2000,2000,1590,128.55161667979166,0.05541468,0.32
48,5,1.2,8,0,2000,2000,1566,128.7619415346062,0.06442542,0.32
48,5,1.2,8,0,2000,2000,1536,128.7919209663403,0.06473983,0.32
48,5,1.2,8,0,2000,2000,1248,122.99654480873077,0.14976852,0.32
48,5,1.2,8,0,2000,2000,1292,127.55078564722672,0.1340939,0.32
48,5,1.2,8,0,2000,2000,1430,129.03739347248452,0.0973461,0.32
48,5,1.2,8,0,2000,2000,1478,128.5800744673729,0.08238897,0.32
48,5,1.2,8,0,2000,2000,1432,129.64603384012287,0.0861675,0.32
48,5,1.2,8,0,2000,2000,1575,128.49541381902708,0.05831632,0.32
48,5,1.2,8,0,2000,2000,1536,129.05883684432996,0.059177373,0.32
48,5,1.2,8,0,2000,2000,1557,128.58083284556787,0.0584705,0.32
48,5,1.2,8,0,2000,2000,1491,129.08438208929277,0.083072536,0.32
48,5,1.2,8,0,2000,2000,1515,128.5030653019545,0.07470142,0.32
