patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,1943,1943,133,40.686140573024744,3.172572,0.17
48,5,1.2,8,0,1947,1947,42,42.01764015272988,2.639111,0.17
48,5,1.2,8,0,1848,1848,67,37.96051521742079,2.5410593,0.17
48,5,1.2,8,0,1981,1981,96,39.029971577792686,3.129687,0.17
48,5,1.2,8,0,1972,1972,73,37.30692229969237,2.7434583,0.17
48,5,1.2,8,0,1937,1937,80,34.533802790281506,2.175714,0.17
48,5,1.2,8,0,1939,1939,52,36.1993108754052,2.246668,0.17
48,5,1.2,8,0,1913,1913,74,43.35669939548705,2.2074888,0.17
48,5,1.2,8,0,1930,1930,55,36.43597200516595,2.2488494,0.17
48,5,1.2,8,0,1936,1936,39,33.58440404255125,2.1023176,0.17
48,5,1.2,8,0,1847,1847,32,37.374199957010475,2.3484225,0.17
48,5,1.2,8,0,1949,1949,58,51.11161640608045,3.328336,0.17
48,5,1.2,8,0,1949,1949,41,43.4469481145117,2.2812004,0.17
48,5,1.2,8,0,1872,1872,54,49.815457067489625,2.657379,0.17
48,5,1.2,8,0,1952,1952,61,42.48037206521564,3.1107419,0.16
48,5,1.2,8,0,1919,1919,18,39.91552190310161,3.0409992,0.16
48,5,1.2,8,0,1957,1957,30,43.18447765668233,2.6273074,0.16
48,5,1.2,8,0,1873,1873,36,54.891219087346386,2.9545472,0.18
48,5,1.2,8,0,1971,1971,68,43.57110264244081,3.1710374,0.18
48,5,1.2,8,0,1950,1950,76,44.69939307699203,2.5997806,0.18
48,5,1.2,8,0,1915,1915,49,42.91719175736109,2.1769907,0.18
48,5,1.2,8,0,1923,1923,61,43.85609302494261,3.281771,0.18
48,5,1.2,8,0,1992,1992,43,50.17700510634315,2.9964664,0.16
48,5,1.2,8,0,1835,1835,47,42.0616356183264,1.1787705,0.17
48,5,1.2,8,0,1695,1695,20,40.20883071338866,2.6934435,0.17
48,5,1.2,8,0,1987,1987,49,49.59657534534666,3.1189706,0.16
48,5,1.2,8,0,1931,1931,55,53.04925342982611,3.0772717,0.17
48,5,1.2,8,0,2000,2000,72,52.547821199533686,4.161544,0.15
48,5,1.2,8,0,1995,1995,119,48.11341039831373,4.130521,0.16
48,5,1.2,8,0,2000,2000,56,49.695613704427075,3.874529,0.15
48,5,1.2,8,0,1982,1982,68,42.77440821091334,4.0032253,0.16
48,5,1.2,8,0,2000,2000,33,51.94259588606093,3.9412053,0.16
48,5,1.2,8,0,2000,2000,93,45.52646334939531,4.7913446,0.16
48,5,1.2,8,0,2000,2000,45,51.15120607486301,3.6640446,0.16
48,5,1.2,8,0,1945,1945,33,50.4338453851382,3.5492122,0.17
48,5,1.2,8,0,2000,2000,42,53.31931988397173,4.3303933,0.16
48,5,1.2,8,0,1997,1997,44,44.68229810774062,3.1779041,0.17
48,5,1.2,8,0,1993,1993,81,38.08828529119491,3.8930883,0.17
48,5,1.2,8,0,2000,2000,65,45.76119460295571,4.329408,0.17
48,5,1.2,8,0,2000,2000,51,42.14790879308913,4.286508,0.17
48,5,1.2,8,0,1995,1995,40,42.97617119207382,3.122322,0.17
48,5,1.2,8,0,1986,1986,32,36.05454656774732,4.2699585,0.17
48,5,1.2,8,0,2000,2000,34,45.71731120723089,4.252715,0.16
48,5,1.2,8,0,1990,1990,34,38.36227683994505,4.8740373,0.16
48,5,1.2,8,0,2000,2000,18,52.17571477863523,3.9585836,0.15
48,5,1.2,8,0,1955,1955,30,49.26852636200587,3.3888888,0.17
48,5,1.2,8,0,2000,2000,40,43.54086705419753,3.5191684,0.15
48,5,1.2,8,0,1941,1941,24,39.93661285057067,3.5717485,0.17
48,5,1.2,8,0,2000,2000,20,41.141266873582204,2.9987743,0.16
48,5,1.2,8,0,2000,2000,59,40.91690424422158,4.7708545,0.16
48,5,1.2,8,0,2000,2000,37,43.51061449761921,4.5826454,0.16
