patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,221,117.60774008988274,15.036538,0.15
48,5,1.2,8,0,2000,2000,131,98.01791414320202,16.873047,0.16
48,5,1.2,8,0,2000,2000,140,109.80757993532818,15.6562805,0.16
48,5,1.2,8,0,2000,2000,125,97.01492399714787,16.247164,0.16
48,5,1.2,8,0,2000,2000,122,83.22940540631612,16.060797,0.13
48,5,1.2,8,0,2000,2000,117,81.7357779818111,18.85161,0.17
48,5,1.2,8,0,2000,2000,141,64.58357031706704,15.126175,0.18
48,5,1.2,8,0,2000,2000,141,41.766330164549075,8.480035,0.18
48,5,1.2,8,0,1994,1994,141,45.033523836252435,6.2163057,0.14
48,5,1.2,8,0,1978,1978,113,33.69183442751566,5.2120566,0.1
48,5,1.2,8,0,1966,1966,181,31.821264433447524,5.602387,0.08
48,5,1.2,8,0,1970,1970,118,28.879299759663468,3.9136832,0.08
48,5,1.2,8,0,1960,1960,166,31.3691283873558,4.071689,0.09
48,5,1.2,8,0,1977,1977,200,27.603212504058412,4.342774,0.08
48,5,1.2,8,0,1965,1965,227,30.00951482890448,4.6077805,0.09
48,5,1.2,8,0,1967,1967,411,30.78711802838644,4.806223,0.09
48,5,1.2,8,0,1983,1983,289,32.67806264282862,4.346729,0.1
48,5,1.2,8,0,1983,1983,304,27.609579299916163,4.2122254,0.09
48,5,1.2,8,0,1982,1982,299,29.97118160619735,4.04709,0.1
48,5,1.2,8,0,1987,1987,468,25.85072144567701,3.4277315,0.1
48,5,1.2,8,0,1987,1987,548,36.4355078016493,3.7947714,0.09
48,5,1.2,8,0,1986,1986,328,29.030709176974828,4.4389563,0.1
48,5,1.2,8,0,1986,1986,412,34.08761985752318,4.5207076,0.09
48,5,1.2,8,0,1994,1994,431,31.51831961805555,4.60256,0.09
48,5,1.2,8,0,1989,1989,375,37.941608055962455,4.6082215,0.09
48,5,1.2,8,0,2000,2000,491,31.139069009738492,4.363721,0.09
48,5,1.2,8,0,1997,1997,426,35.18996742740207,4.389354,0.09
48,5,1.2,8,0,2000,2000,349,30.833503027078834,5.09478,0.09
48,5,1.2,8,0,1992,1992,343,38.50055536472533,5.1183567,0.09
48,5,1.2,8,0,2000,2000,497,29.85637649026447,4.656808,0.08
48,5,1.2,8,0,1995,1995,357,33.886578771368676,6.0377817,0.08
48,5,1.2,8,0,1997,1997,323,29.90220462416543,6.2543845,0.08
48,5,1.2,8,0,1979,1979,397,35.475413266404466,5.4928064,0.09
48,5,1.2,8,0,1972,1972,307,31.222757159074167,6.7531514,0.1
48,5,1.2,8,0,1979,1979,367,32.55754525210063,5.6816397,0.1
48,5,1.2,8,0,1967,1967,306,28.478586555947203,6.894414,0.11
48,5,1.2,8,0,1969,1969,240,31.72576817320718,7.615028,0.17
48,5,1.2,8,0,1991,1991,275,30.771553843816122,8.426213,0.17
48,5,1.2,8,0,1972,1972,246,29.042744140614403,9.259377,0.18
48,5,1.2,8,0,1984,1984,272,27.589923076619048,10.907917,0.18
48,5,1.2,8,0,1990,1990,234,33.405878906207604,9.31855,0.16
48,5,1.2,8,0,1993,1993,183,31.046743595377606,9.330971,0.14
48,5,1.2,8,0,1982,1982,180,35.44142291598849,10.559956,0.18
48,5,1.2,8,0,1985,1985,182,31.421042842345773,10.433017,0.18
48,5,1.2,8,0,1979,1979,177,32.929664650715715,9.080813,0.17
48,5,1.2,8,0,1991,1991,199,32.61223875214259,11.094375,0.18
48,5,1.2,8,0,1984,1984,168,35.0935975900862,7.6960354,0.19
48,5,1.2,8,0,1972,1972,131,32.199466134982636,6.0609665,0.19
48,5,1.2,8,0,1982,1982,133,32.68374666085773,4.8078704,0.19
48,5,1.2,8,0,1992,1992,127,32.28352394781113,3.6561503,0.18
48,5,1.2,8,0,1966,1966,114,30.449016914833912,2.8827841,0.19
48,5,1.2,8,0,1937,1937,143,30.707482524352606,4.2680364,0.19
48,5,1.2,8,0,1945,1945,88,29.96676537143919,3.2411017,0.17
48,5,1.2,8,0,1910,1910,108,30.920331648720634,4.181528,0.15
48,5,1.2,8,0,1914,1914,72,30.86285220030679,3.362132,0.12
