patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1515,567.5024570381314,0.15670727,0.12
48,5,1.2,8,0,2000,2000,1585,568.8974174615329,0.10106093,0.12
48,5,1.2,8,0,2000,2000,1616,568.2040214149372,0.06355617,0.12
48,5,1.2,8,0,2000,2000,1655,567.034951181699,0.04164957,0.12
48,5,1.2,8,0,2000,2000,1641,567.3177022657062,0.04475504,0.12
48,5,1.2,8,0,2000,2000,1625,568.4010094166662,0.07608545,0.12
48,5,1.2,8,0,2000,2000,1631,567.4999443033399,0.06567755,0.12
48,5,1.2,8,0,2000,2000,1658,568.1821333160254,0.04930743,0.12
48,5,1.2,8,0,2000,2000,1676,567.1363740898975,0.06711635,0.12
48,5,1.2,8,0,2000,2000,1658,568.1891165280095,0.038770672,0.12
48,5,1.2,8,0,2000,2000,1633,566.9134744773088,0.0399562,0.12
48,5,1.2,8,0,2000,2000,1593,566.5476800101396,0.10937813,0.12
48,5,1.2,8,0,2000,2000,1644,568.4643533804502,0.043828525,0.12
48,5,1.2,8,0,2000,2000,1651,567.4021653250599,0.043757387,0.12
48,5,1.2,8,0,2000,2000,1658,568.3020361386993,0.042272642,0.12
48,5,1.2,8,0,2000,2000,1580,568.2364993663515,0.11009448,0.12
48,5,1.2,8,0,2000,2000,1627,567.6532217066225,0.07695761,0.12
48,5,1.2,8,0,2000,2000,1645,567.091432508257,0.036522936,0.12
48,5,1.2,8,0,2000,2000,1646,567.9901666267365,0.05381134,0.12
48,5,1.2,8,0,2000,2000,1668,566.0043350630267,0.035165545,0.12
48,5,1.2,8,0,2000,2000,1598,567.731706035056,0.09322255,0.12
48,5,1.2,8,0,2000,2000,1559,566.6688947950556,0.13137029,0.12
48,5,1.2,8,0,2000,2000,1614,566.744470265929,0.09906946,0.12
48,5,1.2,8,0,2000,2000,1667,566.3399284706944,0.034250166,0.12
48,5,1.2,8,0,2000,2000,1631,566.9658682096707,0.076994404,0.12
48,5,1.2,8,0,2000,2000,1556,566.9923639892897,0.13073553,0.12
48,5,1.2,8,0,2000,2000,1537,567.7730394839084,0.1482865,0.12
48,5,1.2,8,0,2000,2000,1628,565.5910702517795,0.08494566,0.12
48,5,1.2,8,0,2000,2000,1641,566.6149344775041,0.04674741,0.12
48,5,1.2,8,0,2000,2000,1564,567.6165905570073,0.12806933,0.12
48,5,1.2,8,0,2000,2000,1519,566.725284404602,0.1535995,0.12
48,5,1.2,8,0,2000,2000,1555,567.2558230886618,0.14371182,0.12
48,5,1.2,8,0,2000,2000,1591,566.0583134493298,0.110618524,0.12
48,5,1.2,8,0,2000,2000,1644,567.3979210280661,0.07120597,0.12
48,5,1.2,8,0,2000,2000,1661,566.8414825682293,0.044174723,0.12
48,5,1.2,8,0,2000,2000,1651,565.9525613519137,0.037465908,0.12
48,5,1.2,8,0,2000,2000,1628,567.5727153557995,0.03405637,0.12
48,5,1.2,8,0,2000,2000,1686,567.1520738367577,0.042407546,0.12
48,5,1.2,8,0,2000,2000,1659,567.0914188677929,0.07144461,0.12
48,5,1.2,8,0,2000,2000,1646,566.5137864704094,0.09858601,0.12
