patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,391,805.3948118921519,0.5942523,0.34
48,5,1.2,8,0,2000,2000,543,772.4159662517951,0.50245017,0.33
48,5,1.2,8,0,2000,2000,801,713.3132980859829,0.42779657,0.33
48,5,1.2,8,0,2000,2000,616,738.2530205997085,0.4960043,0.33
48,5,1.2,8,0,2000,2000,686,710.1757547059782,0.45180455,0.33
48,5,1.2,8,0,2000,2000,673,708.6226408871498,0.40466285,0.33
48,5,1.2,8,0,2000,2000,686,712.9248447626559,0.40815234,0.33
48,5,1.2,8,0,2000,2000,642,727.4537225115739,0.42870954,0.33
48,5,1.2,8,0,2000,2000,670,703.2498962033872,0.44167486,0.33
48,5,1.2,8,0,2000,2000,601,700.4938773062415,0.46824145,0.33
48,5,1.2,8,0,2000,2000,634,704.0953041618444,0.49751192,0.33
48,5,1.2,8,0,2000,2000,619,723.9892329611863,0.47698912,0.33
48,5,1.2,8,0,2000,2000,665,704.6386918399764,0.47640413,0.33
48,5,1.2,8,0,2000,2000,738,707.6811278618704,0.43017572,0.33
48,5,1.2,8,0,2000,2000,660,701.7579583965536,0.47432813,0.33
48,5,1.2,8,0,2000,2000,635,722.2744759803721,0.5283827,0.33
48,5,1.2,8,0,2000,2000,693,705.5409891557019,0.44670862,0.33
48,5,1.2,8,0,2000,2000,728,698.0091134740172,0.40554443,0.33
48,5,1.2,8,0,2000,2000,591,705.2487290929137,0.45550814,0.33
48,5,1.2,8,0,2000,2000,519,721.5209465414082,0.6935014,0.33
48,5,1.2,8,0,2000,2000,623,695.6421809485582,0.47194535,0.33
48,5,1.2,8,0,2000,2000,679,697.0632755845227,0.4401517,0.33
48,5,1.2,8,0,2000,2000,601,700.0761773471575,0.5218342,0.33
48,5,1.2,8,0,2000,2000,619,719.438885628858,0.45985162,0.33
48,5,1.2,8,0,2000,2000,560,696.1577035042384,0.59523034,0.33
48,5,1.2,8,0,2000,2000,591,704.9207783292793,0.60963786,0.33
48,5,1.2,8,0,2000,2000,638,693.2777344907405,0.47860265,0.33
48,5,1.2,8,0,2000,2000,618,713.1603359009207,0.4906476,0.33
48,5,1.2,8,0,2000,2000,672,698.4571387259945,0.46449015,0.33
48,5,1.2,8,0,2000,2000,602,702.0943142936804,0.6465073,0.33
48,5,1.2,8,0,2000,2000,611,694.931663740864,0.52994263,0.33
48,5,1.2,8,0,2000,2000,682,714.1707839623722,0.46434456,0.33
48,5,1.2,8,0,2000,2000,710,698.1459440063644,0.42573515,0.33
48,5,1.2,8,0,2000,2000,672,700.7165886350947,0.48519304,0.33
48,5,1.2,8,0,2000,2000,643,699.0697307677386,0.47422457,0.33
48,5,1.2,8,0,2000,2000,660,718.79698777789,0.4585753,0.33
48,5,1.2,8,0,2000,2000,676,693.415217515432,0.45201415,0.33
48,5,1.2,8,0,2000,2000,669,696.2442210011087,0.48268044,0.33
48,5,1.2,8,0,2000,2000,705,707.4773438403471,0.42807585,0.33
48,5,1.2,8,0,2000,2000,588,714.2480397422675,0.54164636,0.33
48,5,1.2,8,0,2000,2000,631,697.9636265271014,0.49389166,0.33
48,5,1.2,8,0,2000,2000,685,702.4578602892632,0.4446408,0.33
48,5,1.2,8,0,2000,2000,588,696.0643929395133,0.53760105,0.33
48,5,1.2,8,0,2000,2000,549,713.4999051954399,0.69605666,0.33
48,5,1.2,8,0,2000,2000,633,695.6609682254744,0.49797815,0.33
48,5,1.2,8,0,2000,2000,653,696.6705743403097,0.47907314,0.33
