patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,989,76.70281458018623,0.17702268,0.19
48,5,1.2,8,0,2000,2000,901,85.34374991794162,0.25519666,0.2
48,5,1.2,8,0,2000,2000,196,77.01558242771361,2.7323942,0.21
48,5,1.2,8,0,2000,2000,407,150.191604155816,1.753363,0.33
48,5,1.2,8,0,2000,2000,843,179.70286577774687,0.7428393,0.34
48,5,1.2,8,0,2000,2000,1166,229.05655575116475,0.20611404,0.34
48,5,1.2,8,0,2000,2000,1353,229.92702737934326,0.16306725,0.34
48,5,1.2,8,0,2000,2000,1374,241.03634702538378,0.12209129,0.34
48,5,1.2,8,0,2000,2000,1523,253.71877878866192,0.10234602,0.34
48,5,1.2,8,0,2000,2000,1938,253.90503198174366,0.017027594,0.34
48,5,1.2,8,0,2000,2000,1939,254.05450452469725,0.021963196,0.34
48,5,1.2,8,0,2000,2000,1904,253.93768800654942,0.025891079,0.34
48,5,1.2,8,0,2000,2000,1813,254.76303309309225,0.049614783,0.34
48,5,1.2,8,0,2000,2000,1908,253.48295797262185,0.027668774,0.34
48,5,1.2,8,0,2000,2000,1925,253.63019786782792,0.024366217,0.34
48,5,1.2,8,0,2000,2000,1851,253.2342369533538,0.039932176,0.34
48,5,1.2,8,0,2000,2000,1832,254.63704671299192,0.044765264,0.34
48,5,1.2,8,0,2000,2000,1911,253.41591653374562,0.02585576,0.34
48,5,1.2,8,0,2000,2000,1920,253.54041554052557,0.025311816,0.34
48,5,1.2,8,0,2000,2000,1874,253.09973847096762,0.03651401,0.34
48,5,1.2,8,0,2000,2000,1847,254.08996220600346,0.040323842,0.34
48,5,1.2,8,0,2000,2000,1912,252.89721227311028,0.025559152,0.34
48,5,1.2,8,0,2000,2000,1904,253.05886913722358,0.025024397,0.34
48,5,1.2,8,0,2000,2000,1866,253.01083209393812,0.036057223,0.34
48,5,1.2,8,0,2000,2000,1852,253.90821822601953,0.03822291,0.34
48,5,1.2,8,0,2000,2000,1934,252.9843152382745,0.023524301,0.34
48,5,1.2,8,0,2000,2000,1915,253.2976516893069,0.023528595,0.34
48,5,1.2,8,0,2000,2000,1860,252.9436215883784,0.035250865,0.34
48,5,1.2,8,0,2000,2000,1866,253.84675655856665,0.03479718,0.34
48,5,1.2,8,0,2000,2000,1931,252.88691870371505,0.024000965,0.34
48,5,1.2,8,0,2000,2000,1923,253.10362094852667,0.024491515,0.34
48,5,1.2,8,0,2000,2000,1885,252.8119287350866,0.033016514,0.34
48,5,1.2,8,0,2000,2000,1904,253.62867007632784,0.033418458,0.34
48,5,1.2,8,0,2000,2000,1940,252.77993291829432,0.023229681,0.34
48,5,1.2,8,0,2000,2000,1950,252.9889890516492,0.023683678,0.34
48,5,1.2,8,0,2000,2000,1886,252.65091593589779,0.032873984,0.34
48,5,1.2,8,0,2000,2000,1911,253.35631554894974,0.034154676,0.34
48,5,1.2,8,0,2000,2000,1930,252.56723327245703,0.02400863,0.34
48,5,1.2,8,0,2000,2000,1943,252.71938874222434,0.023511458,0.34
48,5,1.2,8,0,2000,2000,1903,252.5829956156307,0.031743255,0.34
48,5,1.2,8,0,2000,2000,1880,253.1146328516642,0.039996795,0.34
48,5,1.2,8,0,2000,2000,1919,251.89826205333074,0.028404672,0.34
48,5,1.2,8,0,2000,2000,1921,251.73137448110575,0.03010451,0.34
48,5,1.2,8,0,2000,2000,1677,251.25646515603603,0.11253967,0.34
48,5,1.2,8,0,2000,2000,1652,249.4730738410844,0.10284638,0.34
48,5,1.2,8,0,2000,2000,1595,236.30695795690744,0.14571884,0.34
48,5,1.2,8,0,2000,2000,1332,227.24234313964843,0.24536107,0.34
48,5,1.2,8,0,2000,2000,908,215.25391598806382,0.99328625,0.34
48,5,1.2,8,0,2000,2000,809,239.3413929907481,1.0964488,0.34
48,5,1.2,8,0,2000,2000,868,212.45285438960397,1.8093708,0.34
48,5,1.2,8,0,2000,2000,537,222.516041655816,3.295218,0.34
48,5,1.2,8,0,2000,2000,561,215.98008137460283,2.3135893,0.33
48,5,1.2,8,0,2000,2000,318,243.62380967448553,7.881966,0.33
48,5,1.2,8,0,2000,2000,421,227.6549120699459,3.584015,0.32
48,5,1.2,8,0,2000,2000,584,236.05060675556393,2.9960985,0.31
48,5,1.2,8,0,2000,2000,422,222.1357691734208,3.7216802,0.31
48,5,1.2,8,0,2000,2000,441,244.26502639845745,4.0036607,0.3
48,5,1.2,8,0,2000,2000,664,209.9199161419232,2.7042937,0.3
48,5,1.2,8,0,2000,2000,770,224.3538948819372,1.725877,0.3
48,5,1.2,8,0,2000,2000,683,212.61292994791665,1.9627988,0.3
48,5,1.2,8,0,2000,2000,937,241.86029929453537,0.9139826,0.3
48,5,1.2,8,0,2000,2000,944,213.9121844100952,0.7556706,0.3
48,5,1.2,8,0,2000,2000,708,219.51330942763218,0.7045948,0.3
48,5,1.2,8,0,2000,2000,1170,214.14980131683353,0.39841583,0.3
48,5,1.2,8,0,2000,2000,1165,234.85858618147114,0.44656312,0.3
48,5,1.2,8,0,2000,2000,1237,215.04750256617865,0.33001465,0.3
48,5,1.2,8,0,2000,2000,1423,218.6314256286621,0.24228698,0.3
48,5,1.2,8,0,2000,2000,1617,218.07393554677967,0.15479404,0.3
48,5,1.2,8,0,2000,2000,1710,230.68620117059294,0.10748595,0.3
48,5,1.2,8,0,2000,2000,1894,225.8657583376461,0.06795759,0.3
48,5,1.2,8,0,2000,2000,1856,226.2829556982676,0.06224991,0.3
48,5,1.2,8,0,2000,2000,1844,227.1500227610164,0.066409476,0.3
48,5,1.2,8,0,2000,2000,1919,230.542906879584,0.056388386,0.3
48,5,1.2,8,0,2000,2000,1598,228.41676749792094,0.13916329,0.3
48,5,1.2,8,0,2000,2000,1792,220.00705004272464,0.10443311,0.3
48,5,1.2,8,0,2000,2000,1330,220.96822191772463,0.2812319,0.3
48,5,1.2,8,0,2000,2000,975,221.21088539225258,0.6896946,0.3
48,5,1.2,8,0,2000,2000,919,208.27528827072769,0.9862308,0.3
48,5,1.2,8,0,2000,2000,788,214.56325222980712,1.8120002,0.3
48,5,1.2,8,0,2000,2000,1040,205.12258636855015,1.1051114,0.3
48,5,1.2,8,0,2000,2000,801,226.24071761131276,1.4149624,0.3
48,5,1.2,8,0,2000,2000,948,204.3411473846329,1.6266803,0.29
48,5,1.2,8,0,2000,2000,788,207.6676218817393,2.187517,0.29
48,5,1.2,8,0,2000,2000,644,202.07650364172196,2.2224808,0.29
48,5,1.2,8,0,2000,2000,666,226.8000878458553,2.7307332,0.29
48,5,1.2,8,0,2000,2000,495,193.907735198964,2.937316,0.28
