patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,10,10,0,0.35055338541666664,20.359476,0.01
48,5,1.2,8,0,2000,2000,421,158.6910825881004,4.478897,0.35
48,5,1.2,8,0,2000,2000,1321,199.09180895483232,0.15351108,0.35
48,5,1.2,8,0,2000,2000,1262,197.19635268448724,0.13916762,0.35
48,5,1.2,8,0,2000,2000,1419,206.3374738548173,0.083050825,0.35
48,5,1.2,8,0,2000,2000,1860,205.89143855386308,0.014898898,0.35
48,5,1.2,8,0,2000,2000,1910,206.25435821516245,0.0148682995,0.35
48,5,1.2,8,0,2000,2000,1892,206.00862019262314,0.018468417,0.35
48,5,1.2,8,0,2000,2000,1775,206.4277965250651,0.038472097,0.35
48,5,1.2,8,0,2000,2000,1886,205.30399697493445,0.019576425,0.35
48,5,1.2,8,0,2000,2000,1876,205.5469404387474,0.017578073,0.35
48,5,1.2,8,0,2000,2000,1794,205.17285150654052,0.031317614,0.35
48,5,1.2,8,0,2000,2000,1785,206.1998149305555,0.03584802,0.35
48,5,1.2,8,0,2000,2000,1873,204.8547774926821,0.020118805,0.35
48,5,1.2,8,0,2000,2000,1882,205.2634887257788,0.0204593,0.35
48,5,1.2,8,0,2000,2000,1805,205.00086789126928,0.029516503,0.35
48,5,1.2,8,0,2000,2000,1783,205.8957842203352,0.03390179,0.35
48,5,1.2,8,0,2000,2000,1878,204.63414425403812,0.019943526,0.35
48,5,1.2,8,0,2000,2000,1901,204.97204142166774,0.017897187,0.35
48,5,1.2,8,0,2000,2000,1804,204.63894614512125,0.029606437,0.35
48,5,1.2,8,0,2000,2000,1792,205.38746828053795,0.032046515,0.35
48,5,1.2,8,0,2000,2000,1884,204.57695021132358,0.021174729,0.35
48,5,1.2,8,0,2000,2000,1904,204.78849916219713,0.0195569,0.35
48,5,1.2,8,0,2000,2000,1797,204.5334372625987,0.03120852,0.35
48,5,1.2,8,0,2000,2000,1806,205.49324575185773,0.03351296,0.35
48,5,1.2,8,0,2000,2000,1895,204.65592467430972,0.018792748,0.35
48,5,1.2,8,0,2000,2000,1901,204.72990547942055,0.017872859,0.35
48,5,1.2,8,0,2000,2000,1796,204.4054551145765,0.030078653,0.35
48,5,1.2,8,0,2000,2000,1788,205.0922533433278,0.030653229,0.35
48,5,1.2,8,0,2000,2000,1876,204.40933013492162,0.018077692,0.35
48,5,1.2,8,0,2000,2000,1895,204.62685120947097,0.017906938,0.35
48,5,1.2,8,0,2000,2000,1801,204.21064461592564,0.028642641,0.35
48,5,1.2,8,0,2000,2000,1830,204.8694508239322,0.028780848,0.35
48,5,1.2,8,0,2000,2000,1890,204.19185246971975,0.016632533,0.35
48,5,1.2,8,0,2000,2000,1901,204.51575515237388,0.01789669,0.35
48,5,1.2,8,0,2000,2000,1823,204.20393682046458,0.0276616,0.35
48,5,1.2,8,0,2000,2000,1846,204.69716394788955,0.027252099,0.35
48,5,1.2,8,0,2000,2000,1897,204.08134440405104,0.016794115,0.35
48,5,1.2,8,0,2000,2000,1896,204.3455140257835,0.015368927,0.35
48,5,1.2,8,0,2000,2000,1813,204.03520673191284,0.026091548,0.35
48,5,1.2,8,0,2000,2000,1859,204.50037622959354,0.025662625,0.35
48,5,1.2,8,0,2000,2000,1923,203.89420341465205,0.015949959,0.35
48,5,1.2,8,0,2000,2000,1910,204.11555119314193,0.016644472,0.35
48,5,1.2,8,0,2000,2000,1839,203.84155945628484,0.025797151,0.35
48,5,1.2,8,0,2000,2000,1863,204.29561736372844,0.027165623,0.35
48,5,1.2,8,0,2000,2000,1900,203.2887356604576,0.020692209,0.35
48,5,1.2,8,0,2000,2000,926,203.0397466437022,0.48200652,0.35
48,5,1.2,8,0,2000,2000,1109,180.81297918493485,0.3899427,0.35
48,5,1.2,8,0,2000,2000,1194,183.32408936563073,0.34297103,0.35
48,5,1.2,8,0,2000,2000,1362,175.34286976585386,0.21428302,0.35
48,5,1.2,8,0,2000,2000,967,181.36209060642454,0.75190175,0.35
48,5,1.2,8,0,2000,2000,811,181.6296641283565,2.2511573,0.35
48,5,1.2,8,0,2000,2000,906,190.14914688411287,1.3090905,0.35
48,5,1.2,8,0,2000,2000,286,174.62000954893958,5.4246116,0.35
48,5,1.2,8,0,2000,2000,249,184.05424045815994,5.44352,0.34
48,5,1.2,8,0,2000,2000,256,180.61796212052235,5.2594023,0.33
48,5,1.2,8,0,2000,2000,269,192.46959631343427,4.3211517,0.32
48,5,1.2,8,0,2000,2000,517,163.3614549178123,2.3298879,0.32
48,5,1.2,8,0,2000,2000,472,170.14484642994142,2.3962567,0.32
48,5,1.2,8,0,2000,2000,484,165.1087823072645,2.4737446,0.32
48,5,1.2,8,0,2000,2000,634,187.05420776662825,1.7280152,0.32
48,5,1.2,8,0,2000,2000,1011,168.16991453382704,0.7300913,0.31
48,5,1.2,8,0,2000,2000,750,168.8688701542218,1.2936549,0.31
48,5,1.2,8,0,2000,2000,946,170.931015606308,0.86947143,0.32
48,5,1.2,8,0,2000,2000,854,181.9273891031901,0.67813927,0.32
48,5,1.2,8,0,2000,2000,934,168.7923788464758,0.45432994,0.32
48,5,1.2,8,0,2000,2000,1034,171.47218093155752,0.5317065,0.32
48,5,1.2,8,0,2000,2000,1376,166.3909211845292,0.3067832,0.32
48,5,1.2,8,0,2000,2000,1105,180.3268749667698,0.5076989,0.32
48,5,1.2,8,0,2000,2000,1360,172.27445308159722,0.30575567,0.32
48,5,1.2,8,0,2000,2000,1352,171.31845049218072,0.25322735,0.32
48,5,1.2,8,0,2000,2000,1380,170.64490873057053,0.28829414,0.32
48,5,1.2,8,0,2000,2000,1662,180.40771798654131,0.12433524,0.32
48,5,1.2,8,0,2000,2000,1825,177.00613606685002,0.05908696,0.32
48,5,1.2,8,0,2000,2000,1835,175.14088867008422,0.05810255,0.32
48,5,1.2,8,0,2000,2000,1772,175.9812532276472,0.08182955,0.32
48,5,1.2,8,0,2000,2000,1721,179.3831184283786,0.084602125,0.32
48,5,1.2,8,0,2000,2000,1859,177.3267805595292,0.030242879,0.32
48,5,1.2,8,0,2000,2000,1866,177.24761710166936,0.034557592,0.32
48,5,1.2,8,0,2000,2000,1639,176.9673990190188,0.1318111,0.32
