patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1749,1279.6391289023434,0.03105032,0.31
48,5,1.2,8,0,2000,2000,1845,1285.4446064390524,0.029003918,0.31
48,5,1.2,8,0,2000,2000,1824,1285.469845456631,0.02920409,0.31
48,5,1.2,8,0,2000,2000,1822,1285.9884309194435,0.028804367,0.31
48,5,1.2,8,0,2000,2000,1878,1287.7025256261618,0.028062377,0.31
48,5,1.2,8,0,2000,2000,1872,1289.6042131702739,0.028340362,0.31
48,5,1.2,8,0,2000,2000,1854,1291.478140110928,0.02789475,0.31
48,5,1.2,8,0,2000,2000,1826,1290.3865130798347,0.028157447,0.31
48,5,1.2,8,0,2000,2000,1881,1287.899641649375,0.027856644,0.31
48,5,1.2,8,0,2000,2000,1761,1288.2870220505365,0.030151691,0.31
48,5,1.2,8,0,2000,2000,1770,1283.1805661652734,0.030214868,0.31
48,5,1.2,8,0,2000,2000,1887,1288.7863187453029,0.028344994,0.31
48,5,1.2,8,0,2000,2000,1855,1286.7929101815528,0.027515508,0.31
48,5,1.2,8,0,2000,2000,1838,1285.987901174844,0.02832822,0.31
48,5,1.2,8,0,2000,2000,1893,1290.1838186058983,0.02797207,0.31
48,5,1.2,8,0,2000,2000,1875,1290.5045668199607,0.029240564,0.31
48,5,1.2,8,0,2000,2000,1855,1290.1944862762114,0.029395731,0.31
48,5,1.2,8,0,2000,2000,1839,1289.627665491836,0.027728733,0.31
48,5,1.2,8,0,2000,2000,1879,1289.3525320388185,0.027615637,0.31
48,5,1.2,8,0,2000,2000,1802,1288.0761378356929,0.030061211,0.31
48,5,1.2,8,0,2000,2000,1774,1284.5995731335054,0.03147175,0.31
48,5,1.2,8,0,2000,2000,1857,1286.0518672790529,0.027452642,0.31
48,5,1.2,8,0,2000,2000,1853,1285.933945621094,0.028580973,0.31
48,5,1.2,8,0,2000,2000,1862,1284.062023093506,0.02723617,0.31
48,5,1.2,8,0,2000,2000,1873,1284.4944609296488,0.0263591,0.31
48,5,1.2,8,0,2000,2000,1865,1286.2024933743749,0.027406964,0.31
48,5,1.2,8,0,2000,2000,1847,1287.220883294375,0.027789205,0.31
48,5,1.2,8,0,2000,2000,1854,1285.5762151483984,0.027757429,0.31
48,5,1.2,8,0,2000,2000,1869,1286.365486944336,0.026257208,0.31
48,5,1.2,8,0,2000,2000,1796,1285.1338581632708,0.028570017,0.31
48,5,1.2,8,0,2000,2000,1773,1281.3373594130858,0.030178754,0.31
48,5,1.2,8,0,2000,2000,1861,1284.0044835537108,0.026896222,0.31
48,5,1.2,8,0,2000,2000,1851,1282.0140381983497,0.027859585,0.31
48,5,1.2,8,0,2000,2000,1844,1280.4014936905373,0.028032318,0.31
48,5,1.2,8,0,2000,2000,1871,1279.5815193327735,0.02892163,0.31
48,5,1.2,8,0,2000,2000,1873,1279.9815593637109,0.027052308,0.31
48,5,1.2,8,0,2000,2000,1863,1281.2112488725684,0.029150132,0.31
48,5,1.2,8,0,2000,2000,1853,1280.1364427126464,0.027911074,0.31
48,5,1.2,8,0,2000,2000,1884,1281.8043683163964,0.027315464,0.31
48,5,1.2,8,0,2000,2000,1806,1284.8080526310937,0.031486165,0.31
48,5,1.2,8,0,2000,2000,1778,1282.1014118402736,0.031324312,0.31
48,5,1.2,8,0,2000,2000,1865,1289.3834984135844,0.028215354,0.31
48,5,1.2,8,0,2000,2000,1841,1293.7388822097564,0.027507372,0.31
48,5,1.2,8,0,2000,2000,1845,1290.8868238943749,0.027899029,0.31
48,5,1.2,8,0,2000,2000,1880,1289.6773649843753,0.026739227,0.31
48,5,1.2,8,0,2000,2000,1870,1286.9176105983984,0.028950483,0.31
48,5,1.2,8,0,2000,2000,1846,1287.598325285586,0.028999923,0.31
48,5,1.2,8,0,2000,2000,1845,1286.176529433506,0.02882676,0.31
48,5,1.2,8,0,2000,2000,1854,1286.6046975382715,0.028038222,0.31
48,5,1.2,8,0,2000,2000,1770,1289.3653267905866,0.0308741,0.31
48,5,1.2,8,0,2000,2000,1783,1284.1060164140226,0.030451825,0.31
48,5,1.2,8,0,2000,2000,1877,1286.75961972335,0.029345917,0.31
48,5,1.2,8,0,2000,2000,1830,1283.4803795410053,0.028479343,0.31
48,5,1.2,8,0,2000,2000,1834,1285.078711181162,0.028712226,0.31
48,5,1.2,8,0,2000,2000,1855,1286.3383097116307,0.026894946,0.31
48,5,1.2,8,0,2000,2000,1858,1286.32753899,0.02871356,0.31
48,5,1.2,8,0,2000,2000,1845,1283.0592791396484,0.028078659,0.31
48,5,1.2,8,0,2000,2000,1792,1279.6881186596775,0.035865832,0.31
48,5,1.2,8,0,2000,2000,1787,1277.384784267344,0.029995725,0.31
48,5,1.2,8,0,2000,2000,1786,1273.720381142344,0.029731061,0.31
48,5,1.2,8,0,2000,2000,1873,1280.9223196228036,0.02797621,0.31
48,5,1.2,8,0,2000,2000,1838,1279.6593905781153,0.030819967,0.31
48,5,1.2,8,0,2000,2000,1856,1279.5799832917091,0.029776938,0.31
48,5,1.2,8,0,2000,2000,1883,1277.9524480699608,0.028360648,0.31
48,5,1.2,8,0,2000,2000,1874,1277.7296728550687,0.028218688,0.31
48,5,1.2,8,0,2000,2000,1861,1277.4075112785063,0.027158154,0.31
48,5,1.2,8,0,2000,2000,1847,1276.4664056943745,0.030186417,0.31
48,5,1.2,8,0,2000,2000,1874,1276.3185472296486,0.027837303,0.31
48,5,1.2,8,0,2000,2000,1804,1274.5351757096778,0.02929635,0.31
48,5,1.2,8,0,2000,2000,1774,1269.9585754808497,0.029431626,0.31
48,5,1.2,8,0,2000,2000,1869,1274.9531490077732,0.028530411,0.31
48,5,1.2,8,0,2000,2000,1829,1273.2385055538964,0.028254908,0.31
48,5,1.2,8,0,2000,2000,1845,1272.229111394375,0.028711544,0.31
48,5,1.2,8,0,2000,2000,1869,1270.6121654749606,0.027308032,0.31
48,5,1.2,8,0,2000,2000,1887,1268.5515731902246,0.026213333,0.31
48,5,1.2,8,0,2000,2000,1847,1268.805448397959,0.027169492,0.31
48,5,1.2,8,0,2000,2000,1852,1268.2444844243746,0.026394367,0.31
48,5,1.2,8,0,2000,2000,1885,1269.6773826174901,0.02722371,0.31
48,5,1.2,8,0,2000,2000,1783,1269.2761114475684,0.028411692,0.31
48,5,1.2,8,0,2000,2000,1769,1267.8128999963967,0.02837175,0.31
48,5,1.2,8,0,2000,2000,1865,1270.6029874912115,0.027004877,0.31
48,5,1.2,8,0,2000,2000,1841,1270.5322506714745,0.028332196,0.31
48,5,1.2,8,0,2000,2000,1858,1271.3598789474995,0.027935471,0.31
48,5,1.2,8,0,2000,2000,1896,1271.1236446435935,0.026076084,0.31
48,5,1.2,8,0,2000,2000,1895,1268.6003567699124,0.026969686,0.31
48,5,1.2,8,0,2000,2000,1868,1269.8656340050682,0.0271876,0.31
48,5,1.2,8,0,2000,2000,1865,1267.6821387634275,0.027592322,0.31
48,5,1.2,8,0,2000,2000,1872,1269.4846179985939,0.027803484,0.31
48,5,1.2,8,0,2000,2000,1776,1267.2870644548436,0.030592328,0.31
48,5,1.2,8,0,2000,2000,1795,1262.5049051768656,0.031025562,0.31
48,5,1.2,8,0,2000,2000,1869,1267.9757182944434,0.029496804,0.31
48,5,1.2,8,0,2000,2000,1821,1270.5931064443357,0.033452563,0.31
48,5,1.2,8,0,2000,2000,1812,1269.099699562412,0.033446245,0.31
48,5,1.2,8,0,2000,2000,1852,1269.834645224375,0.03454695,0.31
48,5,1.2,8,0,2000,2000,1874,1270.599341925381,0.030650724,0.31
48,5,1.2,8,0,2000,2000,1829,1269.7187763942868,0.033532236,0.31
48,5,1.2,8,0,2000,2000,1845,1270.1445226304586,0.03018833,0.31
48,5,1.2,8,0,2000,2000,1871,1270.5574780935056,0.031396065,0.31
48,5,1.2,8,0,2000,2000,1745,1270.5494833260839,0.03985374,0.31
48,5,1.2,8,0,2000,2000,1760,1268.2678440656157,0.034795944,0.31
48,5,1.2,8,0,2000,2000,1799,1271.7691630285055,0.05805237,0.31
48,5,1.2,8,0,2000,2000,1844,1271.1384967167867,0.03404425,0.31
48,5,1.2,8,0,2000,2000,1781,1271.0381173949122,0.046383064,0.31
48,5,1.2,8,0,2000,2000,1858,1268.4039698952245,0.029819977,0.31
48,5,1.2,8,0,2000,2000,1850,1268.5521630953024,0.02940256,0.31
48,5,1.2,8,0,2000,2000,1872,1267.1066329558982,0.029237067,0.31
48,5,1.2,8,0,2000,2000,1822,1267.0161079335937,0.03719307,0.31
48,5,1.2,8,0,2000,2000,1848,1264.2304672968355,0.03893705,0.31
48,5,1.2,8,0,2000,2000,1763,1263.6870107185935,0.037647285,0.31
48,5,1.2,8,0,2000,2000,1758,1260.7670945615237,0.035201076,0.31
48,5,1.2,8,0,2000,2000,1876,1265.6488829854588,0.027308224,0.31
48,5,1.2,8,0,2000,2000,1847,1266.084606921631,0.026876459,0.31
48,5,1.2,8,0,2000,2000,1868,1268.7818884381932,0.028821979,0.31
48,5,1.2,8,0,2000,2000,1841,1270.7006906402246,0.036351614,0.31
48,5,1.2,8,0,2000,2000,1874,1272.169009613037,0.034173716,0.31
48,5,1.2,8,0,2000,2000,1853,1271.198731820693,0.036550548,0.31
48,5,1.2,8,0,2000,2000,1860,1268.5303370585839,0.027630666,0.31
48,5,1.2,8,0,2000,2000,1874,1266.3959939581937,0.03101937,0.31
48,5,1.2,8,0,2000,2000,1791,1267.701989076524,0.028760366,0.31
48,5,1.2,8,0,2000,2000,1782,1262.3549643548433,0.03162989,0.31
48,5,1.2,8,0,2000,2000,1864,1270.0405457015233,0.032571975,0.31
48,5,1.2,8,0,2000,2000,1736,1270.4630505193747,0.063452534,0.31
48,5,1.2,8,0,2000,2000,1809,1270.3438573374606,0.041729208,0.31
48,5,1.2,8,0,2000,2000,1749,1269.6190844600005,0.071009554,0.31
48,5,1.2,8,0,2000,2000,1777,1269.286039929336,0.05974541,0.31
48,5,1.2,8,0,2000,2000,1706,1272.3038959128805,0.08082419,0.31
48,5,1.2,8,0,2000,2000,1613,1272.9278855761622,0.11277444,0.31
48,5,1.2,8,0,2000,2000,1722,1271.876005507461,0.07836514,0.31
48,5,1.2,8,0,2000,2000,1474,1270.033408610146,0.14021055,0.31
48,5,1.2,8,0,2000,2000,1748,1272.396108916836,0.066989854,0.31
48,5,1.2,8,0,2000,2000,1630,1275.4796729843752,0.12398693,0.31
