patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1809,480.2938916110937,0.03437945,0.28
48,5,1.2,8,0,2000,2000,1788,481.125319539834,0.033358537,0.28
48,5,1.2,8,0,2000,2000,1783,480.2924383843652,0.032343846,0.28
48,5,1.2,8,0,2000,2000,1783,480.5154257514747,0.035062797,0.28
48,5,1.2,8,0,2000,2000,1797,480.77961992374037,0.03388087,0.28
48,5,1.2,8,0,2000,2000,1789,480.8514919777733,0.033995297,0.28
48,5,1.2,8,0,2000,2000,1781,480.3576915373437,0.034320164,0.28
48,5,1.2,8,0,2000,2000,1800,480.68335108545887,0.03420452,0.28
48,5,1.2,8,0,2000,2000,1784,480.89152644311525,0.0347572,0.28
48,5,1.2,8,0,2000,2000,1770,480.58975702069347,0.034471184,0.28
48,5,1.2,8,0,2000,2000,1794,481.22663874295904,0.032731526,0.28
48,5,1.2,8,0,2000,2000,1795,480.3392350585938,0.03540909,0.28
48,5,1.2,8,0,2000,2000,1777,481.0189948710058,0.033266515,0.28
48,5,1.2,8,0,2000,2000,1800,481.01773590609383,0.033801757,0.28
48,5,1.2,8,0,2000,2000,1810,480.7298513610838,0.03433545,0.28
48,5,1.2,8,0,2000,2000,1792,481.0553074411622,0.03401549,0.28
48,5,1.2,8,0,2000,2000,1788,480.8781673398437,0.033469405,0.28
48,5,1.2,8,0,2000,2000,1780,481.25628559214846,0.034995973,0.28
48,5,1.2,8,0,2000,2000,1807,481.1358822815528,0.033591155,0.28
48,5,1.2,8,0,2000,2000,1808,480.6398759030371,0.033907782,0.28
48,5,1.2,8,0,2000,2000,1800,480.8517196901466,0.03424443,0.28
48,5,1.2,8,0,2000,2000,1771,480.98291030589843,0.033311144,0.28
48,5,1.2,8,0,2000,2000,1795,481.5981986046486,0.033435903,0.28
48,5,1.2,8,0,2000,2000,1784,481.25163887764654,0.03331574,0.28
48,5,1.2,8,0,2000,2000,1788,481.07326638609385,0.033810496,0.28
48,5,1.2,8,0,2000,2000,1794,482.06011648121097,0.03271468,0.28
48,5,1.2,8,0,2000,2000,1789,481.4571353975,0.03272938,0.28
48,5,1.2,8,0,2000,2000,1789,481.9171829722559,0.034681946,0.28
48,5,1.2,8,0,2000,2000,1791,481.8137511911621,0.034544162,0.28
48,5,1.2,8,0,2000,2000,1785,481.51048845858395,0.03304829,0.28
48,5,1.2,8,0,2000,2000,1783,481.7369106265234,0.03399971,0.28
48,5,1.2,8,0,2000,2000,1800,481.42570028788083,0.034250658,0.28
48,5,1.2,8,0,2000,2000,1785,481.31560112100595,0.03469603,0.28
