patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,1847,363.58423746714845,0.028765595,0.23
48,5,1.2,8,0,2000,2000,1848,364.29220303686515,0.02903946,0.23
48,5,1.2,8,0,2000,2000,1856,364.139381219375,0.028434463,0.23
48,5,1.2,8,0,2000,2000,1869,364.1987093601465,0.027907846,0.23
48,5,1.2,8,0,2000,2000,1851,363.48792186561536,0.027551351,0.23
48,5,1.2,8,0,2000,2000,1838,363.4231562021484,0.02753003,0.23
48,5,1.2,8,0,2000,2000,1839,363.70382185155273,0.028508848,0.23
48,5,1.2,8,0,2000,2000,1848,363.86823436983406,0.028424265,0.23
48,5,1.2,8,0,2000,2000,1849,363.3948124435937,0.028659891,0.23
48,5,1.2,8,0,2000,2000,1848,363.941915591006,0.028873894,0.23
48,5,1.2,8,0,2000,2000,1849,363.7576436993751,0.027518868,0.23
48,5,1.2,8,0,2000,2000,1835,364.3146092976466,0.028504657,0.23
48,5,1.2,8,0,2000,2000,1858,364.06527491734386,0.028137,0.23
48,5,1.2,8,0,2000,2000,1852,364.1084686140234,0.027598072,0.23
48,5,1.2,8,0,2000,2000,1845,363.5794279522558,0.028113581,0.23
48,5,1.2,8,0,2000,2000,1839,363.71444982984366,0.02891181,0.23
48,5,1.2,8,0,2000,2000,1852,363.8481151651465,0.027773831,0.23
48,5,1.2,8,0,2000,2000,1846,363.8456186140233,0.02822071,0.23
48,5,1.2,8,0,2000,2000,1839,363.6227871693751,0.02789961,0.23
48,5,1.2,8,0,2000,2000,1851,363.1542216342872,0.029470634,0.23
48,5,1.2,8,0,2000,2000,1864,363.1006527687403,0.030684683,0.23
48,5,1.2,8,0,2000,2000,1869,363.69877161553705,0.028671293,0.23
48,5,1.2,8,0,2000,2000,1858,363.25408730308584,0.02891194,0.23
48,5,1.2,8,0,2000,2000,1844,363.3224527907715,0.031731166,0.23
48,5,1.2,8,0,2000,2000,1847,363.62789358999987,0.03155916,0.23
48,5,1.2,8,0,2000,2000,1845,363.49717765663087,0.029931631,0.23
48,5,1.2,8,0,2000,2000,1849,362.9867153190527,0.028579539,0.23
48,5,1.2,8,0,2000,2000,1849,363.135462394375,0.028057592,0.23
48,5,1.2,8,0,2000,2000,1855,363.7884654820214,0.028446354,0.23
48,5,1.2,8,0,2000,2000,1864,363.1423748399999,0.027537096,0.23
48,5,1.2,8,0,2000,2000,1839,363.5169465620998,0.028421937,0.23
48,5,1.2,8,0,2000,2000,1856,363.7677966808496,0.029392593,0.23
48,5,1.2,8,0,2000,2000,1850,363.87499639803707,0.028753117,0.23
48,5,1.2,8,0,2000,2000,1847,363.713234003662,0.028246472,0.23
48,5,1.2,8,0,2000,2000,1858,363.07821531905273,0.027045649,0.23
48,5,1.2,8,0,2000,2000,1869,363.47179012178714,0.029546771,0.23
48,5,1.2,8,0,2000,2000,1863,363.6140246324609,0.027738446,0.23
48,5,1.2,8,0,2000,2000,1865,363.3602151902246,0.027865017,0.23
48,5,1.2,8,0,2000,2000,1861,362.8613027145996,0.027858257,0.23
48,5,1.2,8,0,2000,2000,1851,363.3405873246484,0.029837472,0.23
48,5,1.2,8,0,2000,2000,1839,362.66326551319344,0.031840283,0.23
48,5,1.2,8,0,2000,2000,1846,362.9206811993749,0.029459974,0.23
48,5,1.2,8,0,2000,2000,1845,362.8190279081933,0.029172067,0.23
48,5,1.2,8,0,2000,2000,1837,363.23955908272455,0.029296407,0.23
48,5,1.2,8,0,2000,2000,1855,363.5473560302735,0.030603098,0.23
48,5,1.2,8,0,2000,2000,1832,362.9437373246485,0.030173121,0.23
48,5,1.2,8,0,2000,2000,1848,363.2494185949609,0.028584464,0.23
48,5,1.2,8,0,2000,2000,1847,363.46610918084957,0.028632913,0.23
48,5,1.2,8,0,2000,2000,1839,362.843906041836,0.029194312,0.23
48,5,1.2,8,0,2000,2000,1857,363.280774906211,0.02880891,0.23
48,5,1.2,8,0,2000,2000,1850,362.79973410264654,0.028198874,0.23
48,5,1.2,8,0,2000,2000,1846,363.02044052928716,0.030433426,0.23
48,5,1.2,8,0,2000,2000,1841,362.90221548670894,0.034427926,0.23
48,5,1.2,8,0,2000,2000,1722,362.95500296749026,0.08043289,0.23
48,5,1.2,8,0,2000,2000,1841,363.2797308974611,0.035760466,0.23
48,5,1.2,8,0,2000,2000,1866,363.4313653259278,0.033434223,0.23
48,5,1.2,8,0,2000,2000,1834,363.79272447437495,0.038580477,0.23
48,5,1.2,8,0,2000,2000,1809,363.83497414437494,0.045924187,0.23
48,5,1.2,8,0,2000,2000,1824,363.44728325272456,0.040096804,0.23
48,5,1.2,8,0,2000,2000,1818,362.9071455163183,0.037392676,0.23
48,5,1.2,8,0,2000,2000,1833,363.4905237623436,0.038798086,0.23
48,5,1.2,8,0,2000,2000,1801,363.1357364999999,0.05029377,0.23
48,5,1.2,8,0,2000,2000,1747,362.6834886911622,0.071221545,0.23
48,5,1.2,8,0,2000,2000,1816,362.96598606000003,0.044688754,0.23
48,5,1.2,8,0,2000,2000,1832,363.08896742749994,0.03138781,0.23
48,5,1.2,8,0,2000,2000,1839,362.88012068553707,0.0310095,0.23
48,5,1.2,8,0,2000,2000,1850,363.0810987623437,0.027715014,0.23
48,5,1.2,8,0,2000,2000,1717,362.957545111084,0.08027744,0.23
48,5,1.2,8,0,2000,2000,1769,363.003539352334,0.062548935,0.23
48,5,1.2,8,0,2000,2000,1594,362.9769209665528,0.1313337,0.23
48,5,1.2,8,0,2000,2000,1558,362.439280819336,0.14225267,0.23
48,5,1.2,8,0,2000,2000,1555,364.6984936843359,0.15151697,0.23
48,5,1.2,8,0,2000,2000,1475,365.5096522284278,0.17499392,0.23
48,5,1.2,8,0,2000,2000,1500,364.7099284652735,0.17975985,0.23
48,5,1.2,8,0,2000,2000,1603,364.3173296035058,0.14922635,0.23
48,5,1.2,8,0,2000,2000,1698,364.29770135484375,0.12959336,0.23
48,5,1.2,8,0,2000,2000,1724,364.5291017077735,0.12003743,0.23
48,5,1.2,8,0,2000,2000,1715,365.20744077437496,0.12257445,0.23
48,5,1.2,8,0,2000,2000,1643,365.274620366709,0.138335,0.23
48,5,1.2,8,0,2000,2000,1625,364.55812149600575,0.14959061,0.23
48,5,1.2,8,0,2000,2000,1578,364.67202499859377,0.16997613,0.23
48,5,1.2,8,0,2000,2000,1567,364.19670504000004,0.17259006,0.23
48,5,1.2,8,0,2000,2000,1564,364.46151338436505,0.17658359,0.23
48,5,1.2,8,0,2000,2000,1588,364.2019106775,0.18438748,0.23
48,5,1.2,8,0,2000,2000,1564,364.95450499839836,0.19407773,0.23
48,5,1.2,8,0,2000,2000,1546,367.4636923840234,0.20315416,0.23
48,5,1.2,8,0,2000,2000,1560,369.3372434121485,0.20959485,0.23
48,5,1.2,8,0,2000,2000,1525,370.740406006211,0.21703555,0.23
48,5,1.2,8,0,2000,2000,1555,370.92291699437493,0.22265993,0.23
48,5,1.2,8,0,2000,2000,1518,370.5066516543358,0.22927585,0.23
48,5,1.2,8,0,2000,2000,1491,369.12443164374025,0.24594626,0.23
48,5,1.2,8,0,2000,2000,1457,370.407579734336,0.25738823,0.23
48,5,1.2,8,0,2000,2000,1457,372.3099281475,0.2675977,0.23
48,5,1.2,8,0,2000,2000,1413,373.44394199937506,0.28529802,0.23
48,5,1.2,8,0,2000,2000,1399,374.4214870499121,0.2925014,0.23
48,5,1.2,8,0,2000,2000,1414,375.728340468711,0.29559827,0.23
48,5,1.2,8,0,2000,2000,1359,378.17155762152345,0.30745724,0.23
48,5,1.2,8,0,2000,2000,1383,377.5444913310936,0.3113381,0.23
48,5,1.2,8,0,2000,2000,1373,375.4622189123437,0.31994015,0.23
48,5,1.2,8,0,2000,2000,1395,375.2533959191308,0.32485786,0.23
48,5,1.2,8,0,2000,2000,1405,377.3868917135839,0.33257377,0.23
48,5,1.2,8,0,2000,2000,1361,379.98761046358396,0.34465373,0.23
48,5,1.2,8,0,2000,2000,1357,384.8971904874611,0.3480449,0.23
48,5,1.2,8,0,2000,2000,1317,384.0664556038184,0.3565715,0.23
48,5,1.2,8,0,2000,2000,1308,383.3891590310937,0.3621153,0.23
48,5,1.2,8,0,2000,2000,1301,382.9759436637111,0.36214426,0.23
48,5,1.2,8,0,2000,2000,1314,384.392115551084,0.37011978,0.23
48,5,1.2,8,0,2000,2000,1322,386.45646440811527,0.36992037,0.23
48,5,1.2,8,0,2000,2000,1313,387.95806447027337,0.3697046,0.23
48,5,1.2,8,0,2000,2000,1321,389.91732726944343,0.37266672,0.23
48,5,1.2,8,0,2000,2000,1314,391.8936215261619,0.36483386,0.23
48,5,1.2,8,0,2000,2000,1424,392.1086968745215,0.3601486,0.23
48,5,1.2,8,0,2000,2000,1433,396.92090512109365,0.35679954,0.23
48,5,1.2,8,0,2000,2000,1450,399.72522895483405,0.35413173,0.23
48,5,1.2,8,0,2000,2000,1438,399.8839814360939,0.3521803,0.23
48,5,1.2,8,0,2000,2000,1431,401.2478101229589,0.3606129,0.23
48,5,1.2,8,0,2000,2000,1410,402.1106533092871,0.36544645,0.23
48,5,1.2,8,0,2000,2000,1412,402.59559733871106,0.36520934,0.23
48,5,1.2,8,0,2000,2000,1386,404.2592142260841,0.37557417,0.23
48,5,1.2,8,0,2000,2000,1371,406.5587657648338,0.3811009,0.23
48,5,1.2,8,0,2000,2000,1340,410.1828066833497,0.39488417,0.23
48,5,1.2,8,0,2000,2000,1311,415.2677143096778,0.3978299,0.23
48,5,1.2,8,0,2000,2000,1353,415.184006,0.40310663,0.23
48,5,1.2,8,0,2000,2000,1309,414.0727570652735,0.4077289,0.24
48,5,1.2,8,0,2000,2000,1307,416.5986766320216,0.4274972,0.24
48,5,1.2,8,0,2000,2000,1206,421.3243405811622,0.46622714,0.24
48,5,1.2,8,0,2000,2000,1161,425.20784677928697,0.51092803,0.24
48,5,1.2,8,0,2000,2000,1169,423.5282836364747,0.5428036,0.24
48,5,1.2,8,0,2000,2000,1063,429.2707125734277,0.5766663,0.24
48,5,1.2,8,0,2000,2000,993,433.64120180967774,0.6859673,0.24
48,5,1.2,8,0,2000,2000,979,434.80550216913093,0.7283964,0.24
48,5,1.2,8,0,2000,2000,834,437.71228180433593,0.7986808,0.24
48,5,1.2,8,0,2000,2000,931,445.96496532750007,0.85248876,0.24
48,5,1.2,8,0,2000,2000,962,452.4456922120996,0.7378059,0.24
48,5,1.2,8,0,2000,2000,1014,451.5994649495214,0.66852164,0.24
48,5,1.2,8,0,2000,2000,1022,453.17156208558595,0.631008,0.24
48,5,1.2,8,0,2000,2000,1158,454.40211562334963,0.5728829,0.24
48,5,1.2,8,0,2000,2000,1157,462.6489635495997,0.60935354,0.24
48,5,1.2,8,0,2000,2000,862,462.072185019375,0.7708505,0.24
48,5,1.2,8,0,2000,2000,911,470.12387351464844,0.88284874,0.24
48,5,1.2,8,0,2000,2000,889,471.57498821280274,0.958575,0.24
48,5,1.2,8,0,2000,2000,907,478.96701901678694,1.0066804,0.24
48,5,1.2,8,0,2000,2000,926,482.9461280544433,1.0134048,0.24
48,5,1.2,8,0,2000,2000,757,487.7329312387109,1.0149965,0.24
48,5,1.2,8,0,2000,2000,957,496.38586771084965,1.0124882,0.24
48,5,1.2,8,0,2000,2000,922,499.6062125302734,0.9595759,0.24
48,5,1.2,8,0,2000,2000,898,509.5784815099999,0.9477798,0.25
48,5,1.2,8,0,2000,2000,996,510.5032165862403,0.93221736,0.25
48,5,1.2,8,0,2000,2000,1073,521.6560350810937,0.948745,0.25
48,5,1.2,8,0,2000,2000,1141,525.2339843831934,0.9562407,0.25
48,5,1.2,8,0,2000,2000,993,535.2972821899999,0.9758721,0.25
48,5,1.2,8,0,2000,2000,1196,545.0089523253027,0.982391,0.25
48,5,1.2,8,0,2000,2000,1116,552.2837253975683,1.0054383,0.25
48,5,1.2,8,0,2000,2000,1150,560.7521919046484,1.0346391,0.25
48,5,1.2,8,0,2000,2000,1165,564.3500634704588,1.068229,0.25
48,5,1.2,8,0,2000,2000,1137,573.5926159405371,1.1063803,0.25
48,5,1.2,8,0,2000,2000,1110,584.5164939668358,1.1554585,0.25
48,5,1.2,8,0,2000,2000,1103,594.717891734375,1.2195469,0.25
48,5,1.2,8,0,2000,2000,1133,597.4089631170993,1.3006401,0.25
48,5,1.2,8,0,2000,2000,1046,608.8610841026465,1.3863477,0.25
48,5,1.2,8,0,2000,2000,1115,619.8985790927734,1.4764926,0.25
48,5,1.2,8,0,2000,2000,1130,624.1796216155371,1.5612841,0.25
48,5,1.2,8,0,2000,2000,1143,630.5639490735936,1.640257,0.26
48,5,1.2,8,0,2000,2000,1073,642.9385866327734,1.7306871,0.26
