patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,inliers,blur,flow,contrast
48,5,1.2,8,0,2000,2000,705,170.70890223608396,1.1830254,0.2
48,5,1.2,8,0,2000,2000,784,168.09272849027346,1.0884482,0.2
48,5,1.2,8,0,2000,2000,772,166.96895222484372,1.1545922,0.2
48,5,1.2,8,0,2000,2000,802,165.6454914808984,1.087857,0.2
48,5,1.2,8,0,2000,2000,745,163.79845999964846,1.1171068,0.2
48,5,1.2,8,0,2000,2000,772,162.396808394375,1.1142938,0.2
48,5,1.2,8,0,2000,2000,836,161.24046431527347,1.0895259,0.2
48,5,1.2,8,0,2000,2000,789,160.06412060609375,1.1226499,0.2
48,5,1.2,8,0,2000,2000,874,158.45448149561523,1.1069698,0.2
48,5,1.2,8,0,2000,2000,869,157.45881432967772,1.0741222,0.2
48,5,1.2,8,0,2000,2000,818,156.20999059808594,1.0276666,0.2
48,5,1.2,8,0,2000,2000,947,155.3199388109277,1.0164868,0.2
48,5,1.2,8,0,2000,2000,868,155.0522342905371,1.0151014,0.2
48,5,1.2,8,0,2000,2000,918,154.48775760484378,0.9884992,0.2
48,5,1.2,8,0,2000,2000,845,154.4532089645996,0.9726667,0.19
48,5,1.2,8,0,2000,2000,877,153.8719454870215,0.94211876,0.2
48,5,1.2,8,0,2000,2000,877,153.14339607464842,0.93790907,0.2
48,5,1.2,8,0,2000,2000,920,152.07355939359374,0.9318626,0.19
48,5,1.2,8,0,2000,2000,890,150.99633849522462,0.9282733,0.2
48,5,1.2,8,0,2000,2000,917,150.13859889750006,0.8904115,0.19
48,5,1.2,8,0,2000,2000,957,150.14327907437496,0.8628829,0.19
48,5,1.2,8,0,2000,2000,991,150.284480794375,0.8293142,0.19
48,5,1.2,8,0,2000,2000,996,149.97089855999997,0.81249017,0.19
48,5,1.2,8,0,2000,2000,984,150.3778523740234,0.7730869,0.19
48,5,1.2,8,0,2000,2000,1014,149.41860414750002,0.7298491,0.19
48,5,1.2,8,0,2000,2000,908,150.14245811397456,0.720408,0.19
48,5,1.2,8,0,2000,2000,1012,149.7061292678809,0.71219724,0.19
48,5,1.2,8,0,2000,2000,1009,149.03269935381843,0.7233858,0.19
48,5,1.2,8,0,2000,2000,976,149.01822770702154,0.68259746,0.19
48,5,1.2,8,0,2000,2000,1033,148.92076980249027,0.70552576,0.19
48,5,1.2,8,0,2000,2000,1061,149.28784686991213,0.68215805,0.19
48,5,1.2,8,0,2000,2000,1014,148.67950177264655,0.6632671,0.19
48,5,1.2,8,0,2000,2000,922,149.1816766827734,0.7048841,0.19
48,5,1.2,8,0,2000,2000,1084,148.87726379937496,0.6229641,0.19
48,5,1.2,8,0,2000,2000,955,149.21469115772462,0.6993643,0.19
48,5,1.2,8,0,2000,2000,1056,149.3730299183984,0.58152014,0.17
48,5,1.2,8,0,2000,2000,1066,149.20041675858397,0.5869016,0.19
48,5,1.2,8,0,2000,2000,1045,150.84311475,0.62157124,0.16
48,5,1.2,8,0,2000,2000,1006,152.74552838714845,0.5672875,0.15
48,5,1.2,8,0,2000,2000,1029,151.08156057655276,0.62951815,0.18
48,5,1.2,8,0,2000,2000,1040,158.59004325311523,0.5896912,0.16
48,5,1.2,8,0,2000,2000,951,151.69771454750003,0.61273086,0.19
48,5,1.2,8,0,2000,2000,1045,153.4019213812403,0.5888756,0.16
48,5,1.2,8,0,2000,2000,1047,160.49862604959955,0.5850648,0.15
48,5,1.2,8,0,2000,2000,1082,154.86806504834962,0.5867587,0.16
48,5,1.2,8,0,2000,2000,1011,157.67138697437508,0.5607216,0.16
48,5,1.2,8,0,2000,2000,976,158.29664062499023,0.6029271,0.18
48,5,1.2,8,0,2000,2000,1057,155.3622141543359,0.545398,0.19
48,5,1.2,8,0,2000,2000,1025,158.7457145475,0.5964545,0.16
48,5,1.2,8,0,2000,2000,985,154.854934524375,0.5706669,0.2
