patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
31,14,1.2,8,0,1811,1811,1275,387.39139277270544,0.05606738
31,14,1.2,8,0,1780,1780,1220,353.15604974362026,0.034123383
31,14,1.2,8,0,1795,1795,1040,344.5655947107126,0.08525438
31,14,1.2,8,0,1718,1718,1326,300.1445512059109,0.05916833
31,14,1.2,8,0,1723,1723,1604,293.7886383804442,0.038867254
31,14,1.2,8,0,1718,1718,1589,294.47567114569995,0.036895413
31,14,1.2,8,0,1712,1712,1349,293.5747550129598,0.060987182
31,14,1.2,8,0,1730,1730,1015,299.6568787655066,0.14694925
31,14,1.2,8,0,1671,1671,1454,258.792766566898,0.07048001
31,14,1.2,8,0,1671,1671,1375,260.0593727086215,0.053980704
31,14,1.2,8,0,1674,1674,1355,258.5375927008389,0.046673924
31,14,1.2,8,0,1663,1663,1272,260.9309743182789,0.06404699
31,14,1.2,8,0,1649,1649,1578,253.74158677164849,0.03693609
31,14,1.2,8,0,1655,1655,1558,254.73703861823847,0.041043792
31,14,1.2,8,0,1652,1652,1247,254.24710257757994,0.062687136
31,14,1.2,8,0,1657,1657,1199,261.0938295478266,0.06712251
31,14,1.2,8,0,1651,1651,1473,251.98570838177838,0.045908093
31,14,1.2,8,0,1646,1646,1433,252.69532089167691,0.047888435
31,14,1.2,8,0,1639,1639,1216,251.84384486561964,0.058087524
31,14,1.2,8,0,1649,1649,1230,259.0133888623518,0.059154004
31,14,1.2,8,0,1663,1663,1483,251.69961762938104,0.042595297
31,14,1.2,8,0,1661,1661,1459,251.85816470137584,0.04374664
31,14,1.2,8,0,1663,1663,1284,250.85035277897902,0.057514634
31,14,1.2,8,0,1665,1665,1239,257.75771885040757,0.057722583
31,14,1.2,8,0,1663,1663,1458,250.71203341577825,0.046255592
31,14,1.2,8,0,1651,1651,1417,251.22387839326404,0.04703175
31,14,1.2,8,0,1651,1651,1273,249.96377799689884,0.05855615
31,14,1.2,8,0,1653,1653,1252,256.42145700387425,0.05968334
31,14,1.2,8,0,1656,1656,1399,249.87057539948947,0.047212664
31,14,1.2,8,0,1650,1650,1337,250.22246777499586,0.04968361
31,14,1.2,8,0,1645,1645,1298,249.3249006089481,0.056262273
31,14,1.2,8,0,1660,1660,1256,255.38008073132232,0.05766254
31,14,1.2,8,0,1651,1651,1320,249.06223632869387,0.04992164
31,14,1.2,8,0,1656,1656,1347,249.21430366739716,0.049827598
