flourish/DatasetA
parameter,setting,mean,min

FAST Threshold,5,229.9,167
FAST Threshold,10,229.9,167
FAST Threshold,20,229.9,167
FAST Threshold,40,219.9,139

Number of features,500,229.9,167
Number of features,1000,436.7,339
Number of features,2000,820.9,627
Number of features,3000,1177.8,924

Number of levels,4,223.7,157
Number of levels,8,229.9,167
Number of levels,12,232.3,168
Number of levels,16,218.9,155

Scale factor,1.1,209.8,149
Scale factor,1.2,229.9,167
Scale factor,1.3,234.3,174
Scale factor,1.4,215.3,154

Patch size,6,102.9,55
Patch size,12,139.9,81
Patch size,24,202.9,133
Patch size,48,258.5,198


flourish/DatasetB
parameter,setting,mean,min

FAST Threshold,5,229.4,92
FAST Threshold,10,229.4,92
FAST Threshold,20,229.4,92
FAST Threshold,40,219.9,90

Number of features,500,229.4,92
Number of features,1000,433.1,188
Number of features,2000,812.8,375
Number of features,3000,1165.1,592

Number of levels,4,222.8,83
Number of levels,8,229.4,92
Number of levels,12,231.3,100
Number of levels,16,218.1,91

Scale factor,1.1,206.4,71
Scale factor,1.2,229.4,92
Scale factor,1.3,234.6,98
Scale factor,1.4,216.0,76

Patch size,6,99.7,54
Patch size,12,135.9,60
Patch size,24,200.7,85
Patch size,48,256.9,74


