own/mc0006_20220523_123903_barn_rainy_corrected
parameter,setting,mean,min

FAST Threshold,5,223.9,68
FAST Threshold,10,223.5,68
FAST Threshold,20,207.5,39
FAST Threshold,40,56.9,1

Number of features,500,207.5,39
Number of features,1000,344.9,39
Number of features,2000,442.1,39
Number of features,3000,453.3,39

Number of levels,4,211.1,38
Number of levels,8,207.5,39
Number of levels,12,189.1,39
Number of levels,16,179.1,39

Scale factor,1.1,184.7,38
Scale factor,1.2,207.5,39
Scale factor,1.3,203.2,35
Scale factor,1.4,197.5,32

Patch size,6,139.7,76
Patch size,12,163.0,67
Patch size,24,199.1,42
Patch size,48,192.4,31


own/mc0006_20220523_123903_grass_rainy_corrected
parameter,setting,mean,min

FAST Threshold,5,48.2,10
FAST Threshold,10,48.0,9
FAST Threshold,20,32.6,3
FAST Threshold,40,14.9,0

Number of features,500,32.6,3
Number of features,1000,47.5,3
Number of features,2000,65.6,3
Number of features,3000,75.8,3

Number of levels,4,35.7,3
Number of levels,8,32.6,3
Number of levels,12,30.1,2
Number of levels,16,29.0,1

Scale factor,1.1,36.4,5
Scale factor,1.2,32.6,3
Scale factor,1.3,28.6,2
Scale factor,1.4,27.8,1

Patch size,6,44.5,14
Patch size,12,35.7,9
Patch size,24,34.7,7
Patch size,48,21.9,1


own/mc0006_20220523_123903_road_rainy_corrected
parameter,setting,mean,min

FAST Threshold,5,92.6,13
FAST Threshold,10,87.4,11
FAST Threshold,20,54.8,0
FAST Threshold,40,16.6,0

Number of features,500,54.8,0
Number of features,1000,71.7,0
Number of features,2000,79.3,0
Number of features,3000,79.6,0

Number of levels,4,56.2,0
Number of levels,8,54.8,0
Number of levels,12,51.3,0
Number of levels,16,49.6,0

Scale factor,1.1,56.8,0
Scale factor,1.2,54.8,0
Scale factor,1.3,51.2,1
Scale factor,1.4,49.5,1

Patch size,6,73.8,3
Patch size,12,67.9,2
Patch size,24,64.2,2
Patch size,48,38.6,0


own/mc0006_20220523_232418_barn_dark_corrected
parameter,setting,mean,min

FAST Threshold,5,167.6,28
FAST Threshold,10,169.5,4
FAST Threshold,20,70.5,0
FAST Threshold,40,16.1,0

Number of features,500,70.5,0
Number of features,1000,71.6,0
Number of features,2000,71.6,0
Number of features,3000,71.6,0

Number of levels,4,60.6,0
Number of levels,8,70.5,0
Number of levels,12,70.8,0
Number of levels,16,70.0,0

Scale factor,1.1,65.7,0
Scale factor,1.2,70.5,0
Scale factor,1.3,70.2,0
Scale factor,1.4,66.8,0

Patch size,6,94.3,0
Patch size,12,92.2,0
Patch size,24,81.4,0
Patch size,48,52.4,0


own/mc0006_20220523_232418_grass_dark_corrected
parameter,setting,mean,min

FAST Threshold,5,22.3,1
FAST Threshold,10,15.9,0
FAST Threshold,20,5.6,0
FAST Threshold,40,5.2,0

Number of features,500,5.6,0
Number of features,1000,5.7,0
Number of features,2000,5.7,0
Number of features,3000,5.7,0

Number of levels,4,4.2,0
Number of levels,8,5.6,0
Number of levels,12,5.7,0
Number of levels,16,5.7,0

Scale factor,1.1,5.1,0
Scale factor,1.2,5.6,0
Scale factor,1.3,5.1,0
Scale factor,1.4,4.9,0

Patch size,6,11.9,0
Patch size,12,9.1,0
Patch size,24,7.4,0
Patch size,48,4.8,0


own/mc0006_20220523_232418_road_dark_corrected
parameter,setting,mean,min

FAST Threshold,5,117.3,20
FAST Threshold,10,119.1,7
FAST Threshold,20,84.6,0
FAST Threshold,40,17.5,0

Number of features,500,84.6,0
Number of features,1000,111.3,0
Number of features,2000,112.3,0
Number of features,3000,112.3,0

Number of levels,4,81.8,0
Number of levels,8,84.6,0
Number of levels,12,80.3,0
Number of levels,16,76.9,0

Scale factor,1.1,74.2,0
Scale factor,1.2,84.6,0
Scale factor,1.3,84.1,0
Scale factor,1.4,81.9,0

Patch size,6,69.6,0
Patch size,12,76.2,0
Patch size,24,87.4,0
Patch size,48,76.8,0


own/mc0006_20220523_232418_grass_normal_corrected
parameter,setting,mean,min

FAST Threshold,5,40.2,2
FAST Threshold,10,40.2,2
FAST Threshold,20,36.1,2
FAST Threshold,40,20.2,0

Number of features,500,36.1,2
Number of features,1000,60.5,4
Number of features,2000,97.0,4
Number of features,3000,124.9,12

Number of levels,4,36.8,1
Number of levels,8,36.1,2
Number of levels,12,33.4,1
Number of levels,16,31.9,1

Scale factor,1.1,39.5,2
Scale factor,1.2,36.1,2
