rosario/sequence01
parameter,setting,mean,min

FAST Threshold,5,115.4,33
FAST Threshold,10,115.4,33
FAST Threshold,20,115.4,33
FAST Threshold,40,113.2,32

Number of features,500,115.4,33
Number of features,1000,209.7,58
Number of features,2000,376.0,96
Number of features,3000,521.8,128

Number of levels,4,107.0,30
Number of levels,8,115.4,33
Number of levels,12,113.0,30
Number of levels,16,107.0,24

Scale factor,1.1,103.6,26
Scale factor,1.2,115.4,33
Scale factor,1.3,115.6,27
Scale factor,1.4,111.2,29

Patch size,6,97.5,44
Patch size,12,93.1,36
Patch size,24,110.9,40
Patch size,48,110.4,18


rosario/sequence02
parameter,setting,mean,min

FAST Threshold,5,124.6,45
FAST Threshold,10,124.6,45
FAST Threshold,20,124.6,45
FAST Threshold,40,112.7,39

Number of features,500,124.6,45
Number of features,1000,224.6,82
Number of features,2000,391.6,154
Number of features,3000,531.1,214

Number of levels,4,104.0,34
Number of levels,8,124.6,45
Number of levels,12,120.0,44
Number of levels,16,113.9,44

Scale factor,1.1,104.0,37
Scale factor,1.2,124.6,45
Scale factor,1.3,123.3,42
Scale factor,1.4,116.1,37

Patch size,6,87.9,47
Patch size,12,89.0,40
Patch size,24,116.0,40
Patch size,48,137.3,32


rosario/sequence03
parameter,setting,mean,min

FAST Threshold,5,174.9,48
FAST Threshold,10,174.9,48
FAST Threshold,20,174.9,48
FAST Threshold,40,164.4,48

Number of features,500,174.9,48
Number of features,1000,324.8,111
Number of features,2000,574.3,203
Number of features,3000,779.8,257

Number of levels,4,155.0,50
Number of levels,8,174.9,48
Number of levels,12,166.2,50
Number of levels,16,157.2,51

Scale factor,1.1,144.9,47
Scale factor,1.2,174.9,48
Scale factor,1.3,170.4,57
Scale factor,1.4,163.6,56

Patch size,6,118.0,59
Patch size,12,130.6,56
Patch size,24,165.1,64
Patch size,48,186.1,58


rosario/sequence04
parameter,setting,mean,min

FAST Threshold,5,156.0,63
FAST Threshold,10,156.0,63
FAST Threshold,20,156.0,64
FAST Threshold,40,150.4,60

Number of features,500,156.0,64
Number of features,1000,292.6,137
Number of features,2000,525.4,245
Number of features,3000,720.1,362

Number of levels,4,139.8,58
Number of levels,8,156.0,64
Number of levels,12,149.4,68
Number of levels,16,141.1,64

Scale factor,1.1,128.2,55
Scale factor,1.2,156.0,64
Scale factor,1.3,154.8,71
Scale factor,1.4,147.7,70

Patch size,6,99.4,56
Patch size,12,106.1,50
Patch size,24,138.0,62
Patch size,48,170.7,66


rosario/sequence05
parameter,setting,mean,min

FAST Threshold,5,139.4,51
FAST Threshold,10,139.4,51
FAST Threshold,20,139.5,52
FAST Threshold,40,127.0,45

Number of features,500,139.5,52
Number of features,1000,249.5,89
Number of features,2000,425.4,137
Number of features,3000,568.5,172

Number of levels,4,123.1,42
Number of levels,8,139.5,52
Number of levels,12,131.5,49
Number of levels,16,124.8,47

Scale factor,1.1,118.2,40
Scale factor,1.2,139.5,52
Scale factor,1.3,134.3,41
Scale factor,1.4,129.6,43

Patch size,6,104.3,47
Patch size,12,107.9,47
Patch size,24,133.2,49
Patch size,48,141.8,40


rosario/sequence06
parameter,setting,mean,min

FAST Threshold,5,126.6,37
FAST Threshold,10,126.6,37
FAST Threshold,20,126.7,35
FAST Threshold,40,114.8,29

Number of features,500,126.7,35
Number of features,1000,227.9,56
Number of features,2000,388.0,98
Number of features,3000,516.6,146

Number of levels,4,109.9,30
Number of levels,8,126.7,35
Number of levels,12,121.2,36
Number of levels,16,115.0,34

Scale factor,1.1,103.9,21
Scale factor,1.2,126.7,35
Scale factor,1.3,125.3,20
Scale factor,1.4,121.0,30

Patch size,6,101.1,53
Patch size,12,99.4,40
Patch size,24,119.4,25
Patch size,48,135.8,38


rosario/sequence01
parameter,setting,mean,min

FAST Threshold,5,443.7,311
FAST Threshold,10,444.3,313
FAST Threshold,20,438.3,308
FAST Threshold,40,326.7,221

Number of levels,4,128.3,95
Number of levels,8,143.0,114
Number of levels,12,144.7,109
Number of levels,16,140.3,109

Scale factor,1.1,143.0,114
Scale factor,1.2,134.0,114
Scale factor,1.3,141.0,108
Scale factor,1.4,122.7,89

Patch size,6,110.3,100
Patch size,12,93.7,73
Patch size,24,134.0,114
Patch size,48,126.3,80


