patchsize,fasttresh,scalefactor,n_levels,track_error,total_matches,good_matches,blur,flow
48,5,1.1,16,0,2000,1626,619.5123000146082,0.032690052
48,5,1.1,16,0,2000,1614,618.1697273785046,0.03760848
48,5,1.1,16,0,2000,1617,619.5034779296358,0.031805653
48,5,1.1,16,0,2000,1618,617.9221113181337,0.048033074
48,5,1.1,16,0,2000,1619,619.0681998840903,0.03317702
48,5,1.1,16,0,2000,1623,619.3104393283515,0.03260519
48,5,1.1,16,0,1998,1630,619.4984591366037,0.038710248
48,5,1.1,16,0,2000,1657,619.0608851494517,0.034419376
48,5,1.1,16,0,1999,1627,619.72622600518,0.03514741
48,5,1.1,16,0,2000,1642,618.3853499943239,0.043861058
48,5,1.1,16,0,2000,1609,618.4192014251075,0.033733383
48,5,1.1,16,0,1998,1632,618.6857041916186,0.035015356
48,5,1.1,16,0,2000,1659,618.377427977226,0.039979644
48,5,1.1,16,0,1999,1663,617.582580811939,0.038884684
48,5,1.1,16,0,1996,1638,619.1240440669515,0.035221543
48,5,1.1,16,0,2000,1633,619.1757400237469,0.03161415
48,5,1.1,16,0,1998,1623,618.4369466288283,0.03294512
48,5,1.1,16,0,2000,1619,618.6345391780311,0.0368316
48,5,1.1,16,0,2000,1637,618.1481436001038,0.032788035
48,5,1.1,16,0,2000,1627,617.9024886437877,0.041194335
48,5,1.1,16,0,2000,1620,618.976306090567,0.034526188
48,5,1.1,16,0,2000,1618,617.8213447033086,0.045996588
48,5,1.1,16,0,2000,1641,619.0225238050848,0.033797443
48,5,1.1,16,0,1999,1623,619.2256605390868,0.03664221
48,5,1.1,16,0,2000,1639,618.9079139050876,0.043751612
48,5,1.1,16,0,2000,1650,618.4115181010607,0.036715794
48,5,1.1,16,0,2000,1674,618.9344402549355,0.031804383
48,5,1.1,16,0,1995,1609,618.1995335515284,0.04103642
48,5,1.1,16,0,1999,1648,618.7919843795374,0.03897665
48,5,1.1,16,0,1992,1621,618.5629144790823,0.035025246
48,5,1.1,16,0,1998,1600,619.3801253080833,0.03690048
48,5,1.1,16,0,1998,1642,619.4780316409785,0.037465498
48,5,1.1,16,0,1998,1662,618.450683883284,0.033451606
48,5,1.1,16,0,2000,1628,618.295453800915,0.033264402
48,5,1.1,16,0,2000,1626,619.364381761637,0.043729037
48,5,1.1,16,0,1998,1666,619.2342147789847,0.032843858
48,5,1.1,16,0,2000,1637,619.9282799527305,0.035856478
48,5,1.1,16,0,1999,1642,619.7377131191869,0.031864174
48,5,1.1,16,0,2000,1663,619.0115848471302,0.032583553
48,5,1.1,16,0,1998,1639,619.1219414156121,0.033422682
48,5,1.1,16,0,1999,1639,620.2530876339955,0.037273366
48,5,1.1,16,0,2000,1644,620.1448039145602,0.034927186
48,5,1.1,16,0,2000,1599,618.6445065848018,0.053125396
48,5,1.1,16,0,2000,1607,617.4965838428636,0.06043852
48,5,1.1,16,0,2000,1639,620.0658436489762,0.033160932
48,5,1.1,16,0,1995,1627,619.1587392328638,0.03630002
48,5,1.1,16,0,2000,1624,619.1946640016643,0.036424197
48,5,1.1,16,0,1998,1649,620.2240583551908,0.03283598
48,5,1.1,16,0,2000,1632,619.5562665000306,0.03374386
48,5,1.1,16,0,1997,1624,619.4706516738385,0.038809218
48,5,1.1,16,0,2000,1642,619.8314723893482,0.03515071
48,5,1.1,16,0,2000,1624,619.868750287815,0.033057064
48,5,1.1,16,0,2000,1651,618.8641500280474,0.032109477
48,5,1.1,16,0,2000,1627,619.5102409799043,0.035715003
48,5,1.1,16,0,2000,1614,619.1145914871954,0.04198403
48,5,1.1,16,0,2000,1620,620.1673671976189,0.034518123
48,5,1.1,16,0,2000,1607,618.599733383841,0.059291497
48,5,1.1,16,0,2000,1645,620.0331445095142,0.03215764
48,5,1.1,16,0,2000,1626,620.1566739300912,0.03922289
48,5,1.1,16,0,2000,1635,618.8126005407761,0.03402065
48,5,1.1,16,0,2000,1613,620.07160497167,0.037114132
48,5,1.1,16,0,1993,1641,619.666268076304,0.035216667
48,5,1.1,16,0,1997,1635,619.7731340656519,0.03626843
48,5,1.1,16,0,2000,1618,620.532781226244,0.03596323
48,5,1.1,16,0,2000,1610,619.5346494041893,0.05022418
48,5,1.1,16,0,1998,1605,619.1610452788574,0.05671503
48,5,1.1,16,0,1997,1642,619.5993733372746,0.033018295
48,5,1.1,16,0,1998,1646,618.7805096485895,0.033788558
48,5,1.1,16,0,2000,1630,618.234825172146,0.03319643
48,5,1.1,16,0,2000,1624,619.2060843537603,0.040622562
48,5,1.1,16,0,2000,1614,619.5212469795564,0.03653289
48,5,1.1,16,0,1998,1638,619.7623426145743,0.03714667
48,5,1.1,16,0,2000,1620,618.5867654356701,0.03364777
48,5,1.1,16,0,1997,1619,617.6966430939672,0.034531787
48,5,1.1,16,0,2000,1641,619.3016959981409,0.048536178
48,5,1.1,16,0,1999,1619,619.8078581446326,0.045420993
48,5,1.1,16,0,2000,1605,619.3151022312544,0.03966694
48,5,1.1,16,0,1999,1626,621.1346129243705,0.033250622
48,5,1.1,16,0,2000,1622,619.2145496115631,0.052285265
48,5,1.1,16,0,1999,1638,620.5467525295943,0.034250665
48,5,1.1,16,0,2000,1631,620.6287684691366,0.03454372
48,5,1.1,16,0,1992,1636,619.8465350759628,0.0334457
48,5,1.1,16,0,2000,1599,620.9199526114711,0.0362197
48,5,1.1,16,0,2000,1630,619.4285861461558,0.0354244
48,5,1.1,16,0,2000,1626,619.3798468064472,0.03444025
48,5,1.1,16,0,2000,1650,620.8337839130787,0.03187856
48,5,1.1,16,0,2000,1639,620.9238187896622,0.052134104
48,5,1.1,16,0,2000,1653,619.5718600968734,0.03384675
48,5,1.1,16,0,2000,1628,619.7055782028115,0.046478976
48,5,1.1,16,0,2000,1631,621.0218386791469,0.03420218
48,5,1.1,16,0,1998,1599,619.6497765518004,0.048729923
48,5,1.1,16,0,2000,1636,620.1056007082166,0.038082488
48,5,1.1,16,0,2000,1616,620.1055044621746,0.042463496
48,5,1.1,16,0,2000,1608,620.056608673406,0.04370074
48,5,1.1,16,0,1995,1620,620.9903478909656,0.048229586
48,5,1.1,16,0,2000,1604,619.6187429020727,0.043364327
48,5,1.1,16,0,2000,1651,620.3202999917304,0.035159294
48,5,1.1,16,0,2000,1635,620.3551565062858,0.037736453
48,5,1.1,16,0,1998,1611,619.9753854043543,0.03473168
48,5,1.1,16,0,1997,1617,620.0732181498224,0.050837122
48,5,1.1,16,0,2000,1630,620.5406769624282,0.0401043
48,5,1.1,16,0,1997,1606,620.9209140982397,0.04025833
48,5,1.1,16,0,1996,1621,619.590524936782,0.03401401
48,5,1.1,16,0,2000,1598,618.838024274186,0.03592358
48,5,1.1,16,0,1998,1614,620.5682185345274,0.03799936
48,5,1.1,16,0,1996,1630,621.153282763146,0.03358242
48,5,1.1,16,0,1998,1643,619.8679975320243,0.03566103
48,5,1.1,16,0,2000,1621,621.1328441660054,0.041277245
48,5,1.1,16,0,2000,1638,619.570992596309,0.039447013
48,5,1.1,16,0,1999,1624,620.6779227176157,0.034720432
48,5,1.1,16,0,2000,1624,621.5391369467422,0.034405537
48,5,1.1,16,0,2000,1614,619.9135410182467,0.03359362
48,5,1.1,16,0,2000,1644,620.6279031735332,0.034417685
48,5,1.1,16,0,1997,1637,620.9314144922097,0.03839508
48,5,1.1,16,0,2000,1622,621.4534933127915,0.04530623
48,5,1.1,16,0,2000,1640,619.5795331648894,0.035085347
48,5,1.1,16,0,2000,1620,619.8029220615285,0.058723446
48,5,1.1,16,0,1999,1620,619.0153695813331,0.035940435
48,5,1.1,16,0,2000,1640,620.5001210714494,0.04185739
48,5,1.1,16,0,2000,1612,620.9327731385332,0.033224333
48,5,1.1,16,0,1999,1621,621.003904584788,0.034078404
48,5,1.1,16,0,1996,1619,620.3023646881732,0.033853106
48,5,1.1,16,0,2000,1602,619.6688618877705,0.038041074
48,5,1.1,16,0,2000,1634,619.3307118194858,0.035715472
48,5,1.1,16,0,2000,1627,621.6228369890248,0.035215594
48,5,1.1,16,0,2000,1608,618.7294260628265,0.045301396
48,5,1.1,16,0,2000,1591,620.4721800371389,0.048316605
48,5,1.1,16,0,2000,1629,620.0404555726875,0.037523437
48,5,1.1,16,0,2000,1625,620.8483279246179,0.033296254
48,5,1.1,16,0,1998,1620,620.9782925456944,0.041039474
48,5,1.1,16,0,2000,1655,620.5362212968678,0.039538994
48,5,1.1,16,0,2000,1635,619.2904902042825,0.037481245
48,5,1.1,16,0,2000,1622,619.5648490112543,0.04547179
48,5,1.1,16,0,2000,1610,619.8041317567739,0.05190918
48,5,1.1,16,0,1996,1619,619.4624746887536,0.03653385
48,5,1.1,16,0,2000,1610,618.9080238590266,0.065071225
48,5,1.1,16,0,2000,1642,618.4703318604877,0.033931203
48,5,1.1,16,0,2000,1606,620.1483727863098,0.039132178
48,5,1.1,16,0,2000,1631,619.4636692158599,0.033302568
48,5,1.1,16,0,2000,1624,620.11533801165,0.05781394
48,5,1.1,16,0,2000,1609,619.7994692173237,0.059437707
48,5,1.1,16,0,1999,1320,621.739179738332,0.26180106
48,5,1.1,16,0,1997,1499,620.5832452603489,0.16451772
48,5,1.1,16,0,2000,1211,614.8698430487374,0.34448114
48,5,1.1,16,0,2000,1044,620.0521179469689,0.4764548
48,5,1.1,16,0,2000,1129,619.3280700733021,0.38551232
48,5,1.1,16,0,2000,947,611.1113193873957,1.3786657
48,5,1.1,16,0,2000,1330,615.5280628681082,0.24351081
48,5,1.1,16,0,2000,1011,610.6323724342208,0.87834245
48,5,1.1,16,0,2000,931,614.6256975340481,0.9319361
48,5,1.1,16,0,2000,1226,620.1950795071249,0.34543046
48,5,1.1,16,0,2000,1380,624.2734689748426,0.25516313
48,5,1.1,16,0,2000,1340,623.5605639900718,0.25130415
48,5,1.1,16,0,1998,1363,621.6987614850535,0.25872892
48,5,1.1,16,0,2000,926,618.3983243025492,0.5995435
48,5,1.1,16,0,2000,1358,623.076583160006,0.2805368
48,5,1.1,16,0,2000,1014,621.6181577405828,0.5466478
48,5,1.1,16,0,1998,1377,622.241518479894,0.28405786
48,5,1.1,16,0,2000,1013,620.9889986037039,0.50577235
48,5,1.1,16,0,2000,1129,623.9941920950347,0.41935256
48,5,1.1,16,0,2000,1165,621.5717239929877,0.41265675
48,5,1.1,16,0,1999,1021,621.4679291402296,0.51716745
48,5,1.1,16,0,2000,1163,623.519605776371,0.4549422
48,5,1.1,16,0,2000,1000,623.4016760045681,0.6542525
48,5,1.1,16,0,2000,1099,625.1888284563709,0.54335517
48,5,1.1,16,0,2000,1057,624.0624339070092,0.6050172
48,5,1.1,16,0,2000,1104,624.0941438334133,0.55386084
48,5,1.1,16,0,2000,914,624.361005049986,0.87721866
48,5,1.1,16,0,2000,931,626.115351969186,0.7885501
48,5,1.1,16,0,2000,940,628.7185249637611,0.7769275
48,5,1.1,16,0,1994,872,629.2432247771458,0.92456746
48,5,1.1,16,0,2000,1016,629.5484876548361,0.7423815
48,5,1.1,16,0,2000,971,631.4367422610994,0.8016844
48,5,1.1,16,0,2000,1051,630.307968342723,0.75522894
48,5,1.1,16,0,2000,868,632.3141627326069,0.9482877
48,5,1.1,16,0,2000,904,633.7096939715425,0.9261714
48,5,1.1,16,0,2000,858,632.9111311016061,1.0462909
48,5,1.1,16,0,2000,996,636.5964726308595,0.76504815
48,5,1.1,16,0,2000,914,636.8088744005531,0.97558504
48,5,1.1,16,0,2000,941,635.810639633878,0.8756308
48,5,1.1,16,0,2000,857,637.574097830018,1.0754035
48,5,1.1,16,0,2000,980,639.4563946963235,0.9020001
48,5,1.1,16,0,2000,828,636.0823161477786,1.3098122
48,5,1.1,16,0,2000,972,641.0191205666575,0.9072455
48,5,1.1,16,0,2000,879,642.3180170766058,1.1025027
48,5,1.1,16,0,2000,987,641.6473386069722,0.9049533
48,5,1.1,16,0,2000,875,643.6067299921841,1.1088847
48,5,1.1,16,0,2000,907,645.6498267022693,1.0588548
48,5,1.1,16,0,2000,910,643.6908525180082,1.0857077
48,5,1.1,16,0,1996,953,643.5925944253256,1.0367573
48,5,1.1,16,0,2000,916,645.9279382845201,1.0390733
48,5,1.1,16,0,2000,892,649.5357266108023,1.0352216
48,5,1.1,16,0,2000,885,649.1571874623921,1.128013
48,5,1.1,16,0,2000,966,649.7005373801435,1.1001962
48,5,1.1,16,0,2000,927,649.4590174053853,1.1318806
48,5,1.1,16,0,2000,904,650.6352492316773,1.0561079
48,5,1.1,16,0,2000,966,649.3727663112903,0.96190053
48,5,1.1,16,0,1998,905,649.6567656605799,1.0384188
48,5,1.1,16,0,2000,919,650.9015140129856,1.0667584
48,5,1.1,16,0,2000,865,648.5905066158965,1.2131716
48,5,1.1,16,0,2000,898,651.7811395360992,1.1231976
48,5,1.1,16,0,2000,918,651.9426461762673,1.0850587
48,5,1.1,16,0,2000,961,654.448035158858,1.0177249
