patchsize,fasttresh,scalefactor,n_levels,track_error,total_matches,good_matches,blur,flow
6,20,1.1,16,0,2000,832,516.379140526057,0.0945517
6,20,1.1,16,0,2000,785,517.268012250768,0.121322505
6,20,1.1,16,0,2000,896,513.2317193787054,0.07810829
6,20,1.1,16,0,2000,940,518.8120131555058,0.090175025
6,20,1.1,16,0,2000,981,519.0222615207406,0.08443593
6,20,1.1,16,0,2000,981,519.7951721301112,0.06592149
6,20,1.1,16,0,2000,920,518.5077569355647,0.083281204
6,20,1.1,16,0,2000,1015,519.9549924449404,0.054302383
6,20,1.1,16,0,2000,899,517.8719320174059,0.07647895
6,20,1.1,16,0,2000,953,521.7724790192548,0.060667567
6,20,1.1,16,0,2000,916,519.2349725751075,0.06675629
6,20,1.1,16,0,2000,992,520.3352844556592,0.05991802
6,20,1.1,16,0,2000,969,519.8997223522102,0.055969305
6,20,1.1,16,0,2000,901,520.0742727761494,0.06447378
6,20,1.1,16,0,2000,937,522.2023172281965,0.05237983
6,20,1.1,16,0,2000,897,520.3235220650736,0.06689218
6,20,1.1,16,0,2000,949,517.6666376725882,0.053465355
6,20,1.1,16,0,2000,999,516.9934895764258,0.062070295
6,20,1.1,16,0,2000,980,518.0102148220661,0.065411
6,20,1.1,16,0,2000,1001,517.8425705371401,0.06327983
6,20,1.1,16,0,2000,961,516.502663074155,0.062404897
6,20,1.1,16,0,2000,975,518.2424526632597,0.059846316
6,20,1.1,16,0,2000,990,520.1984226131507,0.05971041
6,20,1.1,16,0,2000,998,519.1280513206003,0.050697096
6,20,1.1,16,0,2000,1014,520.1961947557187,0.056419
6,20,1.1,16,0,2000,978,519.1546846217047,0.04997555
6,20,1.1,16,0,2000,974,517.4629036266006,0.05191025
6,20,1.1,16,0,2000,959,519.8430849303891,0.051428832
6,20,1.1,16,0,2000,973,520.1939014605588,0.054036733
6,20,1.1,16,0,2000,944,516.1353723807337,0.058465987
6,20,1.1,16,0,2000,910,516.8436126222949,0.07931732
6,20,1.1,16,0,2000,949,515.50913422748,0.07314422
6,20,1.1,16,0,2000,940,511.94252457338547,0.060514573
6,20,1.1,16,0,2000,817,514.8754788646548,0.0872253
6,20,1.1,16,0,2000,971,514.2409962322538,0.062110845
6,20,1.1,16,0,2000,883,516.840904295071,0.069802105
6,20,1.1,16,0,2000,980,515.7027248763036,0.056106873
6,20,1.1,16,0,2000,920,510.0510881505555,0.06479073
6,20,1.1,16,0,2000,881,512.0633904742369,0.088796735
6,20,1.1,16,0,2000,1077,507.2674019095903,0.051068045
6,20,1.1,16,0,2000,885,507.8589604216416,0.08444078
6,20,1.1,16,0,2000,820,506.23685289161114,0.12054932
6,20,1.1,16,0,2000,777,506.8346986924865,0.13476571
6,20,1.1,16,0,2000,802,509.9080532980168,0.14372638
6,20,1.1,16,0,2000,782,513.0459450707799,0.15753716
6,20,1.1,16,0,2000,743,512.6949392911454,0.19299263
6,20,1.1,16,0,2000,682,509.97821089387116,0.20767106
6,20,1.1,16,0,2000,663,513.3833788875435,0.19355911
6,20,1.1,16,0,2000,590,511.3503508743734,0.23695682
6,20,1.1,16,0,2000,717,513.8871763063042,0.19547382
6,20,1.1,16,0,2000,733,518.0083206652346,0.21214451
6,20,1.1,16,0,2000,814,517.3463136272912,0.14290896
6,20,1.1,16,0,2000,676,511.76353575136864,0.20590504
6,20,1.1,16,0,2000,606,510.3888408440713,0.23650716
6,20,1.1,16,0,2000,617,511.89237902946553,0.19940777
6,20,1.1,16,0,2000,691,517.1743750093674,0.21599878
6,20,1.1,16,0,2000,612,521.6363874136632,0.24023806
6,20,1.1,16,0,2000,756,521.0445296701654,0.21192996
6,20,1.1,16,0,2000,657,517.3606619479717,0.28423688
6,20,1.1,16,0,2000,681,511.9423350822659,0.26788697
6,20,1.1,16,0,2000,555,513.1399235468871,0.32693473
6,20,1.1,16,0,2000,608,524.331773795932,0.33707225
6,20,1.1,16,0,2000,629,531.2493024968965,0.39229456
6,20,1.1,16,0,2000,456,530.0229309128207,0.64288455
6,20,1.1,16,0,2000,564,523.1747150632734,0.48715642
6,20,1.1,16,0,2000,590,524.3462314223115,0.29231277
6,20,1.1,16,0,2000,713,518.905757915538,0.19715741
6,20,1.1,16,0,2000,578,515.4960143666702,0.2967156
6,20,1.1,16,0,2000,503,517.0740989190354,0.3398202
6,20,1.1,16,0,2000,520,514.261080908436,0.31480318
6,20,1.1,16,0,2000,658,515.917255937546,0.23697244
6,20,1.1,16,0,2000,885,518.2718660242604,0.11800622
6,20,1.1,16,0,2000,992,517.9507667816232,0.0975649
6,20,1.1,16,0,2000,987,516.3553514986078,0.0741983
6,20,1.1,16,0,2000,1037,517.7320613451114,0.07829976
6,20,1.1,16,0,2000,795,517.8240305000475,0.18357699
6,20,1.1,16,0,2000,766,517.6041777326482,0.15846454
6,20,1.1,16,0,2000,838,518.9424549081868,0.11232291
6,20,1.1,16,0,2000,1006,520.8392943731172,0.08246384
6,20,1.1,16,0,2000,784,523.0046035910814,0.14269295
6,20,1.1,16,0,2000,789,524.0146814433328,0.1467106
6,20,1.1,16,0,2000,924,527.9398095285251,0.090560846
6,20,1.1,16,0,2000,1061,526.5925626884034,0.05835293
6,20,1.1,16,0,2000,874,526.5843527756795,0.108138576
6,20,1.1,16,0,2000,733,526.3283368622625,0.16625267
6,20,1.1,16,0,2000,778,523.9506229476096,0.14431466
6,20,1.1,16,0,2000,858,527.0912201646246,0.103514954
6,20,1.1,16,0,2000,1091,524.3046954031203,0.06841487
6,20,1.1,16,0,2000,819,523.7078578557143,0.11881556
6,20,1.1,16,0,2000,824,520.5459722127565,0.1227088
6,20,1.1,16,0,2000,921,522.0688117940881,0.07610819
6,20,1.1,16,0,2000,949,520.5499528626691,0.08570125
6,20,1.1,16,0,2000,1033,521.7785928092336,0.07182131
6,20,1.1,16,0,2000,1082,520.9730744760328,0.056800976
6,20,1.1,16,0,2000,1060,520.7869240963298,0.05541574
6,20,1.1,16,0,2000,1086,520.1191653395114,0.048485816
6,20,1.1,16,0,2000,1065,518.6199824642853,0.04636417
6,20,1.1,16,0,2000,1106,518.8226617295801,0.04516857
6,20,1.1,16,0,2000,1128,519.203941280016,0.051517382
6,20,1.1,16,0,2000,1141,517.6350791951523,0.041398622
6,20,1.1,16,0,2000,1147,517.4758285466057,0.044873167
6,20,1.1,16,0,2000,915,518.8108082295654,0.09226169
6,20,1.1,16,0,2000,608,515.8769449266564,0.19666095
6,20,1.1,16,0,2000,508,514.2629850140266,0.3620026
6,20,1.1,16,0,2000,502,514.9924749929886,0.5315352
6,20,1.1,16,0,2000,519,518.0800475550122,0.62132704
6,20,1.1,16,0,2000,458,515.0069179912183,0.8212084
6,20,1.1,16,0,2000,506,528.9519491540674,0.71889377
6,20,1.1,16,0,2000,468,535.3904134630191,1.079593
6,20,1.1,16,0,2000,500,528.4872441912114,1.0650641
6,20,1.1,16,0,2000,445,530.1428380835814,1.3098668
6,20,1.1,16,0,2000,443,517.9405234099585,1.2907135
6,20,1.1,16,0,2000,491,526.8729359055044,1.1748714
6,20,1.1,16,0,2000,455,522.1836104858781,1.3734443
6,20,1.1,16,0,2000,450,536.1255500039664,1.6369689
6,20,1.1,16,0,2000,448,526.5321087700316,1.8728758
6,20,1.1,16,0,2000,472,535.2396139256729,1.9149642
6,20,1.1,16,0,2000,479,531.5568594702368,1.8132365
6,20,1.1,16,0,2000,471,540.4935238470462,1.618278
6,20,1.1,16,0,2000,456,549.325124214994,1.8966756
6,20,1.1,16,0,2000,484,546.0087890933099,2.1766877
6,20,1.1,16,0,2000,440,534.7920358475083,2.468379
6,20,1.1,16,0,2000,483,529.78807286319,2.144926
6,20,1.1,16,0,2000,469,533.6054870217832,2.151658
6,20,1.1,16,0,2000,459,537.011397645992,2.504701
6,20,1.1,16,0,2000,463,531.7728121148252,3.1371386
6,20,1.1,16,0,2000,437,544.4000915126268,2.5413437
6,20,1.1,16,0,2000,456,545.2959360224781,2.0198681
6,20,1.1,16,0,2000,491,542.0236658009904,1.8184777
6,20,1.1,16,0,2000,456,547.8491594181185,1.7771859
6,20,1.1,16,0,2000,492,552.1338516797056,2.515663
6,20,1.1,16,0,2000,426,547.565658244117,2.544582
6,20,1.1,16,0,2000,447,553.6360788235135,2.7988062
6,20,1.1,16,0,2000,424,552.2072094988781,2.3024547
6,20,1.1,16,0,2000,468,548.7294988726348,2.4903913
6,20,1.1,16,0,2000,479,549.0060134656676,1.7451147
6,20,1.1,16,0,2000,424,549.6022411027016,1.8135839
6,20,1.1,16,0,2000,436,554.6981371219277,2.849554
6,20,1.1,16,0,2000,427,551.5856209414922,2.1670659
6,20,1.1,16,0,2000,472,538.9525735895081,1.721552
6,20,1.1,16,0,2000,464,544.1407361080697,2.6220167
6,20,1.1,16,0,2000,462,532.0265642584943,2.1118367
6,20,1.1,16,0,2000,468,550.6945383046,2.047119
6,20,1.1,16,0,2000,424,543.1554469799523,2.9433014
6,20,1.1,16,0,2000,439,544.2309435811438,2.066158
6,20,1.1,16,0,2000,398,530.9847165962176,2.3363855
6,20,1.1,16,0,2000,437,541.7281384080719,2.2619786
6,20,1.1,16,0,2000,434,536.4216895601065,2.6827867
6,20,1.1,16,0,2000,434,532.9723395458853,2.748584
6,20,1.1,16,0,2000,430,530.2949368606666,2.6774278
6,20,1.1,16,0,2000,409,531.7250422213665,3.3855774
6,20,1.1,16,0,2000,447,514.4080756154656,4.080358
6,20,1.1,16,0,2000,425,506.5601963571347,2.6507888
6,20,1.1,16,0,2000,466,502.07074243148804,2.5687277
6,20,1.1,16,0,2000,440,494.5042337285691,2.3153377
6,20,1.1,16,0,2000,425,485.9348512801203,2.3702598
6,20,1.1,16,0,2000,457,492.94001985195354,3.1418462
6,20,1.1,16,0,2000,458,493.0886762233951,3.3006365
6,20,1.1,16,0,2000,427,510.30997933810823,3.5641053
6,20,1.1,16,0,2000,402,505.41568327817083,2.7454247
6,20,1.1,16,0,2000,409,514.7732310730592,2.3456416
6,20,1.1,16,0,2000,412,511.06256023908014,3.7695732
6,20,1.1,16,0,2000,399,506.2163649578327,2.7858121
6,20,1.1,16,0,2000,402,512.0294409060119,2.433764
6,20,1.1,16,0,2000,422,514.3329359992397,3.411306
6,20,1.1,16,0,2000,455,500.0400318510597,2.0837145
6,20,1.1,16,0,2000,457,503.1095501432506,2.4793124
6,20,1.1,16,0,2000,462,501.594905753672,1.8468459
6,20,1.1,16,0,2000,435,508.4979813398145,2.5379035
6,20,1.1,16,0,2000,450,508.24470653625116,2.8925912
6,20,1.1,16,0,2000,420,501.4445551948876,2.5185053
6,20,1.1,16,0,2000,432,505.85887046427047,2.0822308
6,20,1.1,16,0,2000,435,509.36169284614544,4.1489773
6,20,1.1,16,0,2000,445,501.65181496372446,2.9171677
6,20,1.1,16,0,2000,474,505.4780583462197,1.9964807
6,20,1.1,16,0,2000,451,512.0467339618077,2.000607
6,20,1.1,16,0,2000,448,514.2577477670933,1.997367
6,20,1.1,16,0,2000,464,520.2339049336437,2.8477433
6,20,1.1,16,0,2000,425,511.2697053887889,3.4753358
